
[00:00:00.000 --> 00:00:01.640]  大家住落弟兄姐妹平安
[00:00:01.640 --> 00:00:03.320]  在那邊去煮那些菜
[00:00:03.320 --> 00:00:04.800]  不知道是不是年紀大
[00:00:04.800 --> 00:00:07.440]  覺得那個活力沒有以前那麼好
[00:00:07.440 --> 00:00:09.160]  是否是因為年紀大
[00:00:09.160 --> 00:00:10.960]  現在的活力沒有以前好
[00:00:10.960 --> 00:00:13.720]  我見到有弟兄在點頭了
[00:00:13.720 --> 00:00:15.760]  我見到有些弟兄是有點頭
[00:00:15.760 --> 00:00:17.360]  點都是差一點是不是
[00:00:17.360 --> 00:00:17.920]  差很多
[00:00:17.920 --> 00:00:19.320]  怎麼樣也是差一點吧
[00:00:19.320 --> 00:00:21.080]  為什麼會這樣呢
[00:00:21.080 --> 00:00:22.000]  為什麼會這樣呢
[00:00:22.000 --> 00:00:23.640]  因為我們會衰老的
[00:00:23.640 --> 00:00:24.840]  因為我們會衰老
[00:00:24.840 --> 00:00:27.280]  那些細胞開始老化
[00:00:27.280 --> 00:00:28.760]  細胞可能要老化了
[00:00:28.760 --> 00:00:30.760]  那些器官也會老化
[00:00:30.760 --> 00:00:31.840]  器官也是會老化
[00:00:31.840 --> 00:00:33.800]  整個身體也會老化
[00:00:33.800 --> 00:00:35.240]  整個身體都會老化
[00:00:35.240 --> 00:00:37.560]  那這個就是沒有辦法可以補救的
[00:00:37.560 --> 00:00:38.920]  這是沒有辦法補救的
[00:00:38.920 --> 00:00:41.880]  那其中老化的原因是什麼呢
[00:00:41.880 --> 00:00:43.600]  其中老化的原因是什麼呢
[00:00:43.600 --> 00:00:47.240]  因為我們不斷被這個世界的物質摧殘我們
[00:00:47.240 --> 00:00:50.360]  因為我們不斷被這個世界的物質摧殘
[00:00:50.360 --> 00:00:52.520]  那有很多污染
[00:00:52.520 --> 00:00:53.440]  有許多污染
[00:00:53.440 --> 00:00:54.720]  有很多輻射
[00:00:54.720 --> 00:00:55.320]  有輻射
[00:00:55.320 --> 00:00:57.200]  我們吃的東西也不健康
[00:00:57.200 --> 00:00:58.840]  我們吃的東西也不健康
[00:00:58.840 --> 00:01:00.880]  那我們生活有很多壓力
[00:01:00.880 --> 00:01:02.080]  生活也有壓力
[00:01:02.080 --> 00:01:05.520]  這些原來每一樣東西都會讓我們衰老得快
[00:01:05.520 --> 00:01:07.920]  這每一樣東西都會讓我們衰老得快
[00:01:07.920 --> 00:01:08.720]  上次也講過
[00:01:08.720 --> 00:01:11.000]  我們身體裡面有些所謂叫 Free Radicals
[00:01:11.000 --> 00:01:12.360]  就是游離基
[00:01:12.360 --> 00:01:13.280]  我們上次也說過
[00:01:13.280 --> 00:01:15.080]  我們身體有游離基
[00:01:15.080 --> 00:01:17.440]  那麼少量是對身體有幫助的
[00:01:17.440 --> 00:01:19.080]  少量會對我們身體有幫助
[00:01:19.080 --> 00:01:20.920]  如果太多呢
[00:01:20.920 --> 00:01:21.960]  如果太多的話
[00:01:21.960 --> 00:01:23.840]  就會影響我們的細胞
[00:01:23.840 --> 00:01:24.680]  會影響我們的腦袋
[00:01:24.680 --> 00:01:26.520]  讓它衰老得快
[00:01:26.520 --> 00:01:27.520]  讓我們衰老得快
[00:01:27.520 --> 00:01:28.920]  甚至是變異
[00:01:28.920 --> 00:01:29.920]  甚至是會變異
[00:01:29.920 --> 00:01:32.480]  那麼大家知道細胞變異會帶來什麼
[00:01:32.480 --> 00:01:34.960]  我們知道細胞變異會帶來什麼
[00:01:34.960 --> 00:01:36.880]  帶來癌症就真的非常可怕
[00:01:36.880 --> 00:01:38.880]  帶來癌症就會非常可怕
[00:01:38.880 --> 00:01:41.240]  所以我們這些游離基怎麼辦呢?
[00:01:41.240 --> 00:01:42.640]  怎麼對付它們呢?
[00:01:42.640 --> 00:01:45.160]  因此我們游離基要怎麼去對付呢?
[00:01:45.160 --> 00:01:49.600]  那麼食物含有很多豐富的維他命
[00:01:49.600 --> 00:01:52.280]  食物是含有許多豐富的維他命
[00:01:52.280 --> 00:01:56.080]  那麼它的維他命其中一個功用就是抗氧
[00:01:56.080 --> 00:01:58.600]  維他命其中一個功用就是抗氧
[00:01:58.600 --> 00:02:02.320]  它專門去抗衡這些游離基
[00:02:02.320 --> 00:02:04.600]  它專門去抗衡這些游離基
[00:02:04.600 --> 00:02:06.320]  中和那些游離基
[00:02:06.320 --> 00:02:08.400]  來混合那些游離基
[00:02:08.400 --> 00:02:11.240]  那麼這些抗氧就叫做Antioxidant
[00:02:11.240 --> 00:02:12.960]  那些抗氧就叫做Antioxidant
[00:02:12.960 --> 00:02:17.200]  那麼維他命有豐富的抗氧的能力
[00:02:17.200 --> 00:02:19.160]  那些維他命有豐富的抗氧能力
[00:02:19.160 --> 00:02:22.600]  那麼很多健康的食物都找到不同的維他命
[00:02:22.600 --> 00:02:25.720]  有些健康的食物有不同的維他命
[00:02:25.720 --> 00:02:27.120]  那麼其實在西方國家
[00:02:27.120 --> 00:02:29.280]  如果我們食物是均衡的話
[00:02:29.280 --> 00:02:31.840]  如果在西方國家我們食物均衡的話
[00:02:31.840 --> 00:02:33.720]  又或者你不是很偏食的
[00:02:33.720 --> 00:02:35.040]  不是很挑食的
[00:02:35.040 --> 00:02:37.880]  如果你不是偏食或挑選什麼食物
[00:02:37.880 --> 00:02:40.000]  你已經有足夠的維他命
[00:02:40.000 --> 00:02:41.760]  你已經有足夠的維他命
[00:02:41.760 --> 00:02:44.320]  但是如果我們的食物
[00:02:44.320 --> 00:02:46.600]  就是我們吃得不是那麼健康的話
[00:02:46.600 --> 00:02:48.800]  那如果我們吃得不是很健康的話
[00:02:48.800 --> 00:02:52.000]  有時候我們就要選擇吃一些維他命丸補救
[00:02:52.000 --> 00:02:54.600]  有時候我們會選擇吃一些維他命丸
[00:02:54.600 --> 00:02:56.960]  原來我們的屬靈生命都是一樣的
[00:02:56.960 --> 00:03:00.680]  尤其是我們信主信了一段時間
[00:03:00.680 --> 00:03:05.160]  我們仍然受這個世界的罪去衝擊
[00:03:05.160 --> 00:03:11.280]  有很多產生大大小小不同的張力
[00:03:11.280 --> 00:03:18.120]  令到我們有時候對我們的神信心是減少了
[00:03:18.120 --> 00:03:22.960]  愛心是少了
[00:03:22.960 --> 00:03:25.680]  侍奉的心又少了
[00:03:25.680 --> 00:03:29.920]  我們成為一個很平凡的基督徒
[00:03:29.920 --> 00:03:31.520]  當初那團火
[00:03:31.520 --> 00:03:35.720]  火熱的心就不見了
[00:03:35.720 --> 00:03:40.440]  這完全就是因為受世界的摧殘
[00:03:40.440 --> 00:03:43.640]  因為我們知道世界有罪
[00:03:43.640 --> 00:03:47.560]  世界是屬魔鬼屬肉體的
[00:03:47.560 --> 00:03:49.080]  所以我們這個屬靈的人
[00:03:49.080 --> 00:03:51.280]  每一天都在這個世界居住
[00:03:51.280 --> 00:03:52.800]  就有很大的壓力
[00:03:52.800 --> 00:03:54.280]  所以我們屬於屬靈的人
[00:03:54.280 --> 00:03:56.920]  每一天在這個世界上居住
[00:03:56.920 --> 00:03:58.360]  就是有壓力
[00:03:58.360 --> 00:04:03.520]  我們一定要需要一些屬靈的維他命
[00:04:03.520 --> 00:04:05.920]  我們一定要吸收多一些屬靈的維他命
[00:04:05.920 --> 00:04:07.560]  去幫補我們
[00:04:07.560 --> 00:04:10.520]  我們要吸收多一點的維他命來幫助我們
[00:04:10.520 --> 00:04:12.920]  我們才可以重拾當初那團火
[00:04:12.920 --> 00:04:14.440]  那個火熱的心
[00:04:14.440 --> 00:04:17.920]  這樣我們才可以重拾當初那一團火
[00:04:17.920 --> 00:04:22.800]  上次在彼得後書二章我們看過
[00:04:22.800 --> 00:04:26.080]  上一次在彼得後書二章那裡看過
[00:04:26.080 --> 00:04:29.120]  彼得後書彼得怎麼跟我們說呢?
[00:04:29.120 --> 00:04:31.480]  彼得後書彼得是怎樣跟我們說呢?
[00:04:31.480 --> 00:04:34.960]  它在這個彼得後書二章
[00:04:34.960 --> 00:04:37.080]  在彼得二書二章
[00:04:37.080 --> 00:04:39.400]  一章五至七節
[00:04:39.400 --> 00:04:41.480]  彼得後書一章五至七節
