
[00:00:00.000 --> 00:00:03.300]  今天我們要跟大家來分享
[00:00:03.300 --> 00:00:06.460]  哥羅西書第三章了
[00:00:06.460 --> 00:00:10.840]  就是我們在前面的信息裡面
[00:00:10.840 --> 00:00:12.840]  我們提到說 你看
[00:00:12.840 --> 00:00:15.600]  保羅說他靠著主
[00:00:15.600 --> 00:00:18.520]  靠著基督勝過自己
[00:00:18.520 --> 00:00:22.640]  靠著基督勝過這個土修主義
[00:00:22.640 --> 00:00:27.440]  靠著基督要勝過律法這一切的瑕疵
[00:00:27.440 --> 00:00:29.320]  Amen
[00:00:29.320 --> 00:00:32.320]  所以整個哥羅西書讓我們看見
[00:00:32.320 --> 00:00:35.720]  那個關鍵就是基督
[00:00:35.720 --> 00:00:37.720]  關鍵就是我們要靠基督
[00:00:37.720 --> 00:00:42.120]  這是我們一生要學的功課
[00:00:42.120 --> 00:00:43.280]  所以保羅講完了之後
[00:00:43.280 --> 00:00:44.400]  第二章整個講完之後
[00:00:44.400 --> 00:00:46.880]  他說 所以 在第三章你看
[00:00:46.880 --> 00:00:48.320]  他一開始就講了說
[00:00:48.320 --> 00:00:54.200]  所以 怎麼樣
[00:00:54.200 --> 00:00:55.720]  我們來看一下好不好
[00:00:55.720 --> 00:00:58.440]  他說 所以怎麼樣
[00:00:58.440 --> 00:01:01.880]  你們若真與基督一同復活
[00:01:01.880 --> 00:01:07.920]  就當囚在上面的屍
[00:01:07.920 --> 00:01:09.120]  但是你注意看
[00:01:09.120 --> 00:01:13.240]  保羅這個次序裡面
[00:01:13.240 --> 00:01:14.960]  他先講到復活
[00:01:14.960 --> 00:01:17.640]  可是接下來他講什麼呢
[00:01:17.640 --> 00:01:19.120]  他接下來又說
[00:01:19.120 --> 00:01:20.800]  他說 你們要撕裂上面的屍
[00:01:20.800 --> 00:01:22.040]  不要撕裂地上的屍
[00:01:22.040 --> 00:01:23.640]  因為什麼呢
[00:01:23.640 --> 00:01:27.680]  你們已經死了
[00:01:27.680 --> 00:01:30.520]  保羅在這邊講死
