
[00:00:00.000 --> 00:00:04.280]  有人說生老病死是生命的一部分
[00:00:04.280 --> 00:00:06.800]  我相信沒有人會反對
[00:00:06.800 --> 00:00:07.900]  因為這是事實
[00:00:07.900 --> 00:00:15.040]  沒有一個人能夠逃避疾病、衰老和死亡
[00:00:15.040 --> 00:00:16.520]  不過如果我跟你說
[00:00:16.520 --> 00:00:23.060]  我說其實生老病死這些所謂生命的事實
[00:00:23.060 --> 00:00:27.080]  並不是神原初創造的心意
[00:00:27.080 --> 00:00:32.720]  曾經有一個大家都應該知道、聽過的
[00:00:32.720 --> 00:00:36.780]  一個英國很出名的作者叫做C.S.Lewis
[00:00:36.780 --> 00:00:39.140]  他寫了一本書叫做Miracles
[00:00:39.140 --> 00:00:40.840]  中文譯做奇蹟
[00:00:40.840 --> 00:00:42.860]  在這本書裏面他講到
[00:00:42.860 --> 00:00:45.600]  其實在神原初的創造裏面
[00:00:45.600 --> 00:00:52.420]  人是不會生病、不會癱、不會死的
[00:00:52.420 --> 00:00:54.060]  有這些情況的原因
[00:00:54.060 --> 00:00:59.120]  就是因為進入了這個世界的一個結果
[00:00:59.120 --> 00:01:06.140]  相反來說其實主耶穌和使徒所行的神蹟
[00:01:06.140 --> 00:01:11.760]  讓我們反而一睹神原初創造
[00:01:11.760 --> 00:01:14.060]  是應該是怎樣的
[00:01:14.060 --> 00:01:17.100]  所以C.S.Lewis就認為
[00:01:17.100 --> 00:01:21.200]  基督徒我們不單止需要接受神蹟這個事實
[00:01:21.200 --> 00:01:26.080]  還要為了神蹟而歡喜、受到鼓舞
[00:01:26.080 --> 00:01:34.500]  因為神蹟是神親自參與在他的創造當中的一個證據
[00:01:34.500 --> 00:01:37.980]  在今天的經文裏面我們看到兩個神蹟
[00:01:37.980 --> 00:01:40.660]  一個是講到癱子被醫治
[00:01:40.660 --> 00:01:44.980]  另外一個神蹟是講到一個死了的人得以復活
[00:01:44.980 --> 00:01:52.520]  兩個事件都可以說是違反了自然定律
[00:01:52.520 --> 00:01:54.760]  亦都由於這個原因
[00:01:54.760 --> 00:01:59.040]  這兩個違反了自然定律而發生的事件
[00:01:59.040 --> 00:02:03.720]  其實就是一個很具體的明證
[00:02:03.720 --> 00:02:08.320]  講出神在這個世界裏面他如何的介入
[00:02:08.320 --> 00:02:12.040]  亦都讓我們看到耶穌基督在十字架裏面所成就的
[00:02:12.040 --> 00:02:14.040]  究竟是甚麼一回事
[00:02:14.040 --> 00:02:16.680]  讓我們看一看 去學習一下
[00:02:16.680 --> 00:02:20.120]  在這個故事裏面的一些事情
[00:02:20.120 --> 00:02:24.180]  在第一個神蹟
[00:02:24.180 --> 00:02:31.740]  是使徒彼得遇到一個人叫做以利雅
[00:02:31.740 --> 00:02:34.120]  在一個屢大的地方
[00:02:34.120 --> 00:02:36.120]  這個人聖經告訴我們
[00:02:36.120 --> 00:02:39.360]  他病患了八年 八年裏面癱了
[00:02:39.360 --> 00:02:43.000]  只能夠在一張床裏面生活
[00:02:43.000 --> 00:02:47.280]  聖經就簡單地介紹完這個人物之後
[00:02:47.280 --> 00:02:50.920]  聖經沒有給很多其他詳細的資料
[00:02:50.920 --> 00:02:55.880]  沒有講到究竟在這個醫治的事情之前發生了甚麼事
[00:02:55.880 --> 00:02:57.520]  沒有講到的
[00:02:57.520 --> 00:03:01.000]  所以我們不知道究竟這個以利雅是不是基督徒
[00:03:01.000 --> 00:03:06.360]  亦都不知道這個以利雅是不是他請求彼得醫治他
[00:03:06.360 --> 00:03:10.720]  還是彼得走過寄仰去醫治他
[00:03:10.720 --> 00:03:13.040]  聖經沒有講到
[00:03:13.040 --> 00:03:18.280]  我們就會覺得有點奇怪
[00:03:18.280 --> 00:03:19.320]  因為這些資料
[00:03:19.320 --> 00:03:22.640]  如果有了這些其他的資料的時候
[00:03:22.640 --> 00:03:26.560]  我們豈不是對這個故事更加具體知道多些嗎
[00:03:26.560 --> 00:03:27.800]  是不是
[00:03:27.800 --> 00:03:29.080]  如果是的時候
[00:03:29.080 --> 00:03:34.560]  究竟為甚麼聖經沒有告訴我們這些資料呢
[00:03:34.560 --> 00:03:35.440]  為甚麼呢
[00:03:35.440 --> 00:03:41.120]  我相信這個原因絕對不是作者路加忘記了
[00:03:41.120 --> 00:03:42.320]  大義疏忽
