
[00:00:00.000 --> 00:00:06.000]  各位頂智媒好,首先很感恩可以見到大家頂智媒
[00:00:06.000 --> 00:00:11.000]  上星期病得很厲害
[00:00:11.000 --> 00:00:20.000]  我連續發燒七、八天,高燒,沒停過
[00:00:25.000 --> 00:00:34.000]  整個人的身體好像脫胎換骨,好像整個人離開了
[00:00:34.000 --> 00:00:42.000]  亦很感謝主讓我能夠在今天再次跟大家一起見面
[00:00:42.000 --> 00:00:45.000]  今日的訊息很特別
[00:00:45.000 --> 00:00:54.000]  其實我在一個半月前之前已經寫好原本過去兩個星期的講道、講章
[00:00:55.000 --> 00:01:02.000]  最後上帝有特別的意思,他給了我一個新的訊息
[00:01:02.000 --> 00:01:08.000]  由一個姊妹來帶給我,知道要我去完成
[00:01:08.000 --> 00:01:14.000]  感謝主在第八天突然間退燒那一刻
[00:01:14.000 --> 00:01:20.000]  上帝給了我機會,可以將這個訊息很快寫下來
[00:01:21.000 --> 00:01:30.000]  我希望在今天復活節的主日跟大家一起分享上帝特意傳遞給大家
[00:01:30.000 --> 00:01:33.000]  特別交給我的這個訊息
[00:01:33.000 --> 00:01:40.000]  希望能夠幫助大家頂智媒去明白復活的意義
[00:01:40.000 --> 00:01:43.000]  基督徒的人生是怎樣的一回事
[00:01:44.000 --> 00:01:53.000]  今日跟大家一起分享的題目是《由分離之重逢所建構出來的永恆關係》
[00:01:53.000 --> 00:01:58.000]  經文是《馬太福音》第27章45至56節
[00:01:58.000 --> 00:02:01.000]  但我們看的比這段經文多很多
[00:02:01.000 --> 00:02:06.000]  我們一起先同心低頭禱告仰望在主神的面前
[00:02:10.000 --> 00:02:18.000]  慈悲的天父多謝你,讓我們可以回到主你拯救復活的日子
[00:02:18.000 --> 00:02:23.000]  讓我們過一個重新有意義的復活節
[00:02:23.000 --> 00:02:28.000]  可以明白到復活不只是一個節期
[00:02:28.000 --> 00:02:36.000]  而是一個實實在在信徒,能夠在生命上的一個確切的經歷
[00:02:37.000 --> 00:02:41.000]  從世人而看,甚至可能從很多基督徒來看
[00:02:41.000 --> 00:02:43.000]  只不過是一個神蹟
[00:02:43.000 --> 00:02:47.000]  但這其實是生命應有的經歷
[00:02:47.000 --> 00:02:53.000]  人在生老病死的過程當中必然面對的事情
[00:02:53.000 --> 00:02:56.000]  沒有一個能夠逃脫
[00:02:56.000 --> 00:03:03.000]  但在信徒的生命上,它是一個盼望的出路
[00:03:04.000 --> 00:03:10.000]  求你的帶領,讓今天的信息可以給主你所緊緊的使用
[00:03:10.000 --> 00:03:14.000]  禱告奉教,主耶穌會得勝的名字而求
[00:03:14.000 --> 00:03:27.000]  我正式在3月29日開始停了所有工作
[00:03:29.000 --> 00:03:36.000]  因為COVID的緣故,所以完全做不到事,頭很痛
[00:03:36.000 --> 00:03:41.000]  在整個過程中,我體會到一件事
[00:03:41.000 --> 00:03:47.000]  原來受難和復活究竟是一回什麼事情
[00:03:47.000 --> 00:03:52.000]  多年來,我對於作為一個牧者,作為一個信徒
[00:03:52.000 --> 00:03:57.000]  對這方面的神學有多準確的掌握
[00:03:58.000 --> 00:04:03.000]  但真真正正當你去到很貼近死亡的邊緣
[00:04:03.000 --> 00:04:07.000]  甚至你見到死亡在你面前出現的時候
[00:04:07.000 --> 00:04:17.000]  到你不再重新思想死亡在信徒生命中應有的見證和經驗
[00:04:17.000 --> 00:04:21.000]  特別是那層的意思和掙扎是如何
[00:04:21.000 --> 00:04:27.000]  這就是我希望和大家分享的經文
[00:04:28.000 --> 00:04:30.000]  今天我們會集中看的經文是27章
[00:04:30.000 --> 00:04:34.000]  第45至46節,剛才Karen為我們讀出的
[00:04:34.000 --> 00:04:39.000]  在那段經文當中,是耶穌基督死在十字架上
[00:04:39.000 --> 00:04:45.000]  那一刻的經驗經歷,以及當祂死亡之後
[00:04:45.000 --> 00:04:48.000]  整個世界顛覆的狀態
[00:04:48.000 --> 00:04:52.000]  我稍後會在最後的部分仔細看一看
[00:04:53.000 --> 00:04:58.000]  當我們在看這部分之前,我們先去看看
