
[00:00:00.000 --> 00:00:02.000]  對索羅門
[00:00:02.000 --> 00:00:05.000]  我們從第一章開始看到這個地方
[00:00:05.000 --> 00:00:07.000]  我們就曉得對索羅門
[00:00:07.000 --> 00:00:10.000]  當他在找尋生命的意義的過程當中
[00:00:10.000 --> 00:00:13.000]  或者是說他的經歷來說
[00:00:13.000 --> 00:00:15.000]  那麼第九節就告訴我們
[00:00:15.000 --> 00:00:17.000]  不論是他眼睛所看見的
[00:00:17.000 --> 00:00:19.000]  或者是他心裡面所想的
[00:00:19.000 --> 00:00:20.000]  就是他心裡面所求的
[00:00:20.000 --> 00:00:22.000]  他心裡面所期盼的
[00:00:22.000 --> 00:00:25.000]  對索羅門來講
[00:00:25.000 --> 00:00:28.000]  他是一個皇帝
[00:00:28.000 --> 00:00:31.000]  他是以色列人在他們的歷史當中
[00:00:31.000 --> 00:00:34.000]  最出色的一個王
[00:00:34.000 --> 00:00:35.000]  對他來講
[00:00:35.000 --> 00:00:38.000]  這些事情都是虛空 都是捕風
[00:00:38.000 --> 00:00:41.000]  如果一個人的生命在日光之下
[00:00:41.000 --> 00:00:45.000]  在地上的生命沒有神的話
[00:00:45.000 --> 00:00:47.000]  不認識神的人生
[00:00:47.000 --> 00:00:49.000]  他所追求的
[00:00:49.000 --> 00:00:52.000]  或者是說他在這個世界上所發展的事業
[00:00:52.000 --> 00:00:54.000]  他追求的財富
[00:00:54.000 --> 00:00:56.000]  或者是說為了口腹的勞碌
[00:00:56.000 --> 00:00:59.000]  都不能帶給人真正的滿足和喜樂
[00:00:59.000 --> 00:01:01.000]  這是我們上次所講的
[00:01:01.000 --> 00:01:03.000]  那麼第九節
[00:01:03.000 --> 00:01:07.000]  就是說從第十節到第十二節
[00:01:07.000 --> 00:01:10.000]  是一個單獨的一個段落
[00:01:10.000 --> 00:01:13.000]  那麼第九節可以說是前面
[00:01:13.000 --> 00:01:17.000]  從第一章到第六章的一個結語
[00:01:17.000 --> 00:01:18.000]  你們前輩如果你還記得
[00:01:18.000 --> 00:01:20.000]  從第一章到第五章 第六章
[00:01:20.000 --> 00:01:23.000]  我們發現他有一句話一直重複的
[00:01:23.000 --> 00:01:26.000]  就是什麼呢 就是虛空的虛空
[00:01:26.000 --> 00:01:27.000]  所以在這裡
[00:01:27.000 --> 00:01:30.000]  他說這也是虛空 也是捕風
[00:01:30.000 --> 00:01:32.000]  他給他前面所講的
[00:01:32.000 --> 00:01:33.000]  他前面所追求的
[00:01:33.000 --> 00:01:36.000]  他想要尋找的人生的真正的意義在哪裡
[00:01:36.000 --> 00:01:38.000]  給他下了一個結論
[00:01:38.000 --> 00:01:41.000]  什麼結論 就是虛空 就是捕風
[00:01:41.000 --> 00:01:43.000]  就好像小孩子追求這個泡泡
[00:01:43.000 --> 00:01:48.000]  我們用肥皂吹起來的泡泡一樣
[00:01:48.000 --> 00:01:52.000]  當他一手抓到的時候就破裂了
[00:01:52.000 --> 00:01:54.000]  那麼對Solomon來講
[00:01:54.000 --> 00:01:56.000]  人生的一生就是一個死胡同
[00:01:56.000 --> 00:01:58.000]  這是我們上次所講過的
[00:01:58.000 --> 00:02:00.000]  也是一個dead end street
[00:02:00.000 --> 00:02:02.000]  dead and end
[00:02:02.000 --> 00:02:04.000]  那麼前半部的傳道書呢
