
[00:00:00.000 --> 00:00:03.000]  有一次有班文士和法理賽人
[00:00:03.000 --> 00:00:06.000]  將一個婦人捉姦在床
[00:00:06.000 --> 00:00:08.000]  當他捉了她之後
[00:00:08.000 --> 00:00:11.000]  他就帶到耶穌的面前
[00:00:11.000 --> 00:00:13.000]  他就講了一句話
[00:00:13.000 --> 00:00:15.000]  耶穌耶穌
[00:00:15.000 --> 00:00:18.000]  按著我們摩西法律的規定
[00:00:18.000 --> 00:00:20.000]  這個婦人是捉姦在床的時候
[00:00:20.000 --> 00:00:23.000]  她應該被石頭扔死的
[00:00:23.000 --> 00:00:26.000]  如果你當時是耶穌你會怎樣
[00:00:26.000 --> 00:00:29.000]  耶穌當時聽到的時候
[00:00:29.000 --> 00:00:31.000]  他不知道怎樣去想
[00:00:31.000 --> 00:00:34.000]  但是我相信這班法理賽人
[00:00:34.000 --> 00:00:36.000]  這班文士是有一個狀況
[00:00:36.000 --> 00:00:37.000]  是要試探耶穌的
[00:00:37.000 --> 00:00:39.000]  因為捉姦在床的時候
[00:00:39.000 --> 00:00:40.000]  捉來的
[00:00:40.000 --> 00:00:42.000]  問耶穌的是什麼
[00:00:42.000 --> 00:00:44.000]  是一個女士
[00:00:44.000 --> 00:00:45.000]  我問弟兄姊妹
[00:00:45.000 --> 00:00:47.000]  一個姦情
[00:00:47.000 --> 00:00:49.000]  是不是一個女士就發生的呢
[00:00:49.000 --> 00:00:50.000]  不是的
[00:00:50.000 --> 00:00:51.000]  男的沒有了
[00:00:51.000 --> 00:00:53.000]  就找一個女的來
[00:00:53.000 --> 00:00:55.000]  那耶穌當時沒有回答
[00:00:55.000 --> 00:00:57.000]  他也很艱難
[00:00:57.000 --> 00:01:00.000]  因為他把摩西的名字打出來
[00:01:00.000 --> 00:01:02.000]  所以聖經說他蹲在那裡
[00:01:02.000 --> 00:01:04.000]  他在寫字
[00:01:04.000 --> 00:01:06.000]  我們不知道他在寫什麼字
[00:01:06.000 --> 00:01:07.000]  之後那些人就說
[00:01:07.000 --> 00:01:09.000]  你要做些什麼就做些什麼
[00:01:09.000 --> 00:01:10.000]  摩西這樣說
[00:01:10.000 --> 00:01:11.000]  很多人在吵
[00:01:11.000 --> 00:01:13.000]  摩西就起來跟他說
[00:01:13.000 --> 00:01:14.000]  不是
[00:01:14.000 --> 00:01:16.000]  耶穌就起來跟他說
[00:01:16.000 --> 00:01:18.000]  如果誰沒有犯罪
[00:01:18.000 --> 00:01:20.000]  你就找石頭扔他
[00:01:20.000 --> 00:01:21.000]  我深信講到這裡
[00:01:21.000 --> 00:01:25.000]  大家很熟悉這個故事
[00:01:25.000 --> 00:01:29.000]  接著耶穌又蹲下
[00:01:29.000 --> 00:01:32.000]  那些反應剛才很激烈
[00:01:32.000 --> 00:01:34.000]  很振振有詞的人又怎麼樣
[00:01:34.000 --> 00:01:38.000]  一個一個一個一個走了
[00:01:38.000 --> 00:01:41.000]  最後耶穌起來就跟那個婦人說
[00:01:41.000 --> 00:01:44.000]  被人捉姦在床的婦人說
[00:01:44.000 --> 00:01:45.000]  那些人都去哪了
[00:01:45.000 --> 00:01:47.000]  婦人說他們都走了
[00:01:47.000 --> 00:01:49.000]  那耶穌跟她說了一句話
[00:01:49.000 --> 00:01:51.000]  我都不定你的罪
[00:01:51.000 --> 00:01:52.000]  你都走了
[00:01:52.000 --> 00:01:53.000]  但耶穌最後說了一句
[00:01:53.000 --> 00:01:58.000]  從此不要再犯罪了
[00:01:58.000 --> 00:02:01.000]  我就認為這幾個字
[00:02:01.000 --> 00:02:03.000]  是給我今天跟大家分享
[00:02:03.000 --> 00:02:06.000]  就是要到此為止
[00:02:06.000 --> 00:02:09.000]  所以今天想跟大家分享一個經文
[00:02:09.000 --> 00:02:11.000]  在哥倫多傳出十章十三節
[00:02:11.000 --> 00:02:13.000]  它裡面的狀況
[00:02:13.000 --> 00:02:15.000]  有一半是挺狡雜的
[00:02:15.000 --> 00:02:17.000]  因為這個經文我覺得是兩遍體
[00:02:17.000 --> 00:02:20.000]  第一遍體就是當你遇見試探的時候
[00:02:20.000 --> 00:02:24.000]  就好像這個婦人被捉的時候
[00:02:24.000 --> 00:02:26.000]  其實她真的受試探也好
[00:02:26.000 --> 00:02:27.000]  試煉也好
[00:02:27.000 --> 00:02:28.000]  她真的被捉
[00:02:28.000 --> 00:02:30.000]  另一方面就是當我預備的時候
[00:02:30.000 --> 00:02:31.000]  在我們在座會中
[00:02:31.000 --> 00:02:34.000]  每一堂都是包括我自己在內
[00:02:34.000 --> 00:02:35.000]  在我們裡面
[00:02:35.000 --> 00:02:38.000]  弟兄姊妹是經歷大艱難
[00:02:38.000 --> 00:02:39.000]  所以也是一個鼓勵
[00:02:39.000 --> 00:02:40.000]  所以這個經文
[00:02:40.000 --> 00:02:42.000]  你有兩個進路去看它的
[00:02:42.000 --> 00:02:44.000]  第一就是遇到試探的時候
[00:02:44.000 --> 00:02:46.000]  這個經文可以告訴我們
[00:02:46.000 --> 00:02:47.000]  為什麼呢
[00:02:47.000 --> 00:02:48.000]  因為它來於的經文就是
[00:02:48.000 --> 00:02:49.000]  在哥倫多傳出第十章
[00:02:49.000 --> 00:02:52.000]  哥倫多傳出十章的十三節的前半節
[00:02:52.000 --> 00:02:56.000]  就是第一節到第十二節是說什麼呢
[00:02:56.000 --> 00:02:58.000]  是在說那群以色列人
[00:02:58.000 --> 00:02:59.000]  在當中
[00:02:59.000 --> 00:03:02.000]  在抗議裡面叛逆上帝
[00:03:02.000 --> 00:03:04.000]  其實就在說哥倫多傳書的人
[00:03:04.000 --> 00:03:05.000]  就是哥倫多教會的人
[00:03:05.000 --> 00:03:07.000]  你們都是這樣叛逆
[00:03:07.000 --> 00:03:09.000]  其實你們是不行的
[00:03:09.000 --> 00:03:11.000]  其實當哥倫多人聽到
[00:03:11.000 --> 00:03:14.000]  再引迷在他們的先祖的時候
[00:03:14.000 --> 00:03:16.000]  其實他們挺傷的
[00:03:16.000 --> 00:03:17.000]  不過保羅告訴你
[00:03:17.000 --> 00:03:20.000]  每個人都有試探
[00:03:20.000 --> 00:03:22.000]  所以他就在第十三節
[00:03:22.000 --> 00:03:24.000]  作一個小的結論
[00:03:24.000 --> 00:03:25.000]  是一個鼓勵
[00:03:25.000 --> 00:03:28.000]  雖然你們有多少大試探都好
[00:03:28.000 --> 00:03:30.000]  但是你們所遇見的試探
[00:03:30.000 --> 00:03:32.000]  就是這個經文
[00:03:32.000 --> 00:03:33.000]  我們說一說
[00:03:33.000 --> 00:03:37.000]  無論是正面的遇到大艱難
[00:03:37.000 --> 00:03:39.000]  又或者你真的得罪了上帝
[00:03:39.000 --> 00:03:40.000]  得罪了上帝
[00:03:40.000 --> 00:03:42.000]  這個經文都是同樣對我們有幫助
[00:03:42.000 --> 00:03:44.000]  我們一起說一說這個經文
[00:03:44.000 --> 00:03:45.000]  一二三來
[00:03:45.000 --> 00:03:46.000]  你們所遇見的試探
[00:03:46.000 --> 00:03:49.000]  無非是人所能受的
[00:03:49.000 --> 00:03:51.000]  上帝是信實的
[00:03:51.000 --> 00:03:54.000]  必不叫你們所受的試探
[00:03:54.000 --> 00:03:56.000]  過於所能受的
[00:03:56.000 --> 00:03:58.000]  在受試探的時候
[00:03:58.000 --> 00:04:01.000]  總要給你們開一條出路
[00:04:01.000 --> 00:04:04.000]  叫你們能忍受得住
[00:04:04.000 --> 00:04:06.000]  這個經文有幾個字會重複
[00:04:06.000 --> 00:04:07.000]  等一下會看
[00:04:07.000 --> 00:04:08.000]  第一是試探
