
[00:00:00.000 --> 00:00:05.240]  今天我們實在是面對一個充滿險惡的世代
[00:00:05.240 --> 00:00:07.640]  多少時候當我們面對這樣一個險惡的世代
[00:00:07.640 --> 00:00:11.800]  我們心中常常充滿恐懼跟徬徨
[00:00:11.800 --> 00:00:13.540]  為什麼呢?因為實在看見
[00:00:13.540 --> 00:00:17.540]  今天我們所處的世代這樣的動盪不安
[00:00:17.540 --> 00:00:20.140]  特別是這次美國大選的選情
[00:00:20.140 --> 00:00:22.700]  真的可以說一片混亂
[00:00:22.700 --> 00:00:26.140]  真的不知道美國將要何去何從
[00:00:26.140 --> 00:00:30.000]  另一方面我們看見我們自己的生活困境
[00:00:30.000 --> 00:00:34.300]  我們也是要每天面對層出不窮的問題
[00:00:34.300 --> 00:00:37.480]  我們心中也常常感覺無解
[00:00:37.480 --> 00:00:39.880]  充滿無奈的感覺
[00:00:39.880 --> 00:00:42.540]  我們看見魔鬼、撒旦常常就是
[00:00:42.540 --> 00:00:49.280]  藉著這些發生在我們生活周圍的事情來迷惑我們
[00:00:49.280 --> 00:00:53.240]  將我們的眼目、盲目、看不見神的作為
[00:00:53.240 --> 00:00:57.640]  將我們心中懷疑不敢來信靠神
[00:00:57.640 --> 00:01:01.300]  也讓我們心中常常恐懼灰心
[00:01:01.300 --> 00:01:03.200]  不敢來跟隨神
[00:01:03.200 --> 00:01:05.340]  第二點今天作為一個基督徒
[00:01:05.340 --> 00:01:07.700]  你需要明白一件事情
[00:01:07.700 --> 00:01:11.200]  那就無論你準備好與否
[00:01:11.200 --> 00:01:14.380]  一旦你接受了主耶穌作為基督徒
[00:01:14.380 --> 00:01:19.540]  你已經進入一場厲害的屬靈征戰當中
[00:01:19.540 --> 00:01:21.940]  一方面你需要知道在這場征戰當中
[00:01:21.940 --> 00:01:24.240]  其實主耶穌已經得勝了
[00:01:24.240 --> 00:01:27.380]  在十字架上祂已經徹底粉碎
[00:01:27.380 --> 00:01:30.080]  仇敵撒旦一切黑暗全世
[00:01:30.080 --> 00:01:32.740]  祂已經得勝了我們不需要害怕
[00:01:32.740 --> 00:01:35.900]  但另一方面我們也需要明白
[00:01:35.900 --> 00:01:39.700]  這場戰爭在我們每天生活當中
[00:01:39.700 --> 00:01:43.200]  還是非常真實的存在
[00:01:43.200 --> 00:01:47.780]  所以怎麼樣能夠面對征戰靠主得勝
[00:01:47.780 --> 00:01:52.700]  還是我們基督徒每天生活當中很重要的課題
