
[00:00:00.000 --> 00:00:07.420]  我們今天會跟你們分享的是一個所謂臉書傳奇啊臉書那就是什麼
[00:00:07.420 --> 00:00:09.480]  Facebook
[00:00:09.480 --> 00:00:13.060]  問問我們當中的有哪一位沒有Facebook account
[00:00:13.060 --> 00:00:15.620]  全部都有了
[00:00:15.620 --> 00:00:17.160]  真的
[00:00:17.160 --> 00:00:20.220]  全部都有Facebook account 哇不得了
[00:00:20.220 --> 00:00:22.540]  不曉得你們知不知道
[00:00:22.540 --> 00:00:26.380]  這個Facebook是現在全世界我是說全世界
[00:00:26.380 --> 00:00:28.420]  一個最大的
[00:00:28.680 --> 00:00:30.720]  社交網站OK
[00:00:30.720 --> 00:00:32.780]  那麼我只是從那個
[00:00:32.780 --> 00:00:34.820]  網上面找到一個資料
[00:00:34.820 --> 00:00:37.900]  到今年3月31號為止
[00:00:37.900 --> 00:00:39.940]  臉書的用戶呢
[00:00:39.940 --> 00:00:43.020]  已經達到8億4500萬
[00:00:43.020 --> 00:00:46.600]  那麼全世界有多少人口你曉得嗎
[00:00:46.600 --> 00:00:49.680]  全世界有多少人口你曉得嗎
[00:00:49.680 --> 00:00:51.460]  71
[00:00:51.460 --> 00:00:57.100]  OK但是呢臉書的用戶呢已經佔的是8億4500萬
[00:00:57.860 --> 00:00:59.140]  那麼差不多呢每
[00:00:59.140 --> 00:01:01.960]  8個人當中只有一個
[00:01:01.960 --> 00:01:03.760]  是臉書的用戶
[00:01:03.760 --> 00:01:08.100]  如果你將所有臉書用戶加起來組成一個國家呢
[00:01:08.100 --> 00:01:10.160]  它是全世界
[00:01:10.160 --> 00:01:11.700]  僅次於
[00:01:11.700 --> 00:01:13.220]  中國還有呢
[00:01:13.220 --> 00:01:14.260]  印度
[00:01:14.260 --> 00:01:15.780]  第三個
[00:01:15.780 --> 00:01:17.060]  最大的國家
[00:01:17.060 --> 00:01:18.860]  所以我們看到了
[00:01:18.860 --> 00:01:20.900]  它的影響力不得了
[00:01:20.900 --> 00:01:23.200]  而且呢它那個
[00:01:23.200 --> 00:01:24.740]  增長的速度
[00:01:25.000 --> 00:01:28.320]  比我們人口的出生率還有高還有快
[00:01:28.320 --> 00:01:30.120]  所以很快呢他們說
[00:01:30.120 --> 00:01:32.940]  就會達到那個11這個一個數目
[00:01:32.940 --> 00:01:37.040]  那麼如果你是臉書的用戶每個都是吧對不對
[00:01:37.040 --> 00:01:38.560]  除非你不看啊
[00:01:38.560 --> 00:01:40.620]  每次你打開的時候呢你都會
[00:01:40.620 --> 00:01:41.900]  受到一個邀請
[00:01:41.900 --> 00:01:43.440]  我想和你做朋友
[00:01:43.440 --> 00:01:46.000]  會嗎每一天都有人request
[00:01:46.000 --> 00:01:48.560]  要求成為你的朋友
[00:01:48.560 --> 00:01:50.340]  只要你按一下confirm
[00:01:50.340 --> 00:01:51.620]  對不對confirm
[00:01:51.620 --> 00:01:52.900]  然後呢
[00:01:53.420 --> 00:01:57.000]  你是告訴他我願意跟這個人做一個網上的朋友
[00:01:57.000 --> 00:01:59.560]  你就立刻多了一個臉書的朋友
[00:01:59.560 --> 00:02:02.120]  那麼跟著我來的是什麼東西呢
[00:02:02.120 --> 00:02:04.180]  跟著我來的是這個朋友
[00:02:04.180 --> 00:02:08.520]  你新在網上面結做的朋友他的朋友也要跟你做朋友
[00:02:08.520 --> 00:02:10.060]  會這樣子嗎
[00:02:10.060 --> 00:02:12.880]  你就接到很多這樣的要求
[00:02:12.880 --> 00:02:16.200]  我希望我想跟你做個朋友
[00:02:16.200 --> 00:02:19.780]  那麼根據那個統計哦根據統計
[00:02:19.780 --> 00:02:22.340]  臉書的用戶呢每一個人
[00:02:22.860 --> 00:02:26.700]  大概有130到150個朋友
[00:02:26.700 --> 00:02:29.000]  我不曉得你有多少啊
[00:02:29.000 --> 00:02:35.400]  但是呢不少人是超過遠遠超過這個數目的甚至有人呢
[00:02:35.400 --> 00:02:38.220]  有3000個臉書的朋友
[00:02:38.220 --> 00:02:42.060]  那麼我昨天去看看我自己臉書的朋友
[00:02:42.060 --> 00:02:43.600]  我有155個
[00:02:43.600 --> 00:02:45.900]  差不多吧
[00:02:45.900 --> 00:02:48.980]  但是我忘記把電話拿過來
[00:02:48.980 --> 00:02:51.280]  我電話裡面的
[00:02:52.300 --> 00:02:55.120]  電話號碼代表的朋友你知道多少嗎
[00:02:55.120 --> 00:02:57.940]  645
[00:02:57.940 --> 00:03:03.060]  所以呢你會看到我臉書的只是155但是
[00:03:03.060 --> 00:03:05.100]  在電話裡面記下來
[00:03:05.100 --> 00:03:06.640]  有他電話號碼的
[00:03:06.640 --> 00:03:08.680]  以後可以跟他聯繫的朋友呢
[00:03:08.680 --> 00:03:11.500]  有645左右吧
[00:03:11.500 --> 00:03:14.580]  不太清楚應該是差不多
[00:03:14.580 --> 00:03:16.620]  645
[00:03:16.620 --> 00:03:18.680]  那麼分別在哪裡呢因為
[00:03:18.680 --> 00:03:20.980]  我的臉書朋友呢是每一個我都認識的
[00:03:21.480 --> 00:03:25.840]  朋友的朋友接收過來的呢我看不懂他的名字也不曉得這個人通常我就
[00:03:25.840 --> 00:03:26.860]  不會confirm
[00:03:26.860 --> 00:03:31.220]  每一個我confirm的臉書的朋友都是我
