
[00:00:00.000 --> 00:00:02.000]  好,大家好
[00:00:02.000 --> 00:00:05.880]  多謝,有反應
[00:00:05.880 --> 00:00:13.080]  好,今晚輪到我繼續去說「光愛」這個系列
[00:00:13.080 --> 00:00:17.280]  也想先問問大家
[00:00:17.280 --> 00:00:21.440]  有沒有發現或者想過
[00:00:21.440 --> 00:00:24.960]  為什麼一群人通常走在一起的時候
[00:00:27.600 --> 00:00:30.640]  不會一定是很友善
[00:00:30.640 --> 00:00:37.640]  或者你往往覺得某些人會比較難相處
[00:00:37.640 --> 00:00:39.640]  有沒有想過為什麼呢
[00:00:39.640 --> 00:00:42.760]  是不是好像某些廣告經常都說
[00:00:42.760 --> 00:00:46.360]  愛從來都不是很容易
[00:00:46.360 --> 00:00:49.960]  做朋友又可以選擇
[00:00:49.960 --> 00:00:52.880]  要遷就不合適的人
[00:00:52.880 --> 00:00:56.440]  很花時間的,很花心力的
[00:00:56.440 --> 00:01:00.480]  其實從你讀書開始
[00:01:00.480 --> 00:01:06.280]  你的朋友圈可能都比較多接近你的興趣和性格的人
[00:01:06.280 --> 00:01:09.080]  這些叫物以類聚
[00:01:09.080 --> 00:01:11.240]  我讀大學的時候都是這樣的
[00:01:11.240 --> 00:01:18.760]  其實我都比較喜歡跟一些性情比較隨和的同學做朋友
[00:01:18.760 --> 00:01:20.200]  為什麼呢
[00:01:20.200 --> 00:01:22.640]  因為沒有壓力,對不對
[00:01:22.640 --> 00:01:29.360]  一起做功課的時候通常我們都不會太多比較
[00:01:29.360 --> 00:01:35.240]  大家當然也不會經常為了小小事而生氣
[00:01:35.240 --> 00:01:38.240]  然後又說不友善
[00:01:38.240 --> 00:01:41.760]  最近可能大家也有聽過
[00:01:41.760 --> 00:01:46.000]  很多時候做了一些叫NBTI的性格測試
[00:01:46.000 --> 00:01:48.760]  我想當中大家也有聽過的
[00:01:48.760 --> 00:01:52.720]  另外還有其他的性格測試
[00:01:52.720 --> 00:01:57.720]  其實我們教會同工也有聊天
[00:01:57.720 --> 00:02:02.000]  我自己跟我的老師的家人
[00:02:02.000 --> 00:02:05.920]  或者跟某些小組的弟兄姊妹也有做過
[00:02:05.920 --> 00:02:08.640]  就有一個很有趣的發現
[00:02:08.640 --> 00:02:12.480]  發現原來神擺在你身邊的人
[00:02:12.480 --> 00:02:15.520]  有時候真的未必如你所願
