
[00:00:00.000 --> 00:00:05.000]  很感謝神能夠和弟兄姊妹一起敬拜、侍奉
[00:00:05.000 --> 00:00:12.000]  我特別感謝在「十一奉獻」這個題目上
[00:00:12.000 --> 00:00:15.000]  神給予我很多的教導
[00:00:15.000 --> 00:00:20.000]  很多教會的牧師、傳道人都說
[00:00:20.000 --> 00:00:23.000]  「十一奉獻」這個題目是不容易講
[00:00:23.000 --> 00:00:25.000]  是更加不容易接受
[00:00:25.000 --> 00:00:28.000]  但是我很感謝聖靈的帶領
[00:00:28.000 --> 00:00:31.000]  這幾次當我預備講章的時候
[00:00:31.000 --> 00:00:33.000]  我自己得到很寶貴的教導
[00:00:33.000 --> 00:00:36.000]  令我對「十一奉獻」
[00:00:36.000 --> 00:00:41.000]  關於「十一奉獻」是聖經教導的理念
[00:00:41.000 --> 00:00:44.000]  我更加清楚、更加有信心
[00:00:44.000 --> 00:00:49.000]  相信大家都會有同感
[00:00:49.000 --> 00:00:51.000]  在「十一奉獻」這個題目上
[00:00:51.000 --> 00:00:53.000]  今天是第四講
[00:00:53.000 --> 00:00:56.000]  相信講完這一講之後
[00:00:56.000 --> 00:00:58.000]  會暫告一段落
[00:00:58.000 --> 00:01:01.000]  大家可以透透氣
[00:01:01.000 --> 00:01:07.000]  但是希望「十一奉獻」這個教導
[00:01:07.000 --> 00:01:10.000]  能夠永遠放在我們的心裡
[00:01:10.000 --> 00:01:16.000]  我又和大家來去溫習一下
[00:01:16.000 --> 00:01:21.000]  第一就是在沒有律法之前
[00:01:21.000 --> 00:01:27.000]  這已經是四千年前
[00:01:27.000 --> 00:01:31.000]  一些曉得敬畏神和向神感恩的人
[00:01:31.000 --> 00:01:36.000]  他們已經開始自願向神作「十一奉獻」
[00:01:36.000 --> 00:01:39.000]  比如阿伯拉罕和雅各
[00:01:39.000 --> 00:01:43.000]  他們就是其中的好榜樣
[00:01:43.000 --> 00:01:48.000]  後來到了頒發律法的時候
[00:01:48.000 --> 00:01:50.000]  在律法之下的以色列人
[00:01:50.000 --> 00:01:53.000]  他們是規定每年會「十一奉獻」
[00:01:53.000 --> 00:01:59.000]  還加上感恩的奉獻、贖罪的奉獻
[00:01:59.000 --> 00:02:02.000]  和三年再一次的「十一奉獻」
[00:02:02.000 --> 00:02:06.000]  是做慈慰奉獻的
[00:02:06.000 --> 00:02:10.000]  後來到了主耶穌的時代
[00:02:10.000 --> 00:02:17.000]  主耶穌是認同並且吩咐要有「十一奉獻」
[00:02:17.000 --> 00:02:24.000]  這是上一講所說的
[00:02:24.000 --> 00:02:26.000]  主耶穌復活之後
[00:02:26.000 --> 00:02:28.000]  升天之後
[00:02:28.000 --> 00:02:33.000]  新約教會漸漸就開始形成
[00:02:33.000 --> 00:02:36.000]  初期教會的信徒
[00:02:36.000 --> 00:02:40.000]  他們怎樣去回應奉獻這個教導呢?
[00:02:40.000 --> 00:02:44.000]  這是今天我要說的
[00:02:44.000 --> 00:02:46.000]  在新約聖經裡面
[00:02:46.000 --> 00:02:48.000]  除了福音書中
[00:02:48.000 --> 00:02:52.000]  耶穌有教導「十一奉獻」之外
[00:02:52.000 --> 00:02:56.000]  在其餘的書信裡面
[00:02:56.000 --> 00:03:02.000]  就沒有再直接提到「十一奉獻」
[00:03:02.000 --> 00:03:06.000]  當時新約教會的信徒
[00:03:06.000 --> 00:03:12.000]  他們怎樣去回應這個奉獻呢?
[00:03:12.000 --> 00:03:16.000]  從今天所選的兩段經文
[00:03:16.000 --> 00:03:19.000]  在哥林多後書八章和九章裡面
[00:03:19.000 --> 00:03:23.000]  還有引用其他經文裡面
[00:03:23.000 --> 00:03:25.000]  我們可以看到
[00:03:25.000 --> 00:03:27.000]  初期教會的信徒
[00:03:27.000 --> 00:03:32.000]  他們的奉獻其實是超過「十一奉獻」
