
[00:00:00.000 --> 00:00:05.120]  各位姐妹平安,非常高興今天是2011年的第一個主日和大家見面
[00:00:05.120 --> 00:00:07.840]  我們今天一齊去研讀神的話語
[00:00:07.840 --> 00:00:12.160]  從神的話語當中我們得到這個亮光和力量
[00:00:12.160 --> 00:00:15.360]  我去思想我們今天應該去看什麼神的話語呢?
[00:00:15.360 --> 00:00:17.480]  我就想到很自然了,就是這個題目
[00:00:17.480 --> 00:00:21.480]  我們一齊來讀,新年願望,求賜我悟性
[00:00:21.480 --> 00:00:25.160]  我們特別會看詩篇119篇
[00:00:25.160 --> 00:00:32.080]  我今天特別抽了4節經文34、73、125和144節
[00:00:32.080 --> 00:00:34.840]  首先我們先看看一個引言
[00:00:34.840 --> 00:00:36.560]  我不知道你新年有沒有這個習慣
[00:00:36.560 --> 00:00:39.800]  我新年都有這個習慣的,就是
[00:00:39.800 --> 00:00:42.920]  包括未信主之前,都會未起身
[00:00:42.920 --> 00:00:46.280]  1月1號未起身之前,在床上立志
[00:00:46.280 --> 00:00:49.640]  做一個可以說是新年的願望
[00:00:49.640 --> 00:00:52.880]  今年裡面希望達到一個目標
[00:00:52.880 --> 00:00:55.440]  我在網上找到這個很有趣的資料
[00:00:55.440 --> 00:01:01.080]  我不知道會不會和你的新年目標、新年願望都會類似呢?
[00:01:01.080 --> 00:01:05.240]  原來高舉榜首的第一個新年的願望是什麼呢?
[00:01:05.240 --> 00:01:06.040]  知不知道?
[00:01:06.040 --> 00:01:09.840]  答答答答,原來就是鍛鍊身體的
[00:01:09.840 --> 00:01:12.360]  我相信我們很多人曾經都立過志
[00:01:12.360 --> 00:01:14.960]  立過無數次的志
[00:01:14.960 --> 00:01:19.760]  很有雄心壯志,買了一部跑步機回來
[00:01:19.760 --> 00:01:24.360]  頭一個星期、兩個星期就每天跑,然後每隔兩天跑一次
[00:01:24.360 --> 00:01:28.120]  再隔多三個月之後就用來跨山
[00:01:28.120 --> 00:01:30.880]  真正的鍛鍊身體是不容易的
[00:01:30.880 --> 00:01:35.640]  不過這個仍然維持No.1我們想做到的一個新年的願望
[00:01:35.640 --> 00:01:38.560]  第二個是保持快樂愉快的心境
[00:01:38.560 --> 00:01:40.680]  這個都很容易理解
[00:01:40.680 --> 00:01:45.040]  特別現在我們都很多的壓力、很多的困難
[00:01:45.040 --> 00:01:47.400]  保持快樂是很重要的
[00:01:47.400 --> 00:01:50.040]  那第三個你可能都猜到了,就是什麼?
[00:01:50.040 --> 00:01:54.120]  永恆的減肥,沒錯了
[00:01:54.120 --> 00:01:58.960]  男男女女就算他的體重多少磅、多輕、多瘦都好
[00:01:58.960 --> 00:02:00.400]  永遠覺得自己怎樣?
[00:02:00.400 --> 00:02:03.400]  差一點點,如果減多三磅就好了
[00:02:03.400 --> 00:02:06.880]  所以減肥高舉前三,第三名
[00:02:06.880 --> 00:02:08.280]  接著就是戒煙
[00:02:08.280 --> 00:02:11.800]  另外我覺得第五就很update了,就是什麼?
[00:02:11.800 --> 00:02:13.720]  不要沉溺上網
[00:02:13.720 --> 00:02:16.320]  這一幅圖畫大家應該都不陌生,是不是?
[00:02:16.320 --> 00:02:19.800]  搭乘地鐵現在是不會見到人的臉的,為什麼?
[00:02:19.800 --> 00:02:21.640]  是見到頭殼頂的
[00:02:21.640 --> 00:02:24.720]  因為全部低著頭在打手機、回覆電郵
[00:02:24.720 --> 00:02:28.960]  或者甚至乎我留意有時候是凹凹無心
[00:02:28.960 --> 00:02:32.000]  通常人們是拿著手機不斷滾動的,知道嗎?
[00:02:32.000 --> 00:02:34.320]  無限滾動、無限滾動、無限滾動
[00:02:34.320 --> 00:02:36.960]  但其實他不是滾動的,不是聽話的
[00:02:36.960 --> 00:02:41.440]  就是拿著手機是關心地做些動作
[00:02:41.440 --> 00:02:46.200]  接著第六至第十就是都很標準的了
[00:02:46.200 --> 00:02:48.800]  譬如第六就是全力以赴,做到最好
[00:02:48.800 --> 00:02:51.560]  第七就是戒酒,第八就是愛自己
[00:02:51.560 --> 00:02:52.880]  第九就是努力工作
[00:02:52.880 --> 00:02:56.080]  第十就是不要把事情弄得一團糟
[00:02:56.080 --> 00:03:01.040]  我不知道這裡說中了你多少樣新年的願望
[00:03:01.040 --> 00:03:05.120]  但是我認為這幅圖畫我想來想去
[00:03:05.120 --> 00:03:09.680]  我很想將這個新年願望送給你,也送給我自己
[00:03:09.680 --> 00:03:14.320]  我認為看《聖經》最好最貼切的一個新年的願望
[00:03:14.320 --> 00:03:18.360]  就是求主賜給我們「悟性」
[00:03:18.360 --> 00:03:19.880]  有沒有聽過這個名詞?
[00:03:19.880 --> 00:03:22.280]  可能對於一些初上的弟兄姊妹
[00:03:22.280 --> 00:03:27.400]  未必一定看過《詩篇》一百一十九篇
[00:03:27.400 --> 00:03:30.960]  甚至對於「悟性」這個名詞不是太熟悉
[00:03:30.960 --> 00:03:34.520]  因為這個詞可能在我們一般的
[00:03:34.520 --> 00:03:38.560]  講道或者查考《聖經》或者靈修當中
[00:03:38.560 --> 00:03:39.400]  未必這麼常見的
[00:03:39.400 --> 00:03:44.640]  但是實實在在這個詞你不要誤會是佛家的說話
[00:03:44.640 --> 00:03:46.880]  這個是《聖經》裡面的說話
[00:03:46.880 --> 00:03:48.760]  我們看看經文
[00:03:48.760 --> 00:03:51.960]  首先看《詩篇》一百一十九篇第三十四字
[00:03:51.960 --> 00:03:53.640]  我們一起來讀
[00:03:53.640 --> 00:04:00.040]  「求祢賜我「悟性」,我就遵守祢的律法,且要一心遵守」
[00:04:00.040 --> 00:04:04.440]  原來詩人說「神啊,祢賜我「悟性」」
[00:04:04.440 --> 00:04:09.960]  作用原來就是用來遵守神的律法,且要一心遵守
[00:04:09.960 --> 00:04:11.200]  他英文這樣說
[00:04:11.200 --> 00:04:16.320]  「Give me understanding that I may observe Your law and keep it with all my heart」
