
[00:00:00.000 --> 00:00:04.580]  我們繼續聖地網上行
[00:00:04.580 --> 00:00:06.080]  這個舊約網上行
[00:00:06.080 --> 00:00:07.980]  我們這次是第十七講
[00:00:07.980 --> 00:00:11.880]  我想一想 由第一講到現在已經十七講
[00:00:11.880 --> 00:00:13.380]  真的這麼簡單
[00:00:13.380 --> 00:00:21.840]  所以我們都是來看這段聖經
[00:00:21.840 --> 00:00:24.440]  我們講完阿巴罕故事的尾聲
[00:00:24.440 --> 00:00:27.900]  去到《創世紀》第24章
[00:00:27.900 --> 00:00:29.140]  第24章說什麼呢
[00:00:29.140 --> 00:00:33.240]  這段聖經說起來大家應該是有一點熟悉的
[00:00:33.240 --> 00:00:38.840]  就是阿巴罕為他的兒子以撒去找他的老婆
[00:00:38.840 --> 00:00:40.520]  記得嗎 第24章
[00:00:40.520 --> 00:00:43.800]  就是找到最後的利伯加 Rebekah
[00:00:43.800 --> 00:00:45.720]  我們先看這段聖經
[00:00:45.720 --> 00:00:47.920]  頭幾節 第24章第一節
[00:00:47.920 --> 00:00:50.520]  阿巴罕老邁了 年事已高
[00:00:50.520 --> 00:00:53.980]  耶和華在一切的事上都似乎及他
[00:00:53.980 --> 00:00:56.480]  阿巴罕對他家中最老的
[00:00:56.480 --> 00:00:59.260]  管理他所有產業的老僕人說
[00:00:59.260 --> 00:01:02.440]  我要你指著耶和華天上的神起誓
[00:01:02.440 --> 00:01:06.940]  不可從我現在所居住的迦南人中
[00:01:06.940 --> 00:01:10.680]  為我的兒子娶他們的女子為妻
[00:01:10.680 --> 00:01:13.060]  你卻要回到我的故鄉
[00:01:13.060 --> 00:01:15.060]  回到我的親族那裡
[00:01:15.060 --> 00:01:18.240]  為我的兒子以撒去娶妻
[00:01:18.240 --> 00:01:20.980]  這個故事開頭是這樣的
[00:01:20.980 --> 00:01:23.620]  其實是將它分開三部份
[00:01:23.620 --> 00:01:26.340]  第一部份就是在迦南地
[00:01:26.340 --> 00:01:31.480]  阿巴罕叫老僕人回到他的故鄉
[00:01:31.480 --> 00:01:33.480]  為以撒找一個老婆
[00:01:33.480 --> 00:01:35.480]  第二部份是很大段的
[00:01:35.480 --> 00:01:39.340]  說到老僕人到了米索不達米亞
[00:01:39.340 --> 00:01:42.580]  以前阿巴罕是在哈蘭附近
[00:01:42.580 --> 00:01:46.300]  在那裡嘗試找一個女子
[00:01:46.300 --> 00:01:50.620]  成為以撒的妻子
[00:01:50.620 --> 00:01:53.120]  結果他去了井邊
[00:01:53.120 --> 00:01:58.420]  以前在近東每逢到井邊都是談婚論嫁的地方
[00:01:58.420 --> 00:01:59.200]  為甚麼呢
[00:01:59.200 --> 00:02:01.540]  因為你想遇見一個女子
[00:02:01.540 --> 00:02:05.820]  在近東的社會就要去有打水的地方
[00:02:05.820 --> 00:02:06.820]  井的地方
[00:02:06.820 --> 00:02:09.300]  因為以前都是女人做事的
[00:02:09.300 --> 00:02:12.260]  女人拿著情去打水
[00:02:12.260 --> 00:02:15.520]  然後大家在那裡聊天等等
[00:02:15.520 --> 00:02:17.740]  打水之後他就回到家
[00:02:17.740 --> 00:02:20.540]  所以老僕人去到井邊的時候
[00:02:20.540 --> 00:02:24.320]  他就去求問上帝給他一個引證
[00:02:24.320 --> 00:02:27.200]  那麼多個女子到底是誰打誰呢
[00:02:27.200 --> 00:02:31.480]  誰才是神為以撒預備的妻子呢
[00:02:31.480 --> 00:02:34.620]  所以他就去祈禱求一個引證
[00:02:34.620 --> 00:02:37.900]  問那個女子肯給他水
[00:02:37.900 --> 00:02:42.100]  甚至打水給他的駱駝
[00:02:42.100 --> 00:02:45.860]  因為他穿金戴銀拿著很多的裝甲
[00:02:45.860 --> 00:02:51.080]  就去找這個女子
[00:02:51.080 --> 00:02:54.040]  所以有很多金銀寶石等等的東西
[00:02:54.040 --> 00:02:56.220]  帶著很多駱駝去到這個地方
[00:02:56.220 --> 00:02:57.400]  就給裝甲
[00:02:57.400 --> 00:03:00.240]  嫁妝
[00:03:00.240 --> 00:03:03.680]  就去找這個女子回去
[00:03:03.680 --> 00:03:05.440]  結果他一祈禱的時候
[00:03:05.440 --> 00:03:06.960]  利伯家就出現了
[00:03:06.960 --> 00:03:10.360]  就問他可不可以打水給我喝
[00:03:10.360 --> 00:03:11.880]  他說可以沒問題
[00:03:11.880 --> 00:03:14.880]  那麼他就打了水給這個老僕人
[00:03:14.880 --> 00:03:18.360]  甚至自願的來打水給他的駱駝
[00:03:18.360 --> 00:03:20.480]  有一個這麼好的女子
[00:03:20.480 --> 00:03:22.680]  他就說這個就是了
[00:03:22.680 --> 00:03:25.440]  所以上帝就給他一個引證
[00:03:25.440 --> 00:03:30.440]  於是他就和利伯家的家人
[00:03:30.440 --> 00:03:32.960]  即是阿布拉罕的近親
[00:03:32.960 --> 00:03:35.920]  去講這些嫁娶的婚事
[00:03:35.920 --> 00:03:39.800]  然後第三部分就帶著Rebecca
[00:03:39.800 --> 00:03:43.080]  回去迦南地
[00:03:43.080 --> 00:03:45.480]  這個故事就是這樣
[00:03:45.480 --> 00:03:48.000]  我們第一個的感覺肯定就是覺得
[00:03:48.000 --> 00:03:50.040]  這個是一個愛情故事
[00:03:50.040 --> 00:03:50.560]  為什麼呢?
[00:03:50.560 --> 00:03:54.080]  因為聖經裡面很少講這些愛情故事
