
[00:00:00.000 --> 00:00:02.000]  各位早晨 我們一齊低頭禱告
[00:00:02.000 --> 00:00:06.800]  天父我們將整個崇拜的教課擺上
[00:00:06.800 --> 00:00:10.600]  主啊 多謝祢 祢讓我們有心靈氣息來到主的面前擒拜
[00:00:10.600 --> 00:00:14.100]  求主祢使用孩子所領受的
[00:00:14.100 --> 00:00:16.300]  讓他們所聽的都是同感恩靈
[00:00:16.300 --> 00:00:21.100]  讓他們在我們的家庭當中 知道怎樣去更新 去榮耀祢
[00:00:21.100 --> 00:00:24.400]  多謝主 以上禱告 奉我們國主保佑 以聖明節祈禱
[00:00:26.600 --> 00:00:30.600]  今天是兒童主日 我也希望藉著兒童主日
[00:00:30.600 --> 00:00:34.800]  我們也嘗試探索家庭 時間雖然不是很多
[00:00:34.800 --> 00:00:37.000]  但也讓我們能夠有少少的探索
[00:00:37.000 --> 00:00:41.200]  講約西亞的一個皇帝
[00:00:41.200 --> 00:00:45.400]  約西亞皇帝八歲的時候就已經分姬
[00:00:45.400 --> 00:00:49.600]  已經做了三十一年皇帝 聖經形容他是一個好皇帝
[00:00:49.600 --> 00:00:52.800]  已經八歲已經做皇帝了
[00:00:53.000 --> 00:00:58.000]  我查過寶兒 我們中國古代寶兒四歲都做皇帝
[00:00:58.000 --> 00:01:00.200]  更何況 為什麼會動來動去
[00:01:00.200 --> 00:01:02.400]  不好意思 是的
[00:01:02.400 --> 00:01:04.600]  以為他又狂了一場
[00:01:04.600 --> 00:01:06.800]  好 接著就是
[00:01:06.800 --> 00:01:11.000]  接著就是十六歲了
[00:01:11.000 --> 00:01:16.200]  十六歲了 他就做了八年了 年幼
[00:01:16.200 --> 00:01:19.400]  但聖經繼續形容一個很正面的東西
[00:01:19.600 --> 00:01:23.600]  就好像他裂了一樣 尋求大衛的神
[00:01:23.600 --> 00:01:26.800]  二十歲了 他做了什麼呢
[00:01:26.800 --> 00:01:33.000]  二十歲了 他就把耶路撒冷和猶大的地方
[00:01:33.000 --> 00:01:35.200]  把所有的偶像都除去
[00:01:35.200 --> 00:01:40.400]  無論是巴力的偶像 木造的 銅造的 鐵造的
[00:01:40.400 --> 00:01:44.600]  都把所有的偶像都打碎了
[00:01:44.800 --> 00:01:52.800]  甚至把那些像的碎片都撒在墳墓的壇上
[00:01:52.800 --> 00:01:57.000]  所以看到二十歲的約西亞
[00:01:57.000 --> 00:02:01.200]  二十歲的時候 已經致力把宗教改革
[00:02:01.200 --> 00:02:04.400]  到二十六歲的時候
[00:02:04.400 --> 00:02:06.600]  他甚至結成了聖殿
[00:02:06.600 --> 00:02:13.800]  命令人修理了耶和華他所建的神殿
[00:02:14.000 --> 00:02:18.000]  還要拿錢來維修這個地方
[00:02:18.000 --> 00:02:22.200]  當你看到約西亞八歲的時候 十六歲的時候
[00:02:22.200 --> 00:02:24.400]  二十歲的時候和二十六歲的時候
[00:02:24.400 --> 00:02:28.600]  一個一個會出現一個很敬虔的生命當中
[00:02:28.600 --> 00:02:36.600]  我不禁一問 究竟這個約西亞年紀這麼小
[00:02:36.600 --> 00:02:42.800]  為什麼這麼小就懂得從小到大尋求上帝呢
[00:02:43.000 --> 00:02:46.000]  我在想 莫非是有屬靈的導師
[00:02:46.000 --> 00:02:50.200]  如果記得上次講到的
[00:02:50.200 --> 00:02:55.400]  約亞斯的屬靈師父是耶和耶大
[00:02:55.400 --> 00:03:00.200]  耶和耶大如何造王 如何拯救他 如何輔助他
[00:03:00.200 --> 00:03:04.400]  以至他能夠活出一個敬虔的皇帝
[00:03:04.400 --> 00:03:06.600]  不過當耶和耶大死了之後
[00:03:06.600 --> 00:03:09.800]  約亞斯整個人生轉變了過來
[00:03:10.000 --> 00:03:13.000]  很稀奇的是在整本聖經當中
[00:03:13.000 --> 00:03:17.200]  約西亞沒有關於任何一個屬靈的導師在身邊
[00:03:17.200 --> 00:03:21.400]  又講一下 莫非是個人的屬靈經驗
[00:03:21.400 --> 00:03:25.600]  又不像 如果記起薩姆爾記
[00:03:25.600 --> 00:03:27.800]  薩姆爾年幼的時候
[00:03:27.800 --> 00:03:32.000]  當他在以利面前侍奉耶和華
[00:03:32.000 --> 00:03:36.200]  忽然間聽到 薩姆爾 薩姆爾 薩姆爾
[00:03:36.400 --> 00:03:41.400]  誰叫我呢 一次以為是以利亞叫他
[00:03:41.400 --> 00:03:44.600]  第二次以為是以利亞叫他 以利叫他
[00:03:44.600 --> 00:03:48.800]  誰知以利第三次聽到發現不是我叫你
[00:03:48.800 --> 00:03:54.000]  是發現耶和華親自來呼喚薩姆爾
