
[00:00:00.000 --> 00:00:08.600]  開始之前,讓我們聽一聽一個寓意的故事
[00:00:08.600 --> 00:00:11.880]  話說有一位宣教士
[00:00:11.880 --> 00:00:15.960]  他去到非洲宣教
[00:00:15.960 --> 00:00:20.240]  有一次他進入一個森林裏面
[00:00:20.240 --> 00:00:26.520]  怎知突然遇見一隻很凶惡的獅子
[00:00:26.520 --> 00:00:27.840]  害不害怕呢?
[00:00:27.840 --> 00:00:29.560]  很害怕
[00:00:29.560 --> 00:00:31.000]  當他那麼害怕的時候
[00:00:31.000 --> 00:00:35.760]  他就很快地跪下去祈禱
[00:00:35.760 --> 00:00:39.200]  祈禱了一會兒,又發現沒甚麼動靜
[00:00:39.200 --> 00:00:45.320]  於是他睜開眼睛來看看環境如何
[00:00:45.320 --> 00:00:48.680]  但是當他睜開眼睛一看的時候
[00:00:48.680 --> 00:00:54.640]  他竟然發現那隻獅子也一樣跪在地上來祈禱
[00:00:54.640 --> 00:00:57.400]  他就笑笑口地說
[00:00:57.400 --> 00:01:00.680]  「師兄」,獅子的「師」
[00:01:00.680 --> 00:01:02.280]  「原來你也那麼熱心」
[00:01:02.280 --> 00:01:05.920]  「你願意跟我一起來祈禱?」
[00:01:05.920 --> 00:01:08.720]  怎知那隻凶猛的獅子就說
[00:01:08.720 --> 00:01:09.920]  「不要吵」
[00:01:09.920 --> 00:01:16.760]  「我現在正在做謝飯的禱告」
[00:01:16.760 --> 00:01:21.800]  如果你問我要怎樣去詮釋這個幽默的故事
[00:01:21.800 --> 00:01:25.520]  究竟有甚麼屬靈的教訓呢?
[00:01:25.520 --> 00:01:27.960]  我想我會這樣說
[00:01:27.960 --> 00:01:33.520]  連一隻凶猛的獅子都懂得感恩
[00:01:33.520 --> 00:01:36.720]  都懂得來做謝飯禱的話
[00:01:36.720 --> 00:01:39.800]  何況我們屬主的人呢?
[00:01:39.800 --> 00:01:46.000]  豈不是我們更加要感恩嗎?
[00:01:46.000 --> 00:01:50.520]  我們真的要有一個感恩的心
[00:01:50.520 --> 00:01:54.520]  而這個事實上也是聖經的教導
[00:01:54.520 --> 00:01:56.920]  作為基督徒屬主的人
[00:01:56.920 --> 00:02:00.800]  希望在我們的生命裏常常有這個標誌
[00:02:00.800 --> 00:02:02.200]  這個標記
[00:02:02.200 --> 00:02:05.800]  就是感恩的生命
[00:02:05.800 --> 00:02:09.640]  凡是謝恩的生命
[00:02:09.640 --> 00:02:12.120]  這個不是因為聶牧師特別去講
[00:02:12.120 --> 00:02:15.200]  因為這個都是聖經的說話
[00:02:15.200 --> 00:02:16.520]  剛才我們所讀的經文
[00:02:16.520 --> 00:02:19.040]  我們已經很熟悉的經文
[00:02:19.040 --> 00:02:21.600]  貼在《羅尼加前書》的第五章
[00:02:21.600 --> 00:02:23.640]  第十六到十八節那裏
[00:02:23.640 --> 00:02:26.720]  本來很清楚的去提醒弟兄姊妹
[00:02:26.720 --> 00:02:28.720]  也都包括提醒我們
[00:02:28.720 --> 00:02:30.520]  我們基督徒要遵行神的旨意
[00:02:30.520 --> 00:02:33.320]  有三樣東西一定要去
[00:02:33.320 --> 00:02:34.040]  第一
[00:02:34.040 --> 00:02:35.920]  常常的喜樂
[00:02:35.920 --> 00:02:38.040]  不住的禱告
[00:02:38.040 --> 00:02:40.680]  凡是謝恩
[00:02:40.680 --> 00:02:42.080]  相信大家都還記得
[00:02:42.080 --> 00:02:44.920]  我們過去的兩次的主餐主日
[00:02:44.920 --> 00:02:46.840]  都和弟兄姊妹分享過
[00:02:46.840 --> 00:02:49.560]  我們怎樣在八十常常的喜樂
[00:02:49.560 --> 00:02:51.720]  在八十不住的禱告
[00:02:51.720 --> 00:02:54.400]  今天我們學了第三個功課
[00:02:54.400 --> 00:02:55.760]  在八十
[00:02:55.760 --> 00:02:58.160]  在今年的八十週年裏面
[00:02:58.160 --> 00:02:59.800]  我們不要忘記一件事
[00:02:59.800 --> 00:03:03.320]  我們要常常的去感謝神
[00:03:03.320 --> 00:03:05.760]  凡是的來謝恩
[00:03:05.760 --> 00:03:09.280]  因為這個是神對我們的旨意
[00:03:09.280 --> 00:03:10.240]  好了
[00:03:10.240 --> 00:03:11.560]  四個字
[00:03:11.560 --> 00:03:12.680]  凡是謝恩
[00:03:12.680 --> 00:03:14.840]  究竟是什麼意思呢?
[00:03:14.840 --> 00:03:16.120]  大家有沒有想過
[00:03:16.120 --> 00:03:17.920]  究竟這四個字
[00:03:17.920 --> 00:03:20.560]  所表達的是一個什麼含義呢?
[00:03:20.560 --> 00:03:24.280]  保羅說凡是謝恩
[00:03:24.280 --> 00:03:26.080]  是什麼含義呢?
[00:03:26.080 --> 00:03:28.480]  其實都不會太複雜
[00:03:28.480 --> 00:03:30.200]  凡是謝恩
[00:03:30.200 --> 00:03:31.520]  其實意思就是說
[00:03:31.520 --> 00:03:34.440]  我們在任何的情況底下
[00:03:34.440 --> 00:03:37.360]  都要感恩
[00:03:37.360 --> 00:03:39.720]  在任何的情況底下
[00:03:39.720 --> 00:03:43.560]  都要感恩
[00:03:43.560 --> 00:03:46.240]  如果我們對英文稍為有認識
[00:03:46.240 --> 00:03:49.000]  英文也是很清楚讓我們知道
[00:03:49.000 --> 00:03:51.440]  英文怎麼翻譯這句說話呢?
[00:03:51.440 --> 00:03:53.560]  英文說話的翻譯是
[00:03:53.560 --> 00:04:00.680]  Give thanks in all circumstances
[00:04:00.680 --> 00:04:03.880]  就是說我們在無論什麼的際遇
[00:04:03.880 --> 00:04:05.280]  無論什麼的環境
[00:04:05.280 --> 00:04:06.600]  無論什麼的處境
[00:04:06.600 --> 00:04:08.200]  無論是什麼事情
[00:04:08.200 --> 00:04:10.280]  無論是什麼的經歷都好
[00:04:10.280 --> 00:04:13.600]  其實我們都可以去感謝神
[00:04:13.600 --> 00:04:14.560]  就是這個意思
[00:04:14.560 --> 00:04:17.600]  保羅的提醒就是這樣
[00:04:17.600 --> 00:04:19.400]  就是說其實我們可以說
[00:04:19.400 --> 00:04:20.920]  一直都可以感謝神
[00:04:20.920 --> 00:04:22.000]  作為一個基督徒
[00:04:22.000 --> 00:04:25.360]  無論是什麼的情況底下
[00:04:25.360 --> 00:04:26.520]  無論是順境的
[00:04:26.520 --> 00:04:27.360]  我們可以感謝
[00:04:27.360 --> 00:04:28.600]  無論是逆境的
[00:04:28.600 --> 00:04:29.920]  我們都可以感謝
[00:04:29.920 --> 00:04:31.440]  開心的時候可以感謝
[00:04:31.440 --> 00:04:33.880]  不開心的時候都可以感謝
[00:04:33.880 --> 00:04:35.560]  有錢的時候我們可以感謝
[00:04:35.560 --> 00:04:37.080]  沒什麼錢的時候
[00:04:37.080 --> 00:04:38.920]  一樣可以感謝
[00:04:38.920 --> 00:04:41.640]  因為在任何的情況底下
[00:04:41.640 --> 00:04:43.000]  都要感恩
[00:04:43.000 --> 00:04:44.400]  就是經文的意思
[00:04:44.400 --> 00:04:46.720]  領者們我們有沒有這樣的生命見證呢?
[00:04:46.720 --> 00:04:49.320]  我們的生命的標誌是不是這樣
[00:04:49.320 --> 00:04:51.920]  凡事謝恩呢?
[00:04:51.920 --> 00:04:55.600]  所以求主幫助我們不要忘恩
[00:04:55.600 --> 00:05:00.000]  求主幫助我們不要缺乏一個感恩的心
[00:05:00.000 --> 00:05:02.200]  當然我們很清楚知道
[00:05:02.200 --> 00:05:04.760]  如果我們處身在一個風築的裏面
[00:05:04.760 --> 00:05:06.760]  我們在一個順境的裏面
[00:05:06.760 --> 00:05:09.080]  我們凡事亨通的時候
[00:05:09.080 --> 00:05:11.560]  我們是比較容易謝恩的
[00:05:11.560 --> 00:05:13.200]  這個大家都知道
[00:05:13.200 --> 00:05:14.960]  不過如果我們作為一個
[00:05:14.960 --> 00:05:18.880]  真的懂得凡事感恩的人
[00:05:18.880 --> 00:05:20.640]  我想我們都需要知道
[00:05:20.640 --> 00:05:23.720]  縱然間有一天我們在一個試煉的裏面
[00:05:23.720 --> 00:05:25.160]  在艱難的裏面
[00:05:25.160 --> 00:05:27.880]  在一個患難的裏面
[00:05:27.880 --> 00:05:29.800]  求主幫助我們都一樣
[00:05:29.800 --> 00:05:33.080]  可以去感恩
[00:05:33.080 --> 00:05:35.200]  為什麼我們可以在這樣的艱難的裏面
[00:05:35.200 --> 00:05:35.920]  都可以感恩呢?
[00:05:35.920 --> 00:05:37.200]  因為我們相信
[00:05:37.200 --> 00:05:39.600]  在這一切的患難
[00:05:39.600 --> 00:05:40.880]  艱難的裏面
[00:05:40.880 --> 00:05:44.000]  背後仍然是有上帝的旨意的
[00:05:44.000 --> 00:05:45.400]  而上帝的旨意裏面
[00:05:45.400 --> 00:05:47.640]  祂對我們一定是良善的
[00:05:47.640 --> 00:05:49.400]  一定是好的
