
[00:00:00.000 --> 00:00:03.080]  在正道以善禮同心來祈禱
[00:00:03.080 --> 00:00:06.760]  神的獨生兒子主耶穌基督求祢施恩賀念祢的罪人
[00:00:06.760 --> 00:00:10.560]  願意在主祢面前來站立宣講主的恩賢
[00:00:10.560 --> 00:00:13.040]  祢來高沒下自口
[00:00:13.040 --> 00:00:18.520]  容讓祢的真道能夠解明
[00:00:18.520 --> 00:00:21.560]  容讓真理的聖靈來開啟我們的茅室
[00:00:21.560 --> 00:00:23.560]  能夠容讓我們進入真理
[00:00:23.560 --> 00:00:27.400]  願以忠敬的將以下時間環節來交託
[00:00:27.400 --> 00:00:30.800]  仰望願主保守 因領祈禱
[00:00:30.800 --> 00:00:33.480]  賴奉耶穌聖名祈求 阿們
[00:00:57.400 --> 00:01:14.680]  11月10日晚上七時半
[00:01:14.680 --> 00:01:19.520]  在禮堂將會舉行一個非常重要的聚會
[00:01:19.520 --> 00:01:24.120]  我們多次透過宣傳片單張海報提醒大家
[00:01:24.120 --> 00:01:30.920]  大家是否還記得這件事呢?
[00:01:30.920 --> 00:01:36.680]  我們在11月10日晚上七時半
[00:01:36.680 --> 00:01:42.560]  大概這個時間在禮堂舉行一個報道會
[00:01:42.560 --> 00:01:54.320]  這個報道會的題目叫「生命的樂章」
[00:01:54.320 --> 00:01:56.120]  感謝主人回應
[00:01:56.120 --> 00:02:00.160]  我盼望這個這麼重要的聚會
[00:02:00.160 --> 00:02:02.480]  不單止是教會的事
[00:02:02.480 --> 00:02:04.960]  更加是大家的事
[00:02:04.960 --> 00:02:07.560]  不單止是你參加
[00:02:07.560 --> 00:02:20.080]  更重要的是你帶未信傳的親友、鄰舍來參加
[00:02:20.080 --> 00:02:24.800]  我們每次去報道會的時間
[00:02:24.800 --> 00:02:26.600]  都會面對一個情景
[00:02:26.600 --> 00:02:32.720]  到底有多少人會被邀請參加、出席呢?
[00:02:32.720 --> 00:02:39.560]  可能大家都覺得我們有很多原因、很多困難
[00:02:39.560 --> 00:02:42.640]  大家可能會想到
[00:02:42.640 --> 00:02:46.760]  我們每天上班其實都很長的時間
[00:02:46.760 --> 00:02:48.760]  回到家七、八時
[00:02:48.760 --> 00:02:50.840]  吃完飯都九時
[00:02:50.840 --> 00:02:53.640]  我們有甚麼時間、有甚麼機會
