
[00:00:00.000 --> 00:00:04.040]  如果你記得我上一次和大家分享
[00:00:04.040 --> 00:00:08.480]  是講到奧秘的天國
[00:00:08.480 --> 00:00:11.520]  就是現在這個教會的時期
[00:00:11.520 --> 00:00:15.120]  我們說由於以色列人不接受耶穌基督
[00:00:15.120 --> 00:00:18.720]  所以我們這些愛邦人得以信主
[00:00:18.720 --> 00:00:21.440]  成為了愛邦人的時期
[00:00:21.440 --> 00:00:24.640]  成為了教會的時期
[00:00:24.640 --> 00:00:28.400]  這個奧秘的天國這一段時間
[00:00:28.400 --> 00:00:32.320]  是非常奧秘,是舊約沒有提到
[00:00:32.320 --> 00:00:36.560]  這是一段時間我們的王耶穌基督
[00:00:36.560 --> 00:00:40.240]  不在地上來到,而是真正坐在那裡掌權
[00:00:40.240 --> 00:00:44.400]  而是他已經回到他父的右手邊
[00:00:44.400 --> 00:00:47.920]  這個不是外在的國度
[00:00:47.920 --> 00:00:52.880]  這是我們每個人心裡內在的國度
[00:00:52.880 --> 00:00:59.280]  這是天國和人的國一起進行的時候
[00:00:59.280 --> 00:01:03.600]  耶穌基督在《馬太福音》13章透過8個比喻
[00:01:03.600 --> 00:01:12.720]  來講述這一段時間奧秘的天國會是怎樣
[00:01:12.720 --> 00:01:16.960]  耶穌基督在《馬太福音》第13章11節
[00:01:16.960 --> 00:01:22.960]  他說:「因為天國的奧秘只叫你們知道,不叫他們知道。」
[00:01:22.960 --> 00:01:26.400]  這裡的你們就是所有接受耶穌基督的人
[00:01:26.400 --> 00:01:30.960]  包括門徒,包括他跟隨耶穌基督的人
[00:01:30.960 --> 00:01:36.160]  所有接受耶穌基督的人都能夠明白天國的奧秘
[00:01:36.160 --> 00:01:39.760]  但是不接受的就不能夠明白
[00:01:39.760 --> 00:01:42.560]  今天要跟大家講的是第一個比喻
[00:01:42.560 --> 00:01:47.920]  是殺種的比喻,相信大家都非常熟悉這個比喻
[00:01:47.920 --> 00:01:49.520]  這個比喻很重要
[00:01:49.520 --> 00:01:51.840]  在《馬太福音》4章13節
[00:01:51.840 --> 00:01:54.800]  耶穌基督對門徒說:
[00:01:54.800 --> 00:01:57.440]  「你們不明白這比喻嗎?
[00:01:57.440 --> 00:02:01.200]  這樣怎能明白一切的比喻呢?」
[00:02:01.200 --> 00:02:04.160]  原來能夠明白第一個比喻
[00:02:04.160 --> 00:02:10.560]  會幫助我們能夠明白所有其他七個比喻
[00:02:10.560 --> 00:02:12.400]  其實如果每一個比喻
[00:02:12.400 --> 00:02:17.520]  我們能夠反覆地讀,反覆地思考的話
[00:02:17.520 --> 00:02:20.960]  我們一定能夠大有收穫
[00:02:20.960 --> 00:02:23.840]  今天剛才讀過經文耶穌基督
[00:02:23.840 --> 00:02:28.560]  經文說祂是從房子裡走出來到海邊坐下
[00:02:28.560 --> 00:02:30.160]  這個很精彩
[00:02:30.160 --> 00:02:33.680]  有一個形意識,有一個代表性在裡面
[00:02:33.680 --> 00:02:37.200]  我們知道房子房屋是代表以色列
[00:02:37.200 --> 00:02:39.360]  The House of Israel
[00:02:39.360 --> 00:02:40.960]  是以色列之家
[00:02:40.960 --> 00:02:45.120]  祂從以色列當中走出來到海邊
[00:02:45.120 --> 00:02:49.360]  海是代表人,人山人海
