
[00:00:00.000 --> 00:00:01.780]  頂尖智慧月早晨
[00:00:01.780 --> 00:00:05.340]  和在網上崇拜的頂尖智慧月也說一聲早晨
[00:00:05.340 --> 00:00:09.500]  可能你現在在家裡和家人看著螢幕
[00:00:09.500 --> 00:00:12.200]  然後參與崇拜或者看著電話
[00:00:12.200 --> 00:00:14.200]  甚至可能在你辦公的地方
[00:00:14.200 --> 00:00:17.780]  如果你的老闆或者你的工作環境許可
[00:00:17.780 --> 00:00:23.080]  你可能也在當中會不會看著我們網上的直播呢?
[00:00:23.080 --> 00:00:26.740]  我很希望我們一起參與網上崇拜的時候
[00:00:26.740 --> 00:00:29.440]  我們都能夠營養一個專一的心
[00:00:29.440 --> 00:00:32.640]  雖然我們不能夠在實體在現在的禮堂當中
[00:00:32.640 --> 00:00:34.640]  其實很感恩現在在禮堂面前
[00:00:34.640 --> 00:00:38.000]  都有十位八位的頂尖智慧
[00:00:38.000 --> 00:00:40.140]  在我們當中一起去敬拜主
[00:00:40.140 --> 00:00:43.820]  願意我們不是看著一個錄影或者看著一個影像
[00:00:43.820 --> 00:00:47.980]  而是我們都用心靈來誠實去敬拜我們的上主
[00:00:47.980 --> 00:00:55.240]  由1月23號開始
[00:00:55.240 --> 00:00:58.140]  香港出現第一個武漢肺炎到今天
[00:00:58.140 --> 00:01:00.380]  已經有95個個案
[00:01:00.380 --> 00:01:02.380]  你們說不是啊 昨天沒有真真
[00:01:02.380 --> 00:01:05.620]  在昨天多了一個地方95個個案
[00:01:05.620 --> 00:01:09.920]  而全世界各地除了南極洲之外
[00:01:09.920 --> 00:01:14.320]  所有大部分的國家 超過40個國家都受到感染
[00:01:14.320 --> 00:01:15.940]  超過8萬人受感染
[00:01:15.940 --> 00:01:19.940]  也有2800多個死亡個案
[00:01:19.940 --> 00:01:21.740]  面對著今天的疫情
[00:01:21.740 --> 00:01:22.940]  可能你會問
[00:01:22.940 --> 00:01:26.740]  上帝啊 為什麼你會容忍這些事情發生呢?
[00:01:26.740 --> 00:01:29.840]  除了我們知道 是啊 因為耶穌也說
[00:01:29.840 --> 00:01:31.340]  當主祖禮日子
[00:01:31.340 --> 00:01:35.140]  瘟疫 饑荒 地震會不斷地發生
[00:01:35.140 --> 00:01:37.340]  但是你讓這些事情發生的時候
[00:01:37.340 --> 00:01:41.540]  上帝 你有什麼教訓給我們呢?
[00:01:41.540 --> 00:01:45.440]  當我今天去預備講道的時候
[00:01:45.440 --> 00:01:47.640]  其實我很希望在這一年裡面
[00:01:47.640 --> 00:01:50.940]  都和大家去看看大衛的生平
[00:01:50.940 --> 00:01:52.440]  直覺大衛和上帝的關係
[00:01:52.440 --> 00:01:55.240]  我們去思想一個使人得見的僕人
[00:01:55.240 --> 00:01:57.240]  他的生命應該是怎樣的
[00:01:57.240 --> 00:01:59.140]  我還打算在第一季裡面
[00:01:59.140 --> 00:02:02.540]  我們透過大衛的生命去學習生命根深
[00:02:02.540 --> 00:02:03.940]  如果你還記得
[00:02:03.940 --> 00:02:06.040]  在上個月
[00:02:06.040 --> 00:02:09.340]  我們去用《何必偏偏選中我》
[00:02:09.340 --> 00:02:15.140]  看看上帝怎麼會揀選大衛成為以色列的王
[00:02:15.140 --> 00:02:16.340]  在當中我們看到
[00:02:16.340 --> 00:02:19.940]  神的揀選是用心來看
[00:02:19.940 --> 00:02:21.740]  是看人的內心
[00:02:21.740 --> 00:02:24.640]  而我們人也要做好準備自己的生命
[00:02:24.640 --> 00:02:27.440]  因為上帝的恩典高於人的軟弱
[00:02:27.440 --> 00:02:29.740]  我們要預備好自己
[00:02:29.740 --> 00:02:33.040]  我們要學習如何去侍奉上帝
[00:02:33.040 --> 00:02:35.340]  當我預備今天講道的時候
[00:02:35.340 --> 00:02:37.540]  原本應該繼續看下一章
[00:02:37.540 --> 00:02:38.540]  但是我就想
[00:02:38.540 --> 00:02:40.240]  究竟大衛的生平當中
[00:02:40.240 --> 00:02:42.340]  有沒有遇過像我們今天
[00:02:42.340 --> 00:02:46.240]  這麼大的災害或者瘟疫呢?
[00:02:46.240 --> 00:02:47.640]  果然有
[00:02:47.640 --> 00:02:49.040]  在撒姆爾記下
[00:02:49.040 --> 00:02:51.840]  剛才葉姑娘幫我們讀的經文24章裡面
[00:02:51.840 --> 00:02:57.640]  記載了以色列遇到一個全國上下的大瘟疫
[00:02:57.640 --> 00:03:00.440]  而死了七萬人
[00:03:00.440 --> 00:03:02.540]  究竟這段瘟疫是怎麼發生的呢?
[00:03:02.540 --> 00:03:05.340]  大衛在當中學習了什麼的屬靈功課呢?
[00:03:05.340 --> 00:03:07.240]  我們再進入這個講道之前
[00:03:07.240 --> 00:03:08.640]  求聖靈帶領我們
[00:03:08.640 --> 00:03:11.340]  去學習上帝給我們的教導
[00:03:11.340 --> 00:03:13.240]  我們同心禱告
[00:03:13.240 --> 00:03:14.940]  全能全智的主
[00:03:14.940 --> 00:03:16.840]  祢是和華上帝
[00:03:16.840 --> 00:03:18.840]  祢是掌管生命的
[00:03:18.840 --> 00:03:20.540]  祢是創天造的主
[00:03:20.540 --> 00:03:23.340]  一切都是從祢而來
[00:03:23.340 --> 00:03:24.140]  所以我們明白
