
[00:00:00.000 --> 00:00:02.000]  大家不知道有沒有同感
[00:00:02.000 --> 00:00:04.000]  我覺得時間過得很快
[00:00:04.000 --> 00:00:08.000]  聖誕節好像還記憶猶新
[00:00:08.000 --> 00:00:10.000]  好像剛剛過去了
[00:00:10.000 --> 00:00:12.000]  但是下個禮拜日
[00:00:12.000 --> 00:00:14.000]  又是復活節了
[00:00:14.000 --> 00:00:16.000]  當然
[00:00:16.000 --> 00:00:18.000]  接下來這個星期五
[00:00:18.000 --> 00:00:20.000]  就是基督受難
[00:00:20.000 --> 00:00:22.000]  受難節
[00:00:22.000 --> 00:00:24.000]  是基督為我們世人的罪
[00:00:24.000 --> 00:00:26.000]  為了我們的罪
[00:00:26.000 --> 00:00:28.000]  釘死在十字架上
[00:00:28.000 --> 00:00:30.000]  是耶穌
[00:00:30.000 --> 00:00:32.000]  為我們世人
[00:00:32.000 --> 00:00:34.000]  替罪
[00:00:34.000 --> 00:00:38.000]  為人替罪
[00:00:38.000 --> 00:00:40.000]  其實
[00:00:40.000 --> 00:00:42.000]  在
[00:00:42.000 --> 00:00:44.000]  這個中外
[00:00:44.000 --> 00:00:46.000]  古今中外裡面
[00:00:46.000 --> 00:00:48.000]  歷史裡面
[00:00:48.000 --> 00:00:50.000]  在不同的民族
[00:00:50.000 --> 00:00:52.000]  不同的國家裡面都會有發生
[00:00:52.000 --> 00:00:56.000]  根據一些
[00:00:56.000 --> 00:00:58.000]  歷史背景的注釋書
[00:00:58.000 --> 00:01:00.000]  有這樣的記載
[00:01:00.000 --> 00:01:04.000]  有一段
[00:01:04.000 --> 00:01:06.000]  在
[00:01:06.000 --> 00:01:08.000]  以撒哈頓
[00:01:08.000 --> 00:01:10.000]  以撒哈頓王
[00:01:10.000 --> 00:01:12.000]  以撒哈頓
[00:01:12.000 --> 00:01:14.000]  這個時期裡面有些資料
[00:01:14.000 --> 00:01:16.000]  以撒哈頓王是誰呢
[00:01:16.000 --> 00:01:18.000]  以撒哈頓王
[00:01:18.000 --> 00:01:20.000]  如果你熟悉列王紀上的
[00:01:20.000 --> 00:01:22.000]  聖經的時候
[00:01:22.000 --> 00:01:24.000]  就是
[00:01:24.000 --> 00:01:26.000]  撒哈頓的
[00:01:26.000 --> 00:01:28.000]  父親
[00:01:28.000 --> 00:01:30.000]  就是西拿基納
[00:01:30.000 --> 00:01:32.000]  攻打
[00:01:32.000 --> 00:01:34.000]  希西加時代耶路撒冷
[00:01:34.000 --> 00:01:36.000]  如果你熟悉
[00:01:36.000 --> 00:01:38.000]  你就會知道是什麼一回事
[00:01:38.000 --> 00:01:42.000]  原來在
[00:01:42.000 --> 00:01:44.000]  古代近東的
[00:01:44.000 --> 00:01:46.000]  時代裡面
[00:01:46.000 --> 00:01:48.000]  那些王會用替身
[00:01:48.000 --> 00:01:50.000]  來去
[00:01:50.000 --> 00:01:52.000]  為他承受災難
[00:01:52.000 --> 00:01:54.000]  就是
[00:01:54.000 --> 00:01:56.000]  當有預兆
[00:01:56.000 --> 00:01:58.000]  有空兆
[00:01:58.000 --> 00:02:00.000]  將會有災難
[00:02:00.000 --> 00:02:02.000]  臨到王的時候
[00:02:02.000 --> 00:02:04.000]  這個王就會找人去代替他
[00:02:04.000 --> 00:02:06.000]  就是找一些無關重要的人
[00:02:06.000 --> 00:02:08.000]  可能就是平民老百姓
[00:02:08.000 --> 00:02:10.000]  或者甚至會找一些
[00:02:10.000 --> 00:02:12.000]  身體上
[00:02:12.000 --> 00:02:14.000]  或者是精神上有殘疾的人
[00:02:14.000 --> 00:02:16.000]  來代他
[00:02:16.000 --> 00:02:18.000]  怎麼為之代他呢
