
[00:00:00.000 --> 00:00:03.800]  剛才施班所獻情的「唯獨有你」
[00:00:03.800 --> 00:00:06.400]  讓我們很清楚地知道
[00:00:06.400 --> 00:00:09.400]  在我們生命種種的困難當中
[00:00:09.400 --> 00:00:11.000]  如果不是主耶穌基督
[00:00:11.000 --> 00:00:14.400]  祂走過人世間的路
[00:00:14.400 --> 00:00:18.000]  我們才能夠今天坐在這裡
[00:00:18.000 --> 00:00:21.800]  「唯獨有你」
[00:00:21.800 --> 00:00:29.400]  今天早上我們一齊來思想提摩太書信
[00:00:29.400 --> 00:00:32.200]  特別是提摩太前書第一章
[00:00:32.200 --> 00:00:37.800]  「堅守主道,謝絕歪理」
[00:00:37.800 --> 00:00:41.400]  我們看到在這個世界裏面
[00:00:41.400 --> 00:00:46.400]  除了在過去半年教會經歷的
[00:00:46.400 --> 00:00:49.800]  就是香港社會的動蕩
[00:00:49.800 --> 00:00:53.200]  其實一直以來沒有變過的
[00:00:53.200 --> 00:00:56.200]  就是在二千多年裏面
[00:00:56.200 --> 00:01:00.800]  耶穌基督的福音都被擾亂
[00:01:00.800 --> 00:01:04.600]  讓我們今天早上通過提摩太前書一章
[00:01:04.600 --> 00:01:07.400]  去思想更加透徹
[00:01:07.400 --> 00:01:10.600]  應該怎樣去面對一個洪流
[00:01:10.600 --> 00:01:13.400]  邪教異道的日子
[00:01:13.400 --> 00:01:16.200]  讓我們先一起讀今天的經文
[00:01:16.200 --> 00:01:20.800]  提摩太前書一章一至十一節
[00:01:20.800 --> 00:01:23.800]  我們一起同聲讀出
[00:01:23.800 --> 00:01:27.600]  奉我們救主神和我們的盼望
[00:01:27.600 --> 00:01:29.400]  基督耶穌之名
[00:01:29.400 --> 00:01:32.400]  作基督耶穌使徒的保祿
[00:01:32.400 --> 00:01:34.800]  寫信給恩信主
[00:01:34.800 --> 00:01:37.600]  作我真兒子的提摩太
[00:01:37.600 --> 00:01:40.200]  願恩惠憐憫平安
[00:01:40.200 --> 00:01:44.600]  從父神和我們主基督耶穌歸於你
[00:01:44.600 --> 00:01:47.200]  我往馬其頓去的時候
[00:01:47.200 --> 00:01:50.200]  曾勸你仍住在已不鎖
[00:01:50.200 --> 00:01:54.000]  好祝福那幾個人不可傳異教
[00:01:54.000 --> 00:01:57.600]  也不可聽從荒謬無憑的話語
[00:01:57.600 --> 00:01:59.600]  和無窮的家譜
