
[00:00:00.000 --> 00:00:03.080]  今年是2017年最後一個主日
[00:00:03.080 --> 00:00:06.240]  我們都希望明年會更好
[00:00:06.240 --> 00:00:09.920]  大家在屬靈的生命上各方面都有獎項
[00:00:09.920 --> 00:00:12.800]  我們先一齊同心祈禱
[00:00:12.800 --> 00:00:15.800]  撒哈欠奉我們感謝 讚美你自己的恩典
[00:00:15.800 --> 00:00:19.040]  你是那位從歲首到年終都看顧我們
[00:00:19.040 --> 00:00:20.480]  帶領我們的神
[00:00:20.480 --> 00:00:22.840]  無論我們走過高山或低谷
[00:00:22.840 --> 00:00:24.840]  你都是一路保護我們
[00:00:24.840 --> 00:00:27.080]  求父你的聖靈繼續帶領我們
[00:00:27.080 --> 00:00:31.800]  讓我們從主耶穌受試探的事情上
[00:00:31.800 --> 00:00:35.280]  學會怎樣可以勝過世上的試探
[00:00:35.280 --> 00:00:36.640]  榮耀主的名
[00:00:36.640 --> 00:00:39.360]  奉耶穌基督的名 祈禱 阿們
[00:00:39.360 --> 00:00:46.200]  今天我們會看主耶穌勝過魔鬼的試探
[00:00:46.200 --> 00:00:49.880]  希望大家在新的一年來臨之前
[00:00:49.880 --> 00:00:53.280]  學習好怎樣可以勝過魔鬼
[00:00:53.280 --> 00:00:59.520]  也立志要勝過魔鬼的誘惑
[00:00:59.520 --> 00:01:04.160]  上星期我們剛剛慶祝聖誕
[00:01:04.160 --> 00:01:07.560]  想到主耶穌降生
[00:01:07.560 --> 00:01:13.720]  是為人類帶來和平和喜樂的
[00:01:13.720 --> 00:01:18.960]  天使向牧羊人宣告耶穌的誕生之後
[00:01:18.960 --> 00:01:24.880]  還有天上的師班唱詩讚美上主
[00:01:24.880 --> 00:01:28.640]  但是我們有沒有想過
[00:01:28.640 --> 00:01:31.240]  主耶穌誕生的興奮
[00:01:31.240 --> 00:01:32.880]  帶來的興奮
[00:01:32.880 --> 00:01:35.440]  其實不是維持了很長
[00:01:35.440 --> 00:01:40.440]  就會在日常的生活當中被淡忘
[00:01:40.440 --> 00:01:44.000]  因為主耶穌要慢慢長大
[00:01:44.000 --> 00:01:50.760]  在三十年之後才再出現
[00:01:50.760 --> 00:01:54.760]  主耶穌用了三十年的時間裝備自己
[00:01:54.760 --> 00:01:57.120]  然後才在三章二十二節
[00:01:57.120 --> 00:02:02.560]  我們看到祂接受施洗約翰的洗禮
[00:02:02.560 --> 00:02:05.400]  耶穌受洗之後
[00:02:05.400 --> 00:02:09.080]  有聲音從天上傳下來說
[00:02:09.080 --> 00:02:13.880]  「你是我親愛的兒子 我喜愛你」
[00:02:13.880 --> 00:02:18.480]  這句說話表明主耶穌是上帝的兒子
[00:02:18.480 --> 00:02:23.000]  以賽先知所預言的那位要來到世界
[00:02:23.000 --> 00:02:28.720]  完成上主拯救計劃的上主的僕人
[00:02:28.720 --> 00:02:31.600]  所以當我們看到主耶穌洗禮之後
[00:02:31.600 --> 00:02:34.920]  路加記載了一段很長的俗譜
[00:02:34.920 --> 00:02:38.080]  今天我們讀經完都很厲害
[00:02:38.080 --> 00:02:39.440]  讀得很清楚
[00:02:39.440 --> 00:02:42.880]  那些名字真的不容易
[00:02:42.880 --> 00:02:47.360]  裡面有很多名字對我們來說是陌生的
[00:02:47.360 --> 00:02:50.840]  但為什麼我會發覺它獨漏了三十八節呢?
[00:02:50.840 --> 00:02:52.840]  因為三十八節我們很熟悉
