
[00:00:00.000 --> 00:00:03.400]  我們會在今天的講道裡面
[00:00:03.400 --> 00:00:05.140]  接著上一次我們講到
[00:00:05.140 --> 00:00:07.000]  馬克福音的第八章
[00:00:07.000 --> 00:00:11.240]  我們從耶穌帶領三個門徒
[00:00:11.240 --> 00:00:14.580]  一個山上的經歷
[00:00:14.580 --> 00:00:19.980]  來學習屬靈經歷的一個庭廳漢
[00:00:19.980 --> 00:00:21.860]  可能你也有少許印象
[00:00:21.860 --> 00:00:25.160]  講到耶穌和彼得雅閣約翰
[00:00:25.160 --> 00:00:27.400]  三個門徒上山
[00:00:27.400 --> 00:00:34.440]  然後遇到摩西里尼亞的山上變象事件
[00:00:34.440 --> 00:00:39.340]  我會將它從庭廳漢來看
[00:00:39.340 --> 00:00:43.180]  這個庭廳漢有些不同的地方
[00:00:43.180 --> 00:00:45.780]  給人一個交通的指示
[00:00:45.780 --> 00:00:48.220]  無論是車還是人
[00:00:48.220 --> 00:00:51.080]  看到這些標誌的時候
[00:00:51.080 --> 00:00:54.320]  幫助他們怎樣來有一個安全
[00:00:54.320 --> 00:00:57.620]  屬靈經歷裡面的庭廳漢也是比較特別的
[00:00:57.620 --> 00:01:00.160]  我們一起來認識一下
[00:01:00.160 --> 00:01:02.900]  我們先看一次今天要看的經文
[00:01:02.900 --> 00:01:05.000]  我們一起來讀一次
[00:01:05.000 --> 00:01:08.540]  然後我們可以有多一點印象
[00:01:08.540 --> 00:01:11.200]  馬克福音的九章一到八節
[00:01:11.200 --> 00:01:12.800]  看上去在手上的聖經
[00:01:12.800 --> 00:01:14.180]  或者是看到螢光幕
[00:01:14.180 --> 00:01:16.280]  我們一起來讀完這段經文
[00:01:16.280 --> 00:01:17.840]  預備起
[00:01:17.840 --> 00:01:20.240]  耶穌又對他們說
[00:01:20.240 --> 00:01:24.320]  我實在告訴你們站在這裡的
[00:01:24.320 --> 00:01:27.520]  有人在沒嘗死味以前
[00:01:27.520 --> 00:01:32.200]  必要看見神的國大有能力臨到
[00:01:32.200 --> 00:01:33.800]  過了六天
[00:01:33.800 --> 00:01:37.500]  耶穌帶著彼得、雅各、約翰
[00:01:37.500 --> 00:01:40.140]  暗暗地上了高山
[00:01:40.140 --> 00:01:43.640]  就在他們面前變了形象
[00:01:43.640 --> 00:01:46.940]  衣服放光極其漂白
[00:01:46.940 --> 00:01:52.220]  地上漂泊的沒有一個能漂得那樣白
[00:01:52.220 --> 00:01:56.920]  忽然有以利亞和摩西向他們演說
