
[00:00:00.000 --> 00:00:03.320]  會講一個題目叫做有關安全感的問題
[00:00:03.320 --> 00:00:05.120]  我們活在一個
[00:00:05.120 --> 00:00:07.420]  不怎麼有安全感的時代
[00:00:07.420 --> 00:00:09.220]  無論你現在翻開
[00:00:09.220 --> 00:00:11.780]  報紙也好雜誌也好你看新聞也好
[00:00:11.780 --> 00:00:14.080]  其實大部分的新聞是負面的
[00:00:14.080 --> 00:00:17.400]  無論是天災人禍你看到的是海嘯
[00:00:17.400 --> 00:00:18.180]  地震
[00:00:18.180 --> 00:00:19.460]  各樣的事情
[00:00:19.460 --> 00:00:21.500]  或者是乾旱
[00:00:21.500 --> 00:00:26.100]  加州去年面對最大的挑戰就是乾旱
[00:00:26.100 --> 00:00:29.700]  所以在去年很多人在用水方面其實沒什麼安全感
[00:00:30.200 --> 00:00:30.980]  很多人都
[00:00:30.980 --> 00:00:35.840]  跑去Costco一箱一箱的水買回家就害怕說有一天萬一缺水了怎麼辦
[00:00:35.840 --> 00:00:40.700]  所以我們會面對很多自然環境造成的一些的不安全感
[00:00:40.700 --> 00:00:41.980]  我們有人為的
[00:00:41.980 --> 00:00:45.300]  人為的傷害也會讓我們覺得很沒有安全感
[00:00:45.300 --> 00:00:48.640]  有些是我認識很多人經歷過
[00:00:48.640 --> 00:00:53.000]  感情上的傷害因為傷得很重所以有很多年的時間
[00:00:53.000 --> 00:00:55.560]  就不敢再開始第二段的戀情
[00:00:55.560 --> 00:00:57.100]  現在無論是
[00:00:57.600 --> 00:01:00.660]  還有看到比較大的部分有我們的
[00:01:00.660 --> 00:01:02.720]  伊斯蘭極端分子的IS
[00:01:02.720 --> 00:01:04.760]  造成的到處鬧事
[00:01:04.760 --> 00:01:09.380]  所以無論是證據的不穩定還是說只是你個人感情上受的傷害
[00:01:09.380 --> 00:01:11.940]  還有人去上班的時候發現
[00:01:11.940 --> 00:01:17.560]  他有一個覺得很信得過的同事多年後發現原來這個同事一直在背後講他壞話
[00:01:17.560 --> 00:01:18.840]  所以有時候你覺得
[00:01:18.840 --> 00:01:19.860]  突然間覺得
[00:01:19.860 --> 00:01:22.420]  怎麼人為的傷害讓我們失去了
[00:01:22.420 --> 00:01:23.960]  應該有的安全感
[00:01:23.960 --> 00:01:26.520]  有時候我們的安全感來自於
[00:01:26.780 --> 00:01:28.820]  我們對物質上面的缺乏
[00:01:28.820 --> 00:01:31.140]  其實神
[00:01:31.140 --> 00:01:33.440]  創造我們讓我們認識他
[00:01:33.440 --> 00:01:34.720]  他給我們一個很
[00:01:34.720 --> 00:01:38.040]  榮耀的使命我們的生活應該是活得很豐盛的
[00:01:38.040 --> 00:01:40.100]  每個人應該找到他的恩賜
[00:01:40.100 --> 00:01:41.880]  能夠朝著這個方向去
[00:01:41.880 --> 00:01:44.960]  可是很多時候我們沒有辦法踏出這一步
[00:01:44.960 --> 00:01:47.260]  是因為我們花所有的時間
[00:01:47.260 --> 00:01:49.300]  去滿足我們的安全感
[00:01:49.300 --> 00:01:50.580]  就我們想要
[00:01:50.580 --> 00:01:52.900]  希望說在物質方面
[00:01:52.900 --> 00:01:56.220]  得到有足夠的特別在灣區我知道在灣區
[00:01:56.480 --> 00:01:57.760]  你要供一個房子不容易
[00:01:57.760 --> 00:02:00.820]  所以很多時候夫妻倆都要去上班
[00:02:00.820 --> 00:02:03.380]  有時候有時候公司也不是很穩定
[00:02:03.380 --> 00:02:05.700]  你看著一批一批的人被lay off
[00:02:05.700 --> 00:02:07.480]  你心裡也沒什麼安全感
[00:02:07.480 --> 00:02:10.820]  所以說我們花大部分的時間都在考慮
[00:02:10.820 --> 00:02:13.120]  我們到底夠不夠錢供房子啊
[00:02:13.120 --> 00:02:15.940]  供完房子夠不夠錢供孩子讀大學啊
[00:02:15.940 --> 00:02:17.460]  讀完之後又想說
[00:02:17.460 --> 00:02:20.020]  到底夠不夠錢供我養老啊退休啊
[00:02:20.020 --> 00:02:23.620]  要到你有一天真的覺得想要侍奉的時候
[00:02:23.620 --> 00:02:26.180]  這想要真的踏出那一步說
[00:02:26.420 --> 00:02:26.920]  我想
[00:02:26.920 --> 00:02:28.220]  過一個
[00:02:28.220 --> 00:02:29.760]  很有意義的生活
[00:02:29.760 --> 00:02:31.800]  想要做些很有意義的事情的時候
[00:02:31.800 --> 00:02:33.860]  你發現時間已經全過去了
[00:02:33.860 --> 00:02:35.900]  因為你花了一生的時間
