
[00:00:00.000 --> 00:00:03.020]  我們親愛的天父感謝祢
[00:00:03.020 --> 00:00:07.040]  讓我們有愛我們的爸爸媽媽
[00:00:07.040 --> 00:00:09.020]  Grandpa, Grandma
[00:00:09.020 --> 00:00:12.620]  來陪伴我們,照顧我們
[00:00:12.620 --> 00:00:14.000]  我們更加感謝祢
[00:00:14.000 --> 00:00:15.400]  祢是我們的Heavenly Father
[00:00:15.400 --> 00:00:16.840]  是我們的天父
[00:00:16.840 --> 00:00:20.400]  至上的來幫助我們,幫助我們
[00:00:20.400 --> 00:00:24.160]  我們感謝祢讓我們今早一家人在這裏
[00:00:24.160 --> 00:00:25.840]  有很多Uncle、Auntie
[00:00:25.840 --> 00:00:28.560]  有很多其他的朋友
[00:00:28.560 --> 00:00:30.960]  在這裏一起worship God
[00:00:30.960 --> 00:00:33.720]  一起祈禱,一起崇拜神
[00:00:33.720 --> 00:00:35.560]  求祢親自保守我們
[00:00:35.560 --> 00:00:38.760]  讓我們能夠有一個很快樂的時刻
[00:00:38.760 --> 00:00:42.240]  也能夠聽到祢的話
[00:00:42.240 --> 00:00:45.080]  我們一起來感謝祢
[00:00:45.080 --> 00:00:48.640]  求祢幫助帶領我們以下的時間
[00:00:48.640 --> 00:00:50.680]  聽我們禱告奉耶穌基督的名
[00:00:50.680 --> 00:00:52.640]  In Jesus' Name, Amen
[00:00:52.640 --> 00:00:57.040]  其實在我們中國人文化也好
[00:00:57.040 --> 00:00:59.400]  西人文化也好,各個國家文化也好
[00:00:59.400 --> 00:01:04.240]  很多人有時候有些比喻、有些故事
[00:01:04.240 --> 00:01:09.480]  或者在文化當中都會用一些動物來代表
[00:01:09.480 --> 00:01:12.080]  譬如人的性格
[00:01:12.080 --> 00:01:17.480]  或者是某一些不同的人生的表現
[00:01:17.480 --> 00:01:20.640]  譬如如果我們說
[00:01:20.640 --> 00:01:23.640]  什麼動物可以表示它很大力的呢?
[00:01:23.640 --> 00:01:28.480]  那麼多數我們用什麼動物呢?
[00:01:28.480 --> 00:01:35.840]  Can you tell me what kind of animal represents strength?
[00:01:35.840 --> 00:01:38.440]  就好像這隻,是不是?
[00:01:38.440 --> 00:01:41.440]  好像牛
[00:01:41.440 --> 00:01:44.840]  牛那麼大力
[00:01:44.840 --> 00:01:48.840]  那麼我們今天又看到另外一些動物
[00:01:48.840 --> 00:01:52.240]  有時候就說它很大隻的
[00:01:52.240 --> 00:01:54.520]  而且很懶
[00:01:54.520 --> 00:01:56.520]  不要學它那麼懶
[00:01:56.520 --> 00:01:57.320]  很大聲的
[00:01:57.320 --> 00:01:59.640]  你猜是什麼呢?
[00:01:59.640 --> 00:02:04.640]  是的,就是豬
[00:02:04.640 --> 00:02:07.640]  如果我們說它很膽小的
[00:02:07.640 --> 00:02:10.840]  很膽小很恐怖的
[00:02:10.840 --> 00:02:13.840]  其實在西人文化沒有這樣的東西
[00:02:13.840 --> 00:02:17.040]  只是我們中國人就說它膽子很小的
[00:02:17.040 --> 00:02:19.040]  好像一隻什麼?
[00:02:19.040 --> 00:02:24.040]  是的,好像一隻老鼠
[00:02:24.040 --> 00:02:29.040]  如果我們說它很忠心的
[00:02:29.040 --> 00:02:33.040]  跟主人經常在一起的
[00:02:33.040 --> 00:02:37.040]  它是我們的家庭朋友
[00:02:37.040 --> 00:02:39.040]  這是什麼呢?
[00:02:39.040 --> 00:02:45.040]  就是狗
[00:02:45.040 --> 00:02:48.040]  還有我們中國人很有趣
[00:02:48.040 --> 00:02:52.040]  我們總共有12種動物
[00:02:52.040 --> 00:02:56.040]  12種動物一直在循環
[00:02:56.040 --> 00:02:58.040]  如果你在那一年出生
[00:02:58.040 --> 00:02:59.040]  你就會熟悉
[00:02:59.040 --> 00:03:02.040]  有人說你是九年的
