
[00:00:00.000 --> 00:00:04.640]  不過開始之前我想說一對夫婦的對話
[00:00:04.640 --> 00:00:08.480]  我覺得跟這個協奏曲有些關係
[00:00:08.480 --> 00:00:10.960]  老婆有一天問老公
[00:00:10.960 --> 00:00:14.680]  「為什麼你經常把我的照片放在錢包裡?」
[00:00:14.680 --> 00:00:19.840]  老公說「是的 當我每次打開錢包看到你的照片時」
[00:00:19.840 --> 00:00:23.240]  「所有難題都可以迎刃而解」
[00:00:23.240 --> 00:00:26.120]  老婆說 「唉 你看看」
[00:00:26.120 --> 00:00:28.000]  當然老婆很開心
[00:00:28.000 --> 00:00:32.520]  「你看看 證明我在你生命裡有多大的影響力」
[00:00:32.520 --> 00:00:37.600]  老公說「是的 當我每次打開錢包看到你的照片時」
[00:00:37.600 --> 00:00:44.880]  「我發現世界上沒有其他難題比這個難題更大」
[00:00:44.880 --> 00:00:47.520]  幸好我沒有把你的照片放在錢包裡
[00:00:47.520 --> 00:00:49.640]  你把女兒的照片放在錢包裡
[00:00:49.640 --> 00:00:51.800]  我把兩個女兒的照片放在錢包裡
[00:00:51.800 --> 00:00:56.200]  所以那個不是我們的對話 是某人的對話
[00:00:56.200 --> 00:00:59.040]  好 看看經文
[00:00:59.040 --> 00:01:00.200]  看看妻子
[00:01:00.200 --> 00:01:01.000]  十八節
[00:01:01.000 --> 00:01:04.240]  她說「你們做妻子的 當信服自己的丈夫」
[00:01:04.240 --> 00:01:06.520]  「這在主裡是相宜的」
[00:01:06.520 --> 00:01:14.360]  你看起來會不會有些不太公平的感覺
[00:01:14.360 --> 00:01:17.120]  或者大家 特別是姊妹
[00:01:17.120 --> 00:01:20.080]  姊妹結了婚又好 或者即將結婚
[00:01:20.080 --> 00:01:21.200]  或者有想過結婚
[00:01:21.200 --> 00:01:26.320]  會不會看起來「你們做妻子的 當信服自己的丈夫」
[00:01:26.320 --> 00:01:29.040]  Submit to your husband
[00:01:29.040 --> 00:01:31.600]  然後她說「這在主裡是相宜的」
[00:01:31.600 --> 00:01:35.080]  即是合適的 合宜的 是appropriate的
[00:01:35.080 --> 00:01:37.480]  你會不會覺得是相宜的
[00:01:37.480 --> 00:01:39.440]  很視乎老公是甚麼
[00:01:39.440 --> 00:01:41.440]  是的 很視乎老公是甚麼
[00:01:41.440 --> 00:01:44.680]  驟眼看起來好像覺得不太公平
[00:01:44.680 --> 00:01:50.040]  為甚麼一定要老婆要信服老公呢
[00:01:50.040 --> 00:01:51.800]  但是我們要明白
[00:01:51.800 --> 00:01:54.040]  其實這裡所說的
[00:01:54.040 --> 00:01:57.640]  不是他們地位上的不平等
[00:01:57.640 --> 00:02:02.360]  上個星期我不是說到主人和僕人
[00:02:02.360 --> 00:02:05.400]  其實他們不是地位上不平等的
[00:02:05.400 --> 00:02:07.040]  因為在聖經裡 你要看
[00:02:07.040 --> 00:02:11.240]  在基督裡 男和女的地位其實都是平等的
[00:02:11.240 --> 00:02:14.280]  甚至主人 上司或者下屬
[00:02:14.280 --> 00:02:16.200]  他們在神裡的地位都是平等的
[00:02:16.200 --> 00:02:19.080]  但這裡所說的是角色的問題
[00:02:19.080 --> 00:02:21.600]  在家庭裡或婚姻裡的角色
[00:02:21.600 --> 00:02:23.640]  丈夫好像是頭
[00:02:23.640 --> 00:02:25.720]  妻子要信服他 是這個意思
[00:02:25.720 --> 00:02:27.680]  你有沒有甚麼意見
[00:02:27.680 --> 00:02:29.480]  沒有 沒甚麼特別
[00:02:29.480 --> 00:02:30.720]  但有些人會說
[00:02:30.720 --> 00:02:34.400]  「嘩 但我老公真的服不了他」
[00:02:34.400 --> 00:02:36.360]  或者「我真的受不了他」
[00:02:36.360 --> 00:02:39.080]  「那怎樣去信服他呢」
[00:02:39.080 --> 00:02:39.800]  是怎樣呢
[00:02:39.800 --> 00:02:41.160]  是的 怎樣呢
[00:02:41.160 --> 00:02:43.640]  你會不會有些這樣的
[00:02:43.640 --> 00:02:46.360]  這已經要你男人說了
[00:02:46.360 --> 00:02:48.840]  這裡說 你作妻子要信服他
[00:02:48.840 --> 00:02:50.760]  我發覺有一個很有趣的現象
[00:02:50.760 --> 00:02:54.320]  就是有些太太
[00:02:54.320 --> 00:02:55.920]  自己的丈夫真的服不了
[00:02:55.920 --> 00:02:59.840]  但反而別人的丈夫可能會聽別人的丈夫的話
[00:02:59.840 --> 00:03:01.640]  你覺不覺得有這個情況
[00:03:01.640 --> 00:03:03.680]  不是 我覺得這個現象是頗普遍的
[00:03:03.680 --> 00:03:04.480]  是頗普遍的
[00:03:04.480 --> 00:03:05.120]  是的
[00:03:05.120 --> 00:03:10.040]  反而別人的丈夫可能會聽一下 反而尊重一下
[00:03:10.040 --> 00:03:11.120]  是的 很多尊重
[00:03:11.120 --> 00:03:13.960]  自己的丈夫反而就不會
[00:03:13.960 --> 00:03:15.280]  為甚麼
[00:03:15.280 --> 00:03:16.680]  為甚麼呢
