
[00:00:00.000 --> 00:00:03.200]  我那時候做這張圖片的時候有一個題目
[00:00:03.200 --> 00:00:07.700]  題目就是「民弱、謙卑、不滅絕」
[00:00:07.700 --> 00:00:09.800]  就是那時候他們現在死過翻生了
[00:00:09.800 --> 00:00:11.100]  他們現在回轉了
[00:00:11.100 --> 00:00:13.800]  那麼究竟上帝的憤怒是否還在他們身上
[00:00:13.800 --> 00:00:19.300]  還是他們真的有可能從這個庇佬裡面復活出來呢?
[00:00:19.300 --> 00:00:21.300]  那麼其實
[00:00:21.300 --> 00:00:23.800]  歷代之下有一個金句
[00:00:23.800 --> 00:00:26.400]  我都說平時我不喜歡別人背金句的
[00:00:26.400 --> 00:00:28.000]  但是這個金句也值得的
[00:00:28.000 --> 00:00:33.300]  歷代之下在所羅門獻殿的祈禱當中
[00:00:33.300 --> 00:00:36.500]  上帝是說了一個很重要的認許
[00:00:36.500 --> 00:00:38.800]  歷代之下第七章第十四節
[00:00:38.800 --> 00:00:40.300]  有歌仔唱的
[00:00:40.300 --> 00:00:43.200]  "In my people who call by my name"
[00:00:43.200 --> 00:00:46.300]  "者稱為我名下的子民"
[00:00:46.300 --> 00:00:48.900]  "若是謙卑自己"
[00:00:48.900 --> 00:00:50.000]  "禱告"
[00:00:50.000 --> 00:00:52.000]  "尋求我的面"
[00:00:52.000 --> 00:00:54.000]  "轉離他們的惡行"
[00:00:54.000 --> 00:00:56.300]  "我必從天上垂聽"
[00:00:56.300 --> 00:00:58.700]  "赦免他們的罪"
[00:00:58.700 --> 00:01:01.000]  "依治他們的地"
[00:01:01.000 --> 00:01:04.600]  這個很多個主要的詞句都在這裡
[00:01:04.600 --> 00:01:05.500]  第一
[00:01:05.500 --> 00:01:06.800]  謙卑自己
[00:01:06.800 --> 00:01:07.300]  第二
[00:01:07.300 --> 00:01:08.900]  禱告
[00:01:08.900 --> 00:01:09.500]  第三
[00:01:09.500 --> 00:01:10.700]  尋求他們的面
[00:01:10.700 --> 00:01:11.500]  第四
[00:01:11.500 --> 00:01:14.000]  轉離惡行
[00:01:14.000 --> 00:01:14.600]  第五
[00:01:14.600 --> 00:01:15.800]  我必赦免他們的罪
[00:01:15.800 --> 00:01:16.700]  依治他們的地
[00:01:16.700 --> 00:01:18.700]  這些全部你會發現
[00:01:18.700 --> 00:01:23.200]  他是在設定這些主題會在後面不斷重複的
[00:01:23.200 --> 00:01:24.200]  上帝已經跟你說了
[00:01:24.200 --> 00:01:25.700]  有一天你失敗了
[00:01:25.700 --> 00:01:27.500]  只要你謙卑你自己
[00:01:27.500 --> 00:01:29.000]  你離開你的惡行
[00:01:29.000 --> 00:01:31.000]  你要禱告
[00:01:31.000 --> 00:01:33.100]  當然禱告就不是說
[00:01:33.100 --> 00:01:34.200]  你有沒有禱告
[00:01:34.200 --> 00:01:37.000]  有時候我們在跟某人聊天
[00:01:37.000 --> 00:01:39.700]  他覺得最近運氣不太好
[00:01:39.700 --> 00:01:41.700]  已經想了很久都想不通
[00:01:41.700 --> 00:01:42.200]  有沒有禱告
[00:01:42.200 --> 00:01:42.900]  哎呀
[00:01:42.900 --> 00:01:44.600]  沒有禱告
[00:01:44.600 --> 00:01:48.100]  其實不是你有沒有禱告那件事
[00:01:48.100 --> 00:01:51.100]  不是做漏了一件事
[00:01:51.100 --> 00:01:52.100]  不用擔心
[00:01:52.100 --> 00:01:53.600]  上帝不會跟你計這些
[00:01:53.600 --> 00:01:56.400]  而是他有沒有一個真正悔改
[00:01:56.400 --> 00:01:57.900]  祈求的心
[00:01:57.900 --> 00:01:59.800]  這麼說的意思
[00:01:59.800 --> 00:02:02.500]  還有兩節
[00:02:02.500 --> 00:02:04.200]  我必睜眼看
[00:02:04.200 --> 00:02:07.300]  則已停在此處所獻的禱告
[00:02:07.300 --> 00:02:09.400]  這個此處就是聖殿
[00:02:09.400 --> 00:02:10.900]  聖殿是很重要的
[00:02:10.900 --> 00:02:13.400]  現在我以選擇者殿
[00:02:13.400 --> 00:02:14.300]  分別為聖
[00:02:14.300 --> 00:02:15.800]  這個殿是說什麼
[00:02:15.800 --> 00:02:18.200]  姚撒冷的殿
[00:02:18.200 --> 00:02:19.000]  分別為聖
[00:02:19.000 --> 00:02:21.800]  這個殿和其他所有的殿都不一樣
[00:02:21.800 --> 00:02:24.300]  從此我的名永在其中
[00:02:24.300 --> 00:02:28.100]  我的眼我的心必是常在那裡
[00:02:28.100 --> 00:02:30.200]  所以對於意識的人來說
[00:02:30.200 --> 00:02:32.000]  這個殿是很重要的
[00:02:32.000 --> 00:02:34.100]  這個殿現在去了哪裡
[00:02:34.100 --> 00:02:35.600]  沒有了
[00:02:35.600 --> 00:02:36.700]  後來重建了
[00:02:36.700 --> 00:02:38.200]  重建了都很廢的
[00:02:38.200 --> 00:02:38.700]  你記得
[00:02:38.700 --> 00:02:40.000]  我不知道你有沒有看
[00:02:40.000 --> 00:02:41.300]  後來哈蓋書那些
[00:02:41.300 --> 00:02:41.900]  那些人哭
[00:02:41.900 --> 00:02:43.400]  因為那些殿很小
[00:02:43.400 --> 00:02:45.700]  都不像以前那個那麼大
[00:02:45.700 --> 00:02:48.500]  我們公理堂就越建越大
[00:02:48.500 --> 00:02:49.900]  它是越建越小的
[00:02:49.900 --> 00:02:50.900]  所以你想想
[00:02:50.900 --> 00:02:52.500]  如果我們這棟樓沒有了
[00:02:52.500 --> 00:02:54.300]  然後重建回以前四樓
[00:02:54.300 --> 00:02:56.300]  大家就拍手
[00:02:56.300 --> 00:02:58.400]  我們的執事在後面哭
[00:02:58.400 --> 00:02:59.300]  哭什麼呢
[00:02:59.300 --> 00:03:01.400]  如果那棟三廿四樓
[00:03:01.400 --> 00:03:03.000]  現在只剩下四樓
[00:03:03.000 --> 00:03:03.700]  很慘
[00:03:03.700 --> 00:03:04.100]  你明白嗎
[00:03:04.100 --> 00:03:07.100]  就是這樣一個反過來的建築
[00:03:07.100 --> 00:03:08.500]  如果你記得
[00:03:08.500 --> 00:03:10.100]  那個殿很小的
[00:03:10.100 --> 00:03:11.800]  但是到了耶穌的時代
[00:03:11.800 --> 00:03:14.900]  就是希律建了很大的殿
[00:03:14.900 --> 00:03:15.700]  很漂亮的
[00:03:15.700 --> 00:03:18.800]  就是整個奧林匹克運動場這麼大的
[00:03:18.800 --> 00:03:19.900]  但是結果耶穌說
[00:03:19.900 --> 00:03:21.900]  這個殿是廢了的
[00:03:21.900 --> 00:03:22.800]  你記不記得
[00:03:22.800 --> 00:03:24.100]  耶穌走進去
[00:03:24.100 --> 00:03:26.000]  我上個星期也有一個弟兄問我
[00:03:26.000 --> 00:03:28.200]  關於耶穌詛咒那棵樹
[00:03:28.200 --> 00:03:30.700]  那棵樹不是有很多枝幹嗎
[00:03:30.700 --> 00:03:31.900]  他說為什麼
[00:03:31.900 --> 00:03:33.700]  為什麼耶穌不祝福那棵樹
[00:03:33.700 --> 00:03:34.900]  讓它有果子
[00:03:34.900 --> 00:03:36.300]  要詛咒那棵樹
[00:03:36.300 --> 00:03:37.900]  我說這是一個預言
[00:03:37.900 --> 00:03:38.900]  預言就是
[00:03:38.900 --> 00:03:41.600]  那棵樹就好像以色列人的殿
[00:03:41.600 --> 00:03:43.600]  那個殿很雄偉
[00:03:43.600 --> 00:03:46.100]  但是進去是沒有福音
[00:03:46.100 --> 00:03:48.600]  或者沒有天國的果子
[00:03:48.600 --> 00:03:50.500]  於是上耶穌詛咒這棵樹
[00:03:50.500 --> 00:03:53.000]  等於耶穌在詛咒這個聖殿
[00:03:53.000 --> 00:03:56.400]  告訴你這個聖殿很快上帝就會滅了
[00:03:56.400 --> 00:03:57.300]  這個聖殿
[00:03:57.300 --> 00:03:58.300]  結果上帝有沒有滅呢
[00:03:58.300 --> 00:03:59.300]  是有的
[00:03:59.300 --> 00:04:00.000]  是不是很快
[00:04:00.000 --> 00:04:01.000]  是很快
[00:04:01.000 --> 00:04:01.500]  多快呢
[00:04:01.500 --> 00:04:03.000]  四十年之後
[00:04:03.000 --> 00:04:04.900]  四十年之後就是80年70年
