
[00:00:00.000 --> 00:00:03.880]  在美國有一個很出名的牧師叫Truss Ringdahl
[00:00:03.880 --> 00:00:06.760]  是美國播道會的一位牧者
[00:00:06.760 --> 00:00:09.800]  也是在神學院的一個院長
[00:00:09.800 --> 00:00:15.140]  我想他開始現在又有另外一個教會
[00:00:15.140 --> 00:00:16.620]  神很大使用他
[00:00:16.620 --> 00:00:20.380]  Truss Ringdahl在他年輕的時候已經有他媽媽的婚徒
[00:00:20.380 --> 00:00:22.380]  因為媽媽是一個很好的基督徒
[00:00:22.380 --> 00:00:27.820]  Truss Ringdahl年輕的時候在他家附近有一位女士
[00:00:27.820 --> 00:00:30.540]  叫Thelma
[00:00:30.540 --> 00:00:35.440]  Thelma也是Truss Ringdahl的媽媽的好朋友
[00:00:35.440 --> 00:00:37.780]  Thelma比較遲婚
[00:00:37.780 --> 00:00:42.960]  一個年紀差不多才結婚
[00:00:42.960 --> 00:00:46.560]  你想想丈夫是一個很重要的人物
[00:00:46.560 --> 00:00:51.220]  她很多安全感都放在這位丈夫身上
[00:00:51.220 --> 00:00:57.160]  但很不幸突然間這位很好的先生很好的丈夫
[00:00:57.160 --> 00:00:59.980]  突然間因為心臟病的緣故
[00:00:59.980 --> 00:01:03.780]  幾秒之間就離開了這個世界
[00:01:03.780 --> 00:01:07.500]  Thelma很傷心很傷痛
[00:01:07.500 --> 00:01:10.100]  自從結束了這個喪禮之後
[00:01:10.100 --> 00:01:15.680]  Thelma經常去到這個墓地思念她的丈夫
[00:01:15.680 --> 00:01:17.240]  很不容易
[00:01:17.240 --> 00:01:20.760]  Truss Ringdahl的媽媽很關心
[00:01:20.760 --> 00:01:24.200]  很想看看怎樣可以鼓勵幫助
[00:01:24.200 --> 00:01:28.380]  有一次在夏天很熱的一天
[00:01:28.380 --> 00:01:32.840]  Truss Ringdahl的媽媽對Truss Ringdahl說
[00:01:32.840 --> 00:01:34.440]  你禱告
[00:01:34.440 --> 00:01:37.440]  我計劃將一些曲奇
[00:01:37.440 --> 00:01:42.680]  一些檸檬汁拿給Thelma鼓勵她
[00:01:42.680 --> 00:01:45.940]  我會對她說關於主耶穌基督的福音
[00:01:45.940 --> 00:01:48.200]  你好好的禱告
[00:01:48.200 --> 00:01:51.040]  結果媽媽就去探望Thelma
[00:01:51.040 --> 00:01:55.440]  安慰她 跟她說到福音
[00:01:55.440 --> 00:01:57.440]  很奇妙神的工作
[00:01:57.440 --> 00:02:00.560]  Thelma就相信了主耶穌
[00:02:00.560 --> 00:02:03.760]  Truss Ringdahl的媽媽就跟她說一句話
[00:02:03.760 --> 00:02:07.520]  Thelma 我有件事很想跟你說
[00:02:07.520 --> 00:02:11.520]  其實你以後不需要經常去到這個墓地
[00:02:11.520 --> 00:02:14.380]  她的意思就是說
[00:02:14.380 --> 00:02:15.840]  有了主耶穌的生命
[00:02:15.840 --> 00:02:20.480]  人可能都不能夠長時間在一個哀傷當中
[00:02:20.480 --> 00:02:26.480]  都需要有一個新的踏上人生的新的里程
[00:02:26.480 --> 00:02:28.680]  這個就是大概的意思
[00:02:28.680 --> 00:02:32.680]  但Thelma說 不行 不行 我不能夠不去
[00:02:32.680 --> 00:02:35.080]  Truss Ringdahl的媽媽很明白
[00:02:35.080 --> 00:02:36.880]  你可以去
[00:02:36.880 --> 00:02:39.480]  不過我想你帶有另外一個目的
[00:02:39.480 --> 00:02:41.980]  就是去到這個墓地的時候
[00:02:41.980 --> 00:02:45.280]  你安慰那些像你這樣
[00:02:45.280 --> 00:02:46.480]  在傷痛裡面的人
[00:02:46.480 --> 00:02:49.180]  活在哀傷裡面的人
[00:02:49.180 --> 00:02:53.180]  Thelma說 想一會 好 試一下
[00:02:53.180 --> 00:02:54.380]  她真的這樣做
[00:02:54.380 --> 00:02:56.680]  去到墓園 美國的墓園
[00:02:56.680 --> 00:02:58.980]  通常好像花園那樣
[00:02:58.980 --> 00:03:01.980]  看看周圍有些這樣的人物
[00:03:01.980 --> 00:03:05.380]  人士的時候 去安慰他
[00:03:05.380 --> 00:03:08.080]  結果Thelma帶領了一班人
[00:03:08.080 --> 00:03:11.280]  相信了主耶穌的紀錄
[00:03:11.280 --> 00:03:15.680]  雖然我們聽到好像很悲的一個場面
[00:03:15.680 --> 00:03:20.880]  但我們也看到福音其實幫助了很多人
[00:03:20.880 --> 00:03:21.980]  或者我們想一下
[00:03:21.980 --> 00:03:26.680]  墓園傳福音也是一個很特別的事情
[00:03:26.680 --> 00:03:29.280]  其實Thelma就是一個很典型
[00:03:29.280 --> 00:03:31.580]  一個很需要主福音的人
[00:03:31.580 --> 00:03:35.280]  其實福音就是真理給人有盼望的
[00:03:35.280 --> 00:03:36.880]  很重要
[00:03:36.880 --> 00:03:38.380]  而Truss Ringdahl的媽媽
[00:03:38.380 --> 00:03:40.480]  就是去關心人
[00:03:40.480 --> 00:03:42.580]  去敏感別人的需要
[00:03:42.580 --> 00:03:44.080]  但在現實的社會裡面
[00:03:44.080 --> 00:03:47.980]  我們特別是在香港很繁忙
[00:03:47.980 --> 00:03:50.480]  我們有一種東西叫做個人主義
