
[00:00:00.000 --> 00:00:02.560]  梁法堂的大英姐妹平安
[00:00:02.560 --> 00:00:05.900]  謹代表香港中文大學
[00:00:05.900 --> 00:00:10.780]  崇基學院、神學院向大家問安
[00:00:10.780 --> 00:00:16.320]  今日講平安似乎不是一件很容易講的事
[00:00:16.320 --> 00:00:18.920]  世界的環境
[00:00:18.920 --> 00:00:23.820]  俄羅斯去入侵烏克蘭的戰爭
[00:00:23.820 --> 00:00:26.380]  造成家園的破壞
[00:00:26.380 --> 00:00:29.600]  有很多難民、有很多死傷
[00:00:29.600 --> 00:00:32.940]  還不知道整個戰爭何時結束
[00:00:32.940 --> 00:00:36.120]  會不會再蔓延開去
[00:00:36.120 --> 00:00:38.760]  即使講香港的情況
[00:00:38.760 --> 00:00:43.760]  這三年政治、社會局勢的動盪
[00:00:43.760 --> 00:00:45.880]  這兩年的疫情
[00:00:45.880 --> 00:00:50.760]  去到現在有第五波的疫情發生
[00:00:50.760 --> 00:00:53.920]  有很多人受感染
[00:00:53.920 --> 00:00:56.400]  有很多人要經歷隔離
[00:00:56.400 --> 00:01:01.360]  我們亦都有很多病人過世
[00:01:01.360 --> 00:01:05.800]  在過程裏面大家都心力俱疲
[00:01:05.800 --> 00:01:10.080]  這些都成為我們有很多很多的情緒
[00:01:10.080 --> 00:01:12.680]  懷疑、恐懼
[00:01:12.680 --> 00:01:16.720]  大家都要經歷一些人生的黑暗面
[00:01:16.720 --> 00:01:21.840]  事實上都真是很多負面的情緒、經驗
[00:01:21.840 --> 00:01:24.480]  在我們的心裏面
[00:01:24.480 --> 00:01:27.840]  今日我選讀的經文
[00:01:27.840 --> 00:01:29.440]  很吸引我
[00:01:29.440 --> 00:01:32.600]  是詩篇二十七篇
[00:01:32.600 --> 00:01:39.520]  這個詩篇是直接將這些感受、感覺
[00:01:39.520 --> 00:01:41.760]  直接講出來
[00:01:41.760 --> 00:01:48.800]  在詩篇二十七篇第一節裏面講到
[00:01:48.800 --> 00:01:51.200]  耶和華是我的亮光
[00:01:51.200 --> 00:01:52.880]  是我的拯救
