
[00:00:00.000 --> 00:00:03.000]  我特別喜歡福音主人
[00:00:03.000 --> 00:00:08.000]  因為全世界的人都在尋找什麼是福
[00:00:08.000 --> 00:00:12.000]  福音是好消息
[00:00:12.000 --> 00:00:16.000]  你看報紙多數都是壞消息
[00:00:16.000 --> 00:00:19.000]  不是好消息
[00:00:19.000 --> 00:00:21.000]  所以我很喜歡
[00:00:21.000 --> 00:00:24.000]  廣福很好
[00:00:24.000 --> 00:00:27.000]  他讓我自己選題目
[00:00:27.000 --> 00:00:30.000]  我這次選了一個題目
[00:00:30.000 --> 00:00:33.000]  天賜恩福
[00:00:33.000 --> 00:00:37.000]  福自己可以求
[00:00:37.000 --> 00:00:40.000]  但到了人生某些階段
[00:00:40.000 --> 00:00:44.000]  有些福是天賜
[00:00:44.000 --> 00:00:47.000]  所以我今天選了這個題目
[00:00:47.000 --> 00:00:51.000]  什麼是福 怎樣賜 怎樣得福
[00:00:51.000 --> 00:00:53.000]  你和旁邊的人握手
[00:00:53.000 --> 00:00:57.000]  跟他說一句 天賜恩福
[00:00:57.000 --> 00:01:13.000]  全世界現在有超過70億人
[00:01:13.000 --> 00:01:17.000]  我剛剛看了一些數字
[00:01:17.000 --> 00:01:22.000]  超過90%的人相信有神
[00:01:22.000 --> 00:01:25.000]  跟20世紀不一樣
[00:01:25.000 --> 00:01:28.000]  20世紀的人很相信自己
[00:01:28.000 --> 00:01:31.000]  相信理性 相信科技
[00:01:31.000 --> 00:01:36.000]  覺得人是主宰這個世界和明天
[00:01:36.000 --> 00:01:40.000]  但經過大戰 經過很多屠殺
[00:01:40.000 --> 00:01:43.000]  經過很多天災人禍
[00:01:43.000 --> 00:01:48.000]  發覺科技 人的知識沒有改變
[00:01:48.000 --> 00:01:52.000]  所以進入21世紀
[00:01:52.000 --> 00:01:59.000]  差不多每個民族 每個國家都在尋找
[00:01:59.000 --> 00:02:05.000]  福是什麼 福從哪裡來
[00:02:05.000 --> 00:02:08.000]  為什麼這麼出色的科學家
[00:02:08.000 --> 00:02:10.000]  這麼偉大的政治家
[00:02:10.000 --> 00:02:16.000]  似乎會為人類帶來一個比較平靜的世界
[00:02:16.000 --> 00:02:21.000]  比較簡單的環境
[00:02:21.000 --> 00:02:23.000]  所以剛才耶穌賜祢平安
[00:02:23.000 --> 00:02:24.000]  我們中國人很好
[00:02:24.000 --> 00:02:26.000]  中國人很喜歡這個福字
[00:02:26.000 --> 00:02:28.000]  所以過年到處都是福
[00:02:28.000 --> 00:02:30.000]  而且他倒轉來貼
[00:02:30.000 --> 00:02:35.000]  知道是天賜 福到
[00:02:35.000 --> 00:02:38.000]  當然我們中國人
[00:02:38.000 --> 00:02:40.000]  見到別人 剛才也有人跟我說
[00:02:40.000 --> 00:02:45.000]  你好像重了點 發了福
[00:02:45.000 --> 00:02:49.000]  我有一段時間輕了二十多磅
[00:02:49.000 --> 00:02:52.000]  最近重了點 也是福
[00:02:52.000 --> 00:02:55.000]  有一陣子我也不太想吃東西
[00:02:55.000 --> 00:02:58.000]  發覺吃得也是福
[00:02:58.000 --> 00:02:59.000]  很簡單的
[00:02:59.000 --> 00:03:01.000]  我們中國人的福字很好
[00:03:01.000 --> 00:03:02.000]  一口甜
[00:03:02.000 --> 00:03:04.000]  中國人很實際
[00:03:04.000 --> 00:03:06.000]  要感受得到
[00:03:06.000 --> 00:03:07.000]  Feel得到
[00:03:07.000 --> 00:03:09.000]  很貼身
[00:03:09.000 --> 00:03:10.000]  中國人很聰明
[00:03:10.000 --> 00:03:12.000]  福字是禮這邊
[00:03:12.000 --> 00:03:15.000]  是天賜
[00:03:15.000 --> 00:03:17.000]  就知道要求福
