
[00:00:00.000 --> 00:00:04.840]  我們屬靈的生命是來自耶穌基督
[00:00:04.840 --> 00:00:08.680]  和祂為我們受死和復活
[00:00:08.680 --> 00:00:12.480]  當我們願意去相信去接受的時候
[00:00:12.480 --> 00:00:14.920]  聖靈就會去安慰我們
[00:00:14.920 --> 00:00:16.880]  進入我們的生命裏面
[00:00:16.880 --> 00:00:18.840]  讓我們去明白真理
[00:00:18.840 --> 00:00:21.160]  去建立我們的信仰
[00:00:21.160 --> 00:00:24.480]  我不知道弟兄姊妹在這段日子裏面
[00:00:24.480 --> 00:00:27.080]  心情如何
[00:00:27.080 --> 00:00:29.960]  我心情就一般般
[00:00:29.960 --> 00:00:32.600]  可以用忐忑來形容
[00:00:32.600 --> 00:00:33.720]  在四月的時候
[00:00:33.720 --> 00:00:36.880]  當西九龍裁判法院
[00:00:36.880 --> 00:00:40.440]  去正式檢控九名佔中人士的時候
[00:00:40.440 --> 00:00:42.440]  有即時的監禁
[00:00:42.440 --> 00:00:44.680]  也有獲判緩刑
[00:00:44.680 --> 00:00:46.120]  和社會服務令
[00:00:46.120 --> 00:00:49.040]  也有押後再審
[00:00:49.040 --> 00:00:51.040]  因為健康的原因
[00:00:51.040 --> 00:00:53.320]  其實社會有不同的
[00:00:53.320 --> 00:00:56.240]  對這個判刑的看法
[00:00:56.240 --> 00:00:59.680]  當我看回那些報紙
[00:00:59.680 --> 00:01:03.640]  國際特赦組織這樣看
[00:01:03.640 --> 00:01:06.240]  它認為佔中人士被判監
[00:01:06.240 --> 00:01:08.160]  其實是踐踏公義
[00:01:08.160 --> 00:01:10.920]  和平示威和言論自由的人權
[00:01:10.920 --> 00:01:14.600]  認為應該無條件釋放他們
[00:01:14.600 --> 00:01:18.160]  民間監察也這樣去表達
[00:01:18.160 --> 00:01:23.040]  它說出於和平的集會組織者
[00:01:23.040 --> 00:01:26.560]  他們現在遭遇被監禁的時候
[00:01:26.560 --> 00:01:31.760]  其實明顯不符合國際人權法的標準
[00:01:31.760 --> 00:01:34.600]  也是要求去釋放他們
[00:01:34.600 --> 00:01:38.080]  以免產生寒蟬效應
[00:01:38.080 --> 00:01:42.440]  而有宗教背景的天主教正義和平委員會
[00:01:42.440 --> 00:01:46.000]  對這個判刑也說極度失望和憤怒
[00:01:46.000 --> 00:01:49.880]  它提醒香港人不要因為這樣受到挫折
[00:01:49.880 --> 00:01:53.440]  而應該繼續為公義的事去伸張
[00:01:53.440 --> 00:01:56.160]  呼籲市民和教友
[00:01:56.160 --> 00:01:58.200]  不要因為這樣受喪志
[00:01:58.200 --> 00:01:59.960]  停低腳步
[00:01:59.960 --> 00:02:02.360]  當然當我們身處在香港
[00:02:02.360 --> 00:02:04.160]  其實不是只有這一邊的聲音
[00:02:04.160 --> 00:02:05.960]  我們大家都知道
[00:02:05.960 --> 00:02:07.600]  有另一邊聲音就是說
[00:02:07.600 --> 00:02:11.200]  這個判刑其實會不會帶來社會
[00:02:11.200 --> 00:02:13.520]  或者甚至是帶來給年輕人
[00:02:13.520 --> 00:02:15.840]  對自己做了一些違法行為
[00:02:15.840 --> 00:02:17.320]  不需要坐監
[00:02:17.320 --> 00:02:20.000]  或者不需要面對高刑罰
[00:02:20.000 --> 00:02:22.840]  有一些壞的影響力
[00:02:22.840 --> 00:02:26.480]  以至他們願意繼續以身試法
[00:02:26.480 --> 00:02:30.520]  或者有人批評那幾位帶領佔中的人士
[00:02:30.520 --> 00:02:31.960]  他們很英雄化
[00:02:31.960 --> 00:02:35.640]  他們是強調個人主義
[00:02:35.640 --> 00:02:39.360]  其實除了佔中這件判決
[00:02:39.360 --> 00:02:40.720]  在今年的二月
[00:02:40.720 --> 00:02:44.120]  政府正在提出修訂逃犯條例
[00:02:44.120 --> 00:02:48.920]  都引來了香港很多市民的聲音
[00:02:48.920 --> 00:02:53.080]  起初我沒有特別留意這個修例
[00:02:53.080 --> 00:02:54.720]  只知道政府說
[00:02:54.720 --> 00:02:58.160]  因為台灣的青年人殺了人
[00:02:58.160 --> 00:03:00.040]  因為那些條例不符合
[00:03:00.040 --> 00:03:01.840]  怎樣引導他們過去審訊
[00:03:01.840 --> 00:03:04.120]  所以就要修訂這個條例
[00:03:04.120 --> 00:03:05.160]  但是很奇怪
[00:03:05.160 --> 00:03:06.720]  當我們慢慢日子過去的時候
[00:03:06.720 --> 00:03:08.360]  我們聽到很多的新聞
[00:03:08.360 --> 00:03:09.560]  有不同的聲音
[00:03:09.560 --> 00:03:13.600]  在表達這個修例的迴響很大
[00:03:13.600 --> 00:03:15.240]  有憂慮著
[00:03:15.240 --> 00:03:17.720]  如果這個修例成功的時候
[00:03:17.720 --> 00:03:19.360]  會不會有很多香港人
[00:03:19.360 --> 00:03:22.760]  當他涉及一些政治的議題
[00:03:22.760 --> 00:03:24.680]  他只要表達
[00:03:24.680 --> 00:03:26.240]  中央或者內地的政府
[00:03:26.240 --> 00:03:28.680]  已經可以要求我們的特首
[00:03:28.680 --> 00:03:30.640]  將他們移交回內地
[00:03:30.640 --> 00:03:33.720]  去做政治囚犯去審理
[00:03:33.720 --> 00:03:37.080]  但當然我們的政府和中央也都堅持著
[00:03:37.080 --> 00:03:40.400]  修例是在堵塞現有的漏洞
[00:03:40.400 --> 00:03:44.840]  以免香港成為逃犯藏身的地方
[00:03:44.840 --> 00:03:46.440]  其實事件發展下去會怎樣
[00:03:46.440 --> 00:03:48.080]  大家都不知道
[00:03:48.080 --> 00:03:51.600]  我覺得香港人就好像在看一場戲
[00:03:51.600 --> 00:03:53.480]  我們大家都參與在其中
[00:03:53.480 --> 00:03:57.240]  但大家都不知道結果將會怎樣
[00:03:57.240 --> 00:03:59.920]  但我們身處在當中
[00:03:59.920 --> 00:04:03.160]  我相信你們都會和我有這個感受
[00:04:03.160 --> 00:04:06.200]  我們感受到香港再次
[00:04:06.200 --> 00:04:09.240]  進入了這個撕裂的狀態裏面
[00:04:09.240 --> 00:04:12.800]  在這個撕裂的社會氛圍底下
[00:04:12.800 --> 00:04:15.440]  可能我們真的要記住
[00:04:15.440 --> 00:04:18.760]  我們的主能夠賜給人平安
[00:04:18.760 --> 00:04:19.960]  我們也都但願我們的主
[00:04:19.960 --> 00:04:22.120]  不單止賜給我們平安
[00:04:22.120 --> 00:04:23.800]  同樣賜給我們香港
[00:04:23.800 --> 00:04:26.280]  裏面沒有一個人有平安
[00:04:26.280 --> 00:04:30.240]  我們就是活在這個生活環境裏面
[00:04:30.240 --> 00:04:31.720]  如果我們的視野
[00:04:31.720 --> 00:04:35.520]  只是停留在這個層面裏面
[00:04:35.520 --> 00:04:38.040]  我們看到很多困難在我們眼前
[00:04:38.040 --> 00:04:40.520]  看到很多社會問題在我們面前
[00:04:40.520 --> 00:04:42.720]  或者我們自己
[00:04:42.720 --> 00:04:44.560]  自己都有一定的問題
[00:04:44.560 --> 00:04:47.080]  可能就是我們的工作我們不夠暢順
