
[00:00:00.000 --> 00:00:02.800]  入七月份 學生又放暑假
[00:00:02.800 --> 00:00:05.800]  想起自己以前的童年往事
[00:00:05.800 --> 00:00:07.800]  讀中學的時候
[00:00:07.800 --> 00:00:11.200]  有位男老師外形比較俊俏
[00:00:11.200 --> 00:00:15.200]  性感比較溫柔 教書又不錯
[00:00:15.200 --> 00:00:17.800]  我也是一位很平凡的小女孩
[00:00:17.800 --> 00:00:20.600]  傾慕這位男老師
[00:00:20.600 --> 00:00:23.600]  他教的課是我不喜歡的課
[00:00:23.600 --> 00:00:25.800]  不過因為我喜歡他
[00:00:25.800 --> 00:00:28.400]  於是就很用心讀那課
[00:00:28.400 --> 00:00:31.800]  老師說的話都很認真去聽
[00:00:31.800 --> 00:00:34.000]  筆記都寫得整齊整整
[00:00:34.000 --> 00:00:37.000]  考試的時候很努力讀書
[00:00:37.000 --> 00:00:40.400]  結果那課的成績非常好
[00:00:40.400 --> 00:00:44.400]  不過 其實我不是真心喜歡那個學科
[00:00:44.400 --> 00:00:47.800]  低年級的時候可以一味靠死記
[00:00:47.800 --> 00:00:50.600]  到高年級的時候就迫不了自己
[00:00:50.600 --> 00:00:52.600]  一場虛火過後
[00:00:52.600 --> 00:00:57.600]  到分科的時候都放下了 沒力氣
[00:00:57.600 --> 00:00:59.400]  相反有一個放外活動
[00:00:59.400 --> 00:01:02.600]  無心插柳又動了真情
[00:01:02.600 --> 00:01:03.400]  有一年的暑假
[00:01:03.400 --> 00:01:05.200]  姐姐買了一個很便宜的結他
[00:01:05.200 --> 00:01:08.200]  去學那些暑期結他版
[00:01:08.200 --> 00:01:09.800]  暑期結束後她就沒有再學了
[00:01:09.800 --> 00:01:11.400]  我看不用錢
[00:01:11.400 --> 00:01:14.000]  媽媽又準 自己繼續學下去
[00:01:14.000 --> 00:01:15.800]  我本身都頗喜歡音樂的
[00:01:15.800 --> 00:01:17.400]  一玩上結他
[00:01:17.400 --> 00:01:20.400]  一玩就玩了整個中學五年
[00:01:20.400 --> 00:01:24.000]  玩結他 參加學校的合唱團
[00:01:24.000 --> 00:01:28.000]  成為我在中學時候最大的嗜好
[00:01:28.000 --> 00:01:29.400]  愛上了音樂
[00:01:29.400 --> 00:01:32.400]  我人矮 手指短
[00:01:32.400 --> 00:01:34.400]  彈結他是很不著數的
[00:01:34.400 --> 00:01:37.400]  有些疤痕是拉不到的
[00:01:37.400 --> 00:01:40.600]  似乎要練 練到手指軟
[00:01:40.600 --> 00:01:42.600]  花很多時間去苦練
[00:01:42.600 --> 00:01:44.200]  練到也怕媽媽罵
[00:01:44.200 --> 00:01:46.200]  怎樣呢 又很喜歡
[00:01:46.200 --> 00:01:47.800]  喜歡就可以了
[00:01:47.800 --> 00:01:52.800]  晚上半夜躲在廁所練
[00:01:52.800 --> 00:01:55.600]  畢業後出來工作
[00:01:55.600 --> 00:01:57.200]  現在比較少玩
[00:01:57.200 --> 00:01:59.800]  家裡還有兩支結他
[00:01:59.800 --> 00:02:02.200]  在神學院讀書的時候很忙碌
[00:02:02.200 --> 00:02:06.000]  但仍然會傍聽一些
[00:02:06.000 --> 00:02:09.800]  不用計學分的聖樂學科
[00:02:09.800 --> 00:02:14.400]  對音樂有一份很真誠的情懷
[00:02:14.400 --> 00:02:16.800]  看你能否持之以恆
[00:02:16.800 --> 00:02:18.800]  不離不棄 追求一些東西
[00:02:18.800 --> 00:02:21.200]  最關鍵的不是起步的時候
[00:02:21.200 --> 00:02:24.000]  你怎樣被吸引 多麼火熱
[00:02:24.000 --> 00:02:27.000]  更重要的是在追求的過程裡
[00:02:27.000 --> 00:02:31.200]  你沒有很盡心去認識和領受
[00:02:31.200 --> 00:02:36.000]  以致建立了一份真正有內涵的情懷
[00:02:36.000 --> 00:02:38.600]  信仰的歷程也是一樣
[00:02:38.600 --> 00:02:42.400]  我們期盼不是追求一些短暫的火熱
[00:02:42.400 --> 00:02:44.600]  而是在信仰的成長路上
[00:02:44.600 --> 00:02:49.000]  有根有機 紮紮實實地去追求成長
[00:02:49.000 --> 00:02:51.600]  持之以恆
[00:02:51.600 --> 00:02:56.000]  你會怎樣評估你在基督信仰裡的歷程
[00:02:56.000 --> 00:03:00.600]  你覺得當中有多少是虛火
[00:03:00.600 --> 00:03:03.400]  當中多少是動了真情
[00:03:03.400 --> 00:03:05.000]  我們從今天研習的經文
[00:03:05.000 --> 00:03:07.600]  我們一起去同心的學習
[00:03:07.600 --> 00:03:10.200]  我們繼續看《遠漢福音》的第六章
[00:03:10.200 --> 00:03:12.600]  我們先重溫一下上文
[00:03:12.600 --> 00:03:14.400]  耶穌行了五餅二魚的神蹟
[00:03:14.400 --> 00:03:17.800]  引來全民的哄動 跟從祂
[00:03:17.800 --> 00:03:20.400]  終於來到加巴隆找到耶穌
[00:03:20.400 --> 00:03:22.400]  耶穌不客氣斥責他們
[00:03:22.400 --> 00:03:24.800]  他們的動機其實只是想要食物
[00:03:24.800 --> 00:03:26.800]  不是想看神蹟
[00:03:26.800 --> 00:03:28.400]  耶穌很想引導他們
[00:03:28.400 --> 00:03:31.200]  什麼是真正生命的糧
[00:03:31.200 --> 00:03:33.400]  於是群眾就問耶穌
[00:03:33.400 --> 00:03:37.200]  那我要做些什麼才能拿到這些東西
[00:03:37.200 --> 00:03:39.800]  他們不明白真正生命的糧
[00:03:39.800 --> 00:03:43.600]  不是靠人手努力去做就可以得到
[00:03:43.600 --> 00:03:44.800]  耶穌教導他們
[00:03:44.800 --> 00:03:48.400]  神的工作不是人手可以去做
[00:03:48.400 --> 00:03:49.800]  而是人唯有信靠
[00:03:49.800 --> 00:03:52.600]  從上主差來的耶穌
[00:03:52.600 --> 00:03:54.600]  於是他們繼續去追問
[00:03:54.600 --> 00:04:00.200]  憑什麼讓他們可以去信耶穌
[00:04:00.200 --> 00:04:02.600]  整體上我們看到整個第六章
[00:04:02.600 --> 00:04:04.200]  用食物作為主題
[00:04:04.200 --> 00:04:06.600]  去串連很多的罪事
[00:04:06.600 --> 00:04:08.600]  當時是逾越節
[00:04:08.600 --> 00:04:09.800]  紀念以色列民
[00:04:09.800 --> 00:04:11.400]  他們出埃及的時候
[00:04:11.400 --> 00:04:12.400]  在曠野裏面
[00:04:12.400 --> 00:04:16.200]  吃過從天上降下來的瑪拿
[00:04:16.200 --> 00:04:18.400]  不久之前他們在五餅二魚裏面
[00:04:18.400 --> 00:04:21.800]  也吃過由耶穌使人的神蹟
[00:04:21.800 --> 00:04:24.600]  降下來的一些食物
[00:04:24.600 --> 00:04:27.400]  於是猶太的群眾就問耶穌
[00:04:27.400 --> 00:04:28.600]  你可不可以行一個
[00:04:28.600 --> 00:04:31.000]  比天降瑪拿更加大的神蹟
[00:04:31.000 --> 00:04:34.800]  讓我們去顯示你的身份
[00:04:34.800 --> 00:04:35.800]  耶穌解釋
[00:04:35.800 --> 00:04:38.800]  昔日降下來的瑪拿不是來自摩西
[00:04:38.800 --> 00:04:40.600]  而是來自神
[00:04:40.600 --> 00:04:42.600]  現在上帝要試下一個
[00:04:42.600 --> 00:04:45.800]  比昔日的瑪拿更加好的食物
[00:04:45.800 --> 00:04:47.400]  就是耶穌祂自己
[00:04:47.400 --> 00:04:52.200]  祂自己就是從天上降下來的那個量
[00:04:52.200 --> 00:04:54.000]  耶穌讓人知道
[00:04:54.000 --> 00:04:57.600]  他們感覺上以為最重要的東西
[00:04:57.600 --> 00:05:01.400]  其實並不一定是他們真正的需要
[00:05:01.400 --> 00:05:04.000]  他們所要的是藉著耶穌
[00:05:04.000 --> 00:05:07.600]  而得到另一種的飽足
[00:05:07.600 --> 00:05:09.200]  我們將在今天學習的經文
[00:05:09.200 --> 00:05:12.800]  福音第六章四十一至五十九節
[00:05:12.800 --> 00:05:16.800]  這個敘事繼續用食物作為主題
[00:05:16.800 --> 00:05:20.400]  猶太群眾向耶穌問的兩個問題
[00:05:20.400 --> 00:05:24.000]  一路開展下去
[00:05:24.000 --> 00:05:28.800]  在程序表用了兩種不同的文字去表達
[00:05:28.800 --> 00:05:31.600]  第一個問題在四十二節
[00:05:31.600 --> 00:05:33.800]  耶穌看來這個普通人
