
[00:00:00.000 --> 00:00:07.040]  一個充滿自信的陳振聰先生
[00:00:07.040 --> 00:00:10.880]  用風水 用欺騙的方式
[00:00:10.880 --> 00:00:13.720]  騙了很多人很多錢
[00:00:13.720 --> 00:00:15.960]  但是騙不了他自己
[00:00:15.960 --> 00:00:18.080]  最近他發現
[00:00:18.080 --> 00:00:19.840]  他不僅騙不了他自己
[00:00:19.840 --> 00:00:21.960]  也騙不了我們的創造者
[00:00:21.960 --> 00:00:25.040]  我們的上帝
[00:00:25.040 --> 00:00:28.080]  有牧師和他傳福音的時候
[00:00:28.080 --> 00:00:29.960]  他開始知道
[00:00:29.960 --> 00:00:33.000]  原來除了我自己之外
[00:00:33.000 --> 00:00:35.840]  還有上帝知道我騙人
[00:00:35.840 --> 00:00:37.600]  我看過他的見證
[00:00:37.600 --> 00:00:42.120]  我相信他是真正的悔改
[00:00:42.120 --> 00:00:44.960]  當一個人輸了官司
[00:00:44.960 --> 00:00:47.360]  面臨破產的時候
[00:00:47.360 --> 00:00:49.520]  他就謙卑了
[00:00:49.520 --> 00:00:51.760]  一個人不謙卑
[00:00:51.760 --> 00:00:54.400]  看不到自己的壞事
[00:00:54.400 --> 00:00:59.960]  也好 如果他不幸離開這個世界
[00:00:59.960 --> 00:01:01.040]  而沒有救恩的話
[00:01:01.040 --> 00:01:03.400]  就是這麼大 就是這麼多
[00:01:03.400 --> 00:01:05.160]  在永恆裡面永死
[00:01:05.160 --> 00:01:07.680]  孤單 孤零零一個
[00:01:07.680 --> 00:01:10.240]  沒有朋友 沒有小寵物
[00:01:10.240 --> 00:01:11.800]  和神分開
[00:01:11.800 --> 00:01:14.400]  肉身是痛苦 但是不能死
[00:01:14.400 --> 00:01:16.400]  這個就叫永死
[00:01:16.400 --> 00:01:20.480]  生和死不是存在與不存在的意思
[00:01:20.480 --> 00:01:23.400]  是和神一起 或者和神分開
[00:01:23.400 --> 00:01:26.920]  分別就在那裡
[00:01:26.920 --> 00:01:30.440]  我昨天來
[00:01:30.440 --> 00:01:31.640]  我今天早上
[00:01:31.640 --> 00:01:33.160]  不記得是昨天
[00:01:33.160 --> 00:01:35.400]  昨天講晚堂的時候
[00:01:35.400 --> 00:01:37.280]  是講到神有沒有做魔鬼
[00:01:37.280 --> 00:01:39.040]  魔鬼的攻勢
[00:01:39.040 --> 00:01:40.680]  這個風水其中一個攻勢
[00:01:40.680 --> 00:01:42.560]  因為人的迷信
[00:01:42.560 --> 00:01:44.600]  你說你迷不迷信
[00:01:44.600 --> 00:01:45.920]  譬如有間樓
[00:01:45.920 --> 00:01:47.000]  有四樓出賣的
[00:01:47.000 --> 00:01:49.760]  或者十四樓 你要不要
[00:01:49.760 --> 00:01:50.800]  你說我不要
[00:01:50.800 --> 00:01:51.720]  十四樓
[00:01:51.720 --> 00:01:55.000]  肯定死的
[00:01:55.000 --> 00:01:56.960]  你以為你沒有迷信嗎
[00:01:56.960 --> 00:01:58.480]  香港沒有一間樓是有四樓
[00:01:58.480 --> 00:02:04.360]  有十四樓 夜夜四樓的
[00:02:04.360 --> 00:02:06.400]  昨天有人提醒我
[00:02:06.400 --> 00:02:07.880]  他說你來講一篇
[00:02:07.880 --> 00:02:08.680]  你以前不是的
[00:02:08.680 --> 00:02:09.800]  你來講AB
[00:02:09.800 --> 00:02:11.520]  Alternate AB
[00:02:11.520 --> 00:02:12.720]  我昨天講了A
[00:02:12.720 --> 00:02:14.040]  今天早上講B
[00:02:14.040 --> 00:02:15.120]  剛才那一堂講A
[00:02:15.120 --> 00:02:17.040]  現在我想講B
[00:02:17.040 --> 00:02:18.480]  因為我有四百多篇導遊
[00:02:18.480 --> 00:02:20.040]  每年來香港兩次
[00:02:20.040 --> 00:02:21.160]  在季教會講導遊
[00:02:21.160 --> 00:02:22.720]  每次講一篇
[00:02:22.720 --> 00:02:23.760]  一年講兩篇
[00:02:23.760 --> 00:02:26.920]  四百篇要二百年才講完
[00:02:26.920 --> 00:02:28.560]  如果講AB
[00:02:28.560 --> 00:02:30.080]  一年都可以講四篇
[00:02:30.080 --> 00:02:31.600]  那也要一百年
[00:02:31.600 --> 00:02:32.760]  我不止四百篇
[00:02:32.760 --> 00:02:34.840]  我現在陸續有來
[00:02:34.840 --> 00:02:35.600]  因為我發現
[00:02:35.600 --> 00:02:37.320]  我最近才開始明白聖經
[00:02:37.320 --> 00:02:38.400]  以前我念口旺
[00:02:38.400 --> 00:02:39.160]  不懂解釋的
[00:02:39.160 --> 00:02:41.000]  現在開始明白
[00:02:41.000 --> 00:02:42.760]  我都和大家講過
[00:02:42.760 --> 00:02:43.680]  全本聖經是講
[00:02:43.680 --> 00:02:44.600]  神人相會
[00:02:44.600 --> 00:02:46.480]  神要人和人相會
[00:02:46.480 --> 00:02:48.400]  當人未犯罪之前
[00:02:48.400 --> 00:02:52.040]  神和阿當和女人聊天是沒問題的
[00:02:52.040 --> 00:02:54.240]  犯罪之後就很不同了
[00:02:54.240 --> 00:02:56.200]  因為一個很污穢的我們人
[00:02:56.200 --> 00:02:57.720]  和神一起走在一起
[00:02:57.720 --> 00:02:58.360]  就爆炸了
[00:02:58.360 --> 00:03:00.240]  爆炸了我們會死去
[00:03:00.240 --> 00:03:01.360]  我做了十五篇
[00:03:01.360 --> 00:03:03.400]  十六篇
[00:03:03.400 --> 00:03:04.040]  第一篇是講
[00:03:04.040 --> 00:03:06.080]  神在指定的地方和人相會
[00:03:06.080 --> 00:03:09.320]  然後說神在會幕中
[00:03:09.320 --> 00:03:11.240]  向摩西說話
[00:03:11.240 --> 00:03:12.600]  The Tent of Meeting
[00:03:12.600 --> 00:03:13.800]  The Tabernacle
[00:03:13.800 --> 00:03:14.400]  叫做會幕
[00:03:14.400 --> 00:03:16.160]  後來變成聖殿
[00:03:16.160 --> 00:03:19.480]  第二篇 神直著先知和我們說話
[00:03:19.480 --> 00:03:20.880]  第三篇 道成肉身
[00:03:20.880 --> 00:03:21.760]  住在我們中間
[00:03:21.760 --> 00:03:24.680]  Emmanuel
[00:03:24.680 --> 00:03:27.280]  神與人同在
[00:03:27.280 --> 00:03:28.160]  耶穌是誰
[00:03:28.160 --> 00:03:30.000]  這篇起碼有
[00:03:30.000 --> 00:03:32.880]  我想英文字母可能run out of letters
[00:03:32.880 --> 00:03:35.320]  那26個字母可能run out
[00:03:35.320 --> 00:03:37.560]  耶穌是誰有很長時間講
[00:03:37.560 --> 00:03:39.320]  耶穌說I am
[00:03:39.320 --> 00:03:40.800]  我就是那道門
[00:03:40.800 --> 00:03:42.120]  我是好木人
[00:03:42.120 --> 00:03:44.800]  我是你的創造者
[00:03:44.800 --> 00:03:45.880]  我就是你的祭品
[00:03:45.880 --> 00:03:47.520]  我也是大祭司
[00:03:47.520 --> 00:03:50.040]  按著默基西德等字的大祭司
[00:03:50.040 --> 00:03:52.600]  但我發現寫了第一篇之後
[00:03:52.600 --> 00:03:56.880]  我就發現有1A 1B 1C 1D 1E 1F 1G
[00:03:56.880 --> 00:03:59.560]  寫了1G之後就發現有1B
[00:03:59.560 --> 00:04:01.760]  1G變成1A 1B
[00:04:01.760 --> 00:04:03.040]  1A和你們講過了
[00:04:03.040 --> 00:04:04.320]  很多年前和你們講過
[00:04:04.320 --> 00:04:06.280]  尋找自我尊嚴
[00:04:06.280 --> 00:04:10.480]  Searching for self-significance
[00:04:10.480 --> 00:04:14.400]  當一個有自信心的陳振聰都悔改
[00:04:14.400 --> 00:04:16.080]  何況一個沒有自信心的
[00:04:16.080 --> 00:04:19.200]  好像你和我一樣
[00:04:19.200 --> 00:04:21.800]  我相信你和我都沒騙錢
[00:04:21.800 --> 00:04:23.280]  大庭廣眾拍拍胸口
[00:04:23.280 --> 00:04:27.200]  這裡風水不行
[00:04:27.200 --> 00:04:30.960]  風水是common sense
[00:04:30.960 --> 00:04:32.240]  沒有科學根據的
[00:04:32.240 --> 00:04:33.720]  科學根據都有
[00:04:33.720 --> 00:04:35.480]  你建一間房子沒有窗門的
[00:04:35.480 --> 00:04:36.400]  或者窗門很小
[00:04:36.400 --> 00:04:38.840]  黑漆漆的人都會中眼瞓
[00:04:38.840 --> 00:04:40.800]  我在多倫多住一個弟兄的家
[00:04:40.800 --> 00:04:42.240]  他把地牢給我住
[00:04:42.240 --> 00:04:44.040]  地牢沒有窗
[00:04:44.040 --> 00:04:45.400]  怪不得整天都不醒
[00:04:45.400 --> 00:04:49.800]  天黑的 整天都黑的
[00:04:49.800 --> 00:04:51.560]  去了阿拉斯加傳福音的時候
[00:04:51.560 --> 00:04:53.200]  6個月黑的
[00:04:53.200 --> 00:04:54.080]  你明天要教鬧鐘
[00:04:54.080 --> 00:04:55.040]  你不知道什麼時候天亮
[00:04:55.040 --> 00:05:00.000]  6個月光的 6個月黑的
[00:05:00.000 --> 00:05:02.120]  繼續第五
