
[00:00:00.000 --> 00:00:03.080]  今天的主題是加拿大主要的結局篇
[00:00:03.080 --> 00:00:06.840]  拯救行動的守則
[00:00:06.840 --> 00:00:11.760]  我覺得我們一輩子都看過很多電視劇
[00:00:11.760 --> 00:00:15.200]  或者電影都是有結局篇的
[00:00:15.200 --> 00:00:20.160]  我不知道大家有沒有看過這些電視劇
[00:00:20.160 --> 00:00:22.760]  《抗朝》有沒有人看過的
[00:00:22.760 --> 00:00:24.120]  舉個手
[00:00:24.120 --> 00:00:26.960]  很勇敢啊 舉手
[00:00:26.960 --> 00:00:30.200]  這裡是70年代 你們也看過吧
[00:00:30.200 --> 00:00:31.560]  重播的
[00:00:31.560 --> 00:00:33.680]  70年代我也有看過
[00:00:33.680 --> 00:00:36.760]  1976年還是79年
[00:00:36.760 --> 00:00:39.440]  Carol很好笑 你沒看過你爸爸吧
[00:00:39.440 --> 00:00:42.680]  不知道大家有沒有看過《天蠶變》
[00:00:42.680 --> 00:00:45.160]  《天蠶變》我也有看過
[00:00:45.160 --> 00:00:49.640]  因為它是少有利的打敗無線的長篇劇
[00:00:49.640 --> 00:00:51.960]  我們的年代和大家的年代
[00:00:51.960 --> 00:00:53.400]  或者你們的年代
[00:00:53.400 --> 00:00:56.280]  雖然大結局是不會播出的
[00:00:56.280 --> 00:00:57.720]  坐穩在家中
[00:00:57.720 --> 00:01:01.000]  留意開定飯去看大結局
[00:01:01.000 --> 00:01:04.600]  我的時代應該是看《新澤師兄》的時代
[00:01:04.600 --> 00:01:07.040]  《拿渣》
[00:01:07.040 --> 00:01:08.760]  《白海龍王》
[00:01:08.760 --> 00:01:11.840]  你說是不是啊 陳莫 你自己猜猜吧
[00:01:11.840 --> 00:01:13.680]  當然到了今天的時代
[00:01:13.680 --> 00:01:15.520]  也有今天的電影
[00:01:15.520 --> 00:01:19.080]  都有很多一連串的系列
[00:01:19.080 --> 00:01:22.240]  例如《Avengers》《珠峰部》《葉問》等等
[00:01:22.240 --> 00:01:24.200]  這三套我都很喜歡看
