
[00:00:00.000 --> 00:00:02.000]  各位頂節目 早安
[00:00:02.000 --> 00:00:03.000]  早安
[00:00:03.000 --> 00:00:06.000]  是一個非常美麗的早晨
[00:00:06.000 --> 00:00:08.000]  讓我們可以一起來敬拜
[00:00:08.000 --> 00:00:11.000]  一起來思考上帝自己的話語
[00:00:11.000 --> 00:00:13.000]  剛才節目領詩的時候
[00:00:13.000 --> 00:00:16.000]  講到上帝很多時候沉默
[00:00:16.000 --> 00:00:19.000]  不過我們絕大部分人的經驗
[00:00:19.000 --> 00:00:21.000]  先賢很多的經驗都告訴我們
[00:00:21.000 --> 00:00:24.000]  上帝在我們的生命裡面
[00:00:24.000 --> 00:00:26.000]  祂很多時候真的選擇了沉默
[00:00:26.000 --> 00:00:28.000]  我們不是很明白
[00:00:28.000 --> 00:00:32.000]  教會的人士經常都在批評
[00:00:32.000 --> 00:00:35.000]  你怎知道祂說話呢
[00:00:35.000 --> 00:00:37.000]  祂沒有說話的時候
[00:00:37.000 --> 00:00:38.000]  你說祂沒有說話
[00:00:38.000 --> 00:00:41.000]  說話的時候只有你知道
[00:00:41.000 --> 00:00:42.000]  我們都不知道
[00:00:42.000 --> 00:00:47.000]  今天又是一個信仰教會
[00:00:47.000 --> 00:00:50.000]  好像很開放的年代裡面
[00:00:50.000 --> 00:00:52.000]  要按照上帝自己的心意
[00:00:52.000 --> 00:00:54.000]  在這個世界裡面來生活
[00:00:54.000 --> 00:00:57.000]  是需要我們教會這個群體
[00:00:57.000 --> 00:00:59.000]  大家彼此互相的支援
[00:00:59.000 --> 00:01:01.000]  大家彼此互相的禱告
[00:01:01.000 --> 00:01:02.000]  尋求上帝自己的心意
[00:01:02.000 --> 00:01:04.000]  按照祂自己的話語
[00:01:04.000 --> 00:01:05.000]  做我們生活裡面
[00:01:05.000 --> 00:01:06.000]  生命裡面的指導
[00:01:06.000 --> 00:01:08.000]  讓我們共同的生活
[00:01:08.000 --> 00:01:10.000]  教會就是我們的見證
[00:01:10.000 --> 00:01:12.000]  我們的見證在教會裡面
[00:01:12.000 --> 00:01:15.000]  可以被彰顯出來
[00:01:15.000 --> 00:01:17.000]  今天我們所讀的這一段經文
[00:01:17.000 --> 00:01:20.000]  實際上它經文裡面的字眼
[00:01:20.000 --> 00:01:24.000]  在這裡第21章
[00:01:24.000 --> 00:01:29.000]  第23節 耶穌進了聖殿正教導人的時候
[00:01:29.000 --> 00:01:31.000]  如果我們只是讀這一段的聖經
[00:01:31.000 --> 00:01:34.000]  我們不知道耶穌做了些什麼
[00:01:34.000 --> 00:01:38.000]  被人挑戰祂的權柄
[00:01:38.000 --> 00:01:41.000]  耶穌進了聖殿正教導人的時候
[00:01:41.000 --> 00:01:43.000]  在此掌和百姓的長老來問他
[00:01:43.000 --> 00:01:46.000]  你掌握了什麼權柄做這些事呢
[00:01:46.000 --> 00:01:48.000]  他做了些什麼事呢
[00:01:48.000 --> 00:01:50.000]  在我們今天讀的這段經文裡面
[00:01:50.000 --> 00:01:52.000]  是沒有說到的
[00:01:52.000 --> 00:01:54.000]  實際上我們如果讀《馬達福音》
[00:01:54.000 --> 00:01:57.000]  由開始一直到讀第21章的時候
[00:01:57.000 --> 00:01:59.000]  我們就知道了
[00:01:59.000 --> 00:02:01.000]  原來耶穌所做的每一件事情
[00:02:01.000 --> 00:02:04.000]  都會收到很多人的抗議的
[00:02:04.000 --> 00:02:07.000]  特別是一些宗教界的人士的抗議的
[00:02:07.000 --> 00:02:08.000]  我們不去看遠了
[00:02:08.000 --> 00:02:12.000]  我們只是單看第21章
[00:02:12.000 --> 00:02:14.000]  如果按照經文這裡說
[00:02:14.000 --> 00:02:16.000]  耶穌進了聖殿
[00:02:16.000 --> 00:02:18.000]  我們知道耶穌基督在聖殿裡面
[00:02:18.000 --> 00:02:20.000]  聖殿是耶路撒冷來的
[00:02:20.000 --> 00:02:22.000]  我們知道耶穌那時候在耶路撒冷
[00:02:22.000 --> 00:02:24.000]  在聖殿裡面
[00:02:24.000 --> 00:02:25.000]  在這裡教導人
[00:02:25.000 --> 00:02:28.000]  我們不知道他教導的內容是什麼
[00:02:28.000 --> 00:02:31.000]  但是當他正教導的時候
