
[00:00:00.000 --> 00:00:04.240]  今天要講到的經文是《使徒行傳》第一章一至八節
[00:00:04.240 --> 00:00:05.380]  想起《使徒行傳》
[00:00:05.380 --> 00:00:07.080]  我想你也熟悉的
[00:00:07.080 --> 00:00:09.380]  因為我們講到也講不少
[00:00:09.380 --> 00:00:10.740]  《使徒行傳》講什麼呢?
[00:00:10.740 --> 00:00:12.800]  教會成立 聖靈降臨
[00:00:12.800 --> 00:00:14.420]  使徒出去傳福音
[00:00:14.420 --> 00:00:16.080]  很多人信耶穌
[00:00:16.080 --> 00:00:18.840]  接著到教會受迫害
[00:00:18.840 --> 00:00:21.040]  接著有哪一個出現呢?
[00:00:21.040 --> 00:00:22.900]  保羅悔改
[00:00:22.900 --> 00:00:25.880]  接著有幾次宣教旅程
[00:00:25.880 --> 00:00:29.000]  而《使徒行傳》的第一章講什麼呢?
[00:00:29.000 --> 00:00:31.960]  就是正正講耶穌升天
[00:00:31.960 --> 00:00:36.700]  以及講祂準備跟那些第一間教會
[00:00:36.700 --> 00:00:39.620]  那120個信徒
[00:00:39.620 --> 00:00:42.580]  差遣他們的一番說話
[00:00:42.580 --> 00:00:44.580]  所以今天很想藉著這段經文
[00:00:44.580 --> 00:00:48.960]  去想到底我們的使命是什麼呢?
[00:00:48.960 --> 00:00:51.340]  我們為什麼在這裡呢?
[00:00:51.340 --> 00:00:56.080]  我想請弟兄姊妹同聲頌讀這八節的經文
[00:00:56.080 --> 00:00:57.500]  預備 1 2 3
[00:00:59.500 --> 00:01:01.000]  「我愛耶穌」
[00:01:01.000 --> 00:01:01.500]  「使徒」
[00:01:01.500 --> 00:01:03.000]  「以任何耶穌」
[00:01:03.000 --> 00:01:04.000]  「從愛我」
[00:01:04.000 --> 00:01:07.000]  「所做和所教會的一切事」
[00:01:07.000 --> 00:01:08.500]  「祈禱大名」
[00:01:08.500 --> 00:01:09.000]  「著聖名」
[00:01:09.000 --> 00:01:10.000]  「奮不顧身」
[00:01:10.000 --> 00:01:12.000]  「堅持的使徒們」
[00:01:12.000 --> 00:01:15.000]  「以至誠信的使徒們」
[00:01:15.000 --> 00:01:16.500]  「下週開始後」
[00:01:16.500 --> 00:01:17.500]  「容許我」
[00:01:17.500 --> 00:01:19.000]  「代表使徒」
[00:01:19.000 --> 00:01:21.500]  「以命義的使徒出席」
[00:01:21.500 --> 00:01:23.000]  「在這十天之中」
[00:01:23.000 --> 00:01:25.000]  「等待和意義」
[00:01:25.000 --> 00:01:27.000]  「希望邂逅我的使徒」
[00:01:27.000 --> 00:01:30.000]  「耶穌與他們聚集的時候」
[00:01:30.000 --> 00:01:31.500]  「祝福他們說」
[00:01:31.500 --> 00:01:34.000]  「只要你們愛耶穌撒旦」
[00:01:34.000 --> 00:01:36.000]  「但要等候我的英雄」
[00:01:36.000 --> 00:01:39.000]  「多謝你們的英雄出席」
[00:01:39.000 --> 00:01:41.500]  「讓我使用水之體」
[00:01:41.500 --> 00:01:43.500]  「但我要更多的意義」
[00:01:43.500 --> 00:01:47.000]  「希望要在聖名裡受洗」
[00:01:47.000 --> 00:01:49.000]  「他們聚集的時候」
[00:01:49.000 --> 00:01:50.000]  「耶穌」
[00:01:50.000 --> 00:01:53.000]  「使得耶穌與他們的使徒」
[00:01:53.000 --> 00:01:55.000]  「和平致謝的一方」
[00:01:55.000 --> 00:01:56.500]  「耶穌對他們說」
[00:01:56.500 --> 00:01:59.000]  「無論是自己的權利」
[00:01:59.000 --> 00:02:01.000]  「或是自己的自由和利益」
[00:02:01.000 --> 00:02:03.500]  「就只要你們愛耶穌的」
[00:02:03.500 --> 00:02:06.500]  「但要等候我的英雄出席」
[00:02:06.500 --> 00:02:08.500]  「希望要在聖名裡受洗」
[00:02:08.500 --> 00:02:10.500]  「他們聚集的時候」
[00:02:10.500 --> 00:02:12.000]  「等待和意義」
[00:02:12.000 --> 00:02:13.500]  「希望要在聖名裡受洗」
[00:02:13.500 --> 00:02:16.500]  「多謝你們的英雄出席」
[00:02:16.500 --> 00:02:17.500]  好,很簡單
[00:02:17.500 --> 00:02:18.500]  讀完這八節
[00:02:18.500 --> 00:02:21.000]  我相信大家都不陌生的經文
[00:02:21.000 --> 00:02:23.000]  我想問,到底他那裡說
[00:02:23.000 --> 00:02:28.000]  我們是為此,那個「此」是什麼呢?
[00:02:28.000 --> 00:02:30.500]  到底教會的使命是什麼呢?
[00:02:30.500 --> 00:02:32.500]  很多人一聽完剛才那段經文
[00:02:32.500 --> 00:02:34.000]  就會想起第八節
[00:02:34.000 --> 00:02:36.500]  因為每一次說《使徒行傳》都說第八節
[00:02:36.500 --> 00:02:39.000]  但我今天想用一點時間
[00:02:39.000 --> 00:02:42.000]  去看看頭五節的經文
[00:02:42.000 --> 00:02:43.500]  到底路加醫生
[00:02:43.500 --> 00:02:46.500]  怎麼去說這本書的開頭
[00:02:46.500 --> 00:02:49.000]  讓我們從此去明白
[00:02:49.000 --> 00:02:52.000]  教會的使命是什麼
[00:02:52.000 --> 00:02:53.000]  經文說
[00:02:53.000 --> 00:02:55.000]  「提阿飛羅,我在第一本書」
[00:02:55.000 --> 00:02:58.000]  「論到耶穌基督開頭所做」
[00:02:58.000 --> 00:03:01.000]  「和所教導的一切事」
[00:03:01.000 --> 00:03:04.000]  第一本書是哪本書呢?
[00:03:04.000 --> 00:03:05.000]  《路加福音》
[00:03:05.000 --> 00:03:06.000]  我想大部分人都知道
[00:03:06.000 --> 00:03:09.500]  《使徒行傳》是路加醫生寫的
[00:03:09.500 --> 00:03:11.000]  他寫了兩卷書
[00:03:11.000 --> 00:03:12.500]  第一卷是《路加福音》
[00:03:12.500 --> 00:03:15.000]  是說耶穌基督的故事
[00:03:15.000 --> 00:03:18.500]  第二卷是說《使徒行傳》
[00:03:18.500 --> 00:03:20.000]  所以這兩卷書
[00:03:20.000 --> 00:03:22.000]  其實你應該看是上下集
[00:03:22.000 --> 00:03:25.000]  上下集是有連貫性的
[00:03:25.000 --> 00:03:27.000]  他說第一本書《路加福音》
[00:03:27.000 --> 00:03:29.000]  是說耶穌的事
[00:03:29.000 --> 00:03:31.000]  我們就看看《路加福音》怎麼說
[00:03:31.000 --> 00:03:33.000]  《路加福音》第四章四十三節
[00:03:33.000 --> 00:03:34.500]  耶穌對他們說
[00:03:34.500 --> 00:03:39.000]  「我必須在別的城傳神國的福音」
[00:03:39.000 --> 00:03:41.500]  「我奉差原事為此」
[00:03:41.500 --> 00:03:45.000]  原來耶穌基督自己介紹自己
[00:03:45.000 --> 00:03:46.000]  我的使命
[00:03:46.000 --> 00:03:48.000]  我的mission statement
[00:03:48.000 --> 00:03:49.000]  是什麼呢?
[00:03:49.000 --> 00:03:52.000]  就是全神國的福音
[00:03:52.000 --> 00:03:55.000]  接著我們又回到《使徒行傳》
[00:03:55.000 --> 00:03:57.000]  第三節那裡這麼說
[00:03:57.000 --> 00:03:59.000]  他說他受害之後
[00:03:59.000 --> 00:04:02.000]  很多人顯現他繼續活著
[00:04:02.000 --> 00:04:03.000]  四十天裡面
[00:04:03.000 --> 00:04:05.000]  他跟門徒說什麼?
[00:04:05.000 --> 00:04:05.500]  記不記得?
[00:04:05.500 --> 00:04:08.000]  剛才讀過一次
[00:04:08.000 --> 00:04:10.000]  仍然都是神國的事
[00:04:10.000 --> 00:04:12.000]  很奇怪
[00:04:12.000 --> 00:04:14.000]  耶穌基督在《路加福音》
[00:04:14.000 --> 00:04:16.000]  已經做了很多神國的事
