
[00:00:00.000 --> 00:00:06.520]  好,停一停,大家知道這是甚麼來的嗎?
[00:00:06.520 --> 00:00:16.440]  這個就是我們的警號聲,原來有一天,在2009年左右,有一宗這樣的新聞
[00:00:16.440 --> 00:00:20.440]  這宗新聞告訴我們,原來當時有一個交通警
[00:00:20.440 --> 00:00:25.640]  當他駕駛著他的電單車的時候,響著警號
[00:00:25.640 --> 00:00:32.880]  他試圖從阿佳路街和窩打路路街去大角咀方向
[00:00:32.880 --> 00:00:40.720]  但當他去到差不多的時候,在路口相遇的原來是一輛小巴,攔腰撞出來
[00:00:40.720 --> 00:00:45.840]  當然了,這個電單車避不開的時候
[00:00:45.840 --> 00:00:53.560]  警察和他的電單車,一同被車撞的時候,整個飛脫
[00:00:53.560 --> 00:01:00.080]  一個電單車的司機,即是一個交通督察,他就被彈出來
[00:01:00.080 --> 00:01:06.720]  撞到當時的一個欄杆,那就沒有了
[00:01:06.720 --> 00:01:12.600]  撞到那個欄杆,現在來了,不要緊,就真的沒有了
[00:01:12.600 --> 00:01:19.240]  他就在現場馬上插傷了肺,他就死了
[00:01:19.240 --> 00:01:24.840]  這件事當時都很大件事,那個小巴司機就要上庭
[00:01:24.840 --> 00:01:33.760]  最後就判了他,因為危險駕駛而判罰
[00:01:33.760 --> 00:01:40.600]  後來他上訴的時候,他雖然被打了,但那個官仍然告訴他
[00:01:40.600 --> 00:01:50.240]  原來你在那裏作供的時候,其實我還眼尾看到我一直轉到這個彎的時候
[00:01:50.240 --> 00:01:54.960]  我轉到右邊,我左邊我聽到有聲音,我罵到了
[00:01:54.960 --> 00:02:02.040]  不過我當時罵到的時候,我是遲了兩三秒,然後我就踩煞車
[00:02:02.040 --> 00:02:07.680]  這個踩煞車遲了兩三秒,如果大家開過車的人就知道了
[00:02:07.680 --> 00:02:19.400]  在電光火石之間兩三秒,不是0.2秒,是兩三秒就出事了
[00:02:19.400 --> 00:02:26.520]  他告訴我一個訊息,就是其實今天在響警號來的時候
[00:02:26.520 --> 00:02:32.080]  其實我們要反應,我們不要想著是哪一位呢
[00:02:32.080 --> 00:02:37.760]  我想這個小巴司機其實不是在想哪一位,而是他想著我反應一下
[00:02:37.760 --> 00:02:42.080]  我衝過了他都還沒過,他可能有這樣的思想
[00:02:42.080 --> 00:02:47.200]  所以那個官就提醒他,說雖然現在你上訴得直
[00:02:47.200 --> 00:02:51.760]  但仍然你要留意一件事,某個角度你仍然是很危險的
[00:02:51.760 --> 00:02:55.040]  因為你沒有留意到這個警號
[00:02:55.040 --> 00:03:01.960]  我們又來留意一下,因為原來今天的經文是講到警號響起
[00:03:01.960 --> 00:03:07.440]  原來經文第八節,我們剛才所讀的有一句金句,有一句這樣的說話
[00:03:07.440 --> 00:03:14.960]  「你們當在基比亞吹角,在拉瑪吹號,在白雅門吹出大聲」
[00:03:14.960 --> 00:03:19.160]  原來是以色列國一站一站越來越近
