
[00:00:00.000 --> 00:00:03.680]  今天我們要講的是教會DNA系列裏面
[00:00:03.680 --> 00:00:06.160]  五講裏面最後一講
[00:00:06.160 --> 00:00:07.680]  題目是
[00:00:07.680 --> 00:00:08.960]  「祈禱」
[00:00:08.960 --> 00:00:10.880]  如果你有跟我們一起
[00:00:10.880 --> 00:00:12.800]  你只記得大概一個月前
[00:00:12.800 --> 00:00:16.000]  我們開始思想視覺行轉
[00:00:16.000 --> 00:00:20.720]  第二章第四十二節裏面初期的教會
[00:00:20.720 --> 00:00:24.800]  他們都專注於仕途的教導
[00:00:24.800 --> 00:00:29.040]  彼此的團契抹餅和祈禱
[00:00:29.040 --> 00:00:31.280]  這是教會的DNA
[00:00:31.280 --> 00:00:36.560]  我們很希望我們的教會有五個核心的價值
[00:00:36.560 --> 00:00:38.640]  就是我們是一個專注的教會
[00:00:38.640 --> 00:00:40.640]  我們是一個有教導的教會
[00:00:40.640 --> 00:00:42.720]  我們是有一個真團契的教會
[00:00:42.720 --> 00:00:44.960]  我們是一個抹餅的教會
[00:00:44.960 --> 00:00:50.080]  最後我們是一個祈禱的教會
[00:00:50.080 --> 00:00:55.600]  首先我們見到初期的教會是一個專注的教會
[00:00:55.600 --> 00:01:01.520]  他們全心投入背十字架
[00:01:01.520 --> 00:01:04.480]  全心投入去跟隨基督
[00:01:04.480 --> 00:01:07.040]  他們專注追求上帝的國
[00:01:07.040 --> 00:01:09.920]  專注追求上帝的義
[00:01:09.920 --> 00:01:11.760]  他們之所以這麼專注
[00:01:11.760 --> 00:01:15.520]  是因為他們當中有仕途的教訓
[00:01:15.520 --> 00:01:18.800]  如果你記得彼得講了編導
[00:01:18.800 --> 00:01:20.880]  入心入肺的道
[00:01:20.880 --> 00:01:22.480]  暴露人性
[00:01:22.480 --> 00:01:23.760]  審判罪惡
[00:01:23.760 --> 00:01:27.360]  彰顯主耶穌基督十架的道
[00:01:27.360 --> 00:01:29.680]  那篇道令人擇心
[00:01:29.680 --> 00:01:31.360]  那篇道令人悔改
[00:01:31.360 --> 00:01:33.440]  那篇道叫人信靠
[00:01:33.440 --> 00:01:39.040]  那篇道叫人去跟隨主耶穌基督
[00:01:39.040 --> 00:01:40.480]  聽完那篇道之後
[00:01:40.480 --> 00:01:42.400]  那些人沒有走
[00:01:42.400 --> 00:01:48.240]  相反他們更加渴望更多的仕途的教訓
[00:01:48.240 --> 00:01:54.000]  到一個地步他們決定要有一個彼此的團契
[00:01:54.000 --> 00:01:56.080]  這個所講的團契
[00:01:56.080 --> 00:01:58.240]  不是一個Food Fund Fellowship
[00:01:58.240 --> 00:02:02.880]  不是一個吃喝玩樂的老鴨團契
[00:02:02.880 --> 00:02:04.160]  如果你那個禮拜在這裡
[00:02:04.160 --> 00:02:07.280]  你記得我們講什麼叫老鴨的團契
[00:02:07.280 --> 00:02:09.200]  他們是一個一心一意
[00:02:09.200 --> 00:02:11.680]  一生一世追求上帝的國
[00:02:11.680 --> 00:02:14.240]  上帝的義的一個團契
[00:02:14.240 --> 00:02:17.040]  是一個長了翅膀的團契
[00:02:17.040 --> 00:02:19.120]  一個有X基因的團契
[00:02:19.120 --> 00:02:21.200]  一個變種人的團契
[00:02:21.200 --> 00:02:26.160]  一個展翅高飛的天鵝的團契
[00:02:26.160 --> 00:02:27.840]  這個團契裡面的人
[00:02:27.840 --> 00:02:30.720]  他們思想天上的事情
[00:02:30.720 --> 00:02:33.920]  他們放下地上的名利
[00:02:33.920 --> 00:02:37.200]  他們甚至願意為主耶穌基督受苦
[00:02:37.200 --> 00:02:40.000]  甚至是捨去他們的生命
[00:02:40.000 --> 00:02:43.360]  這個是一個真正的福音的團契
[00:02:43.360 --> 00:02:47.600]  是因主耶穌基督福音而重生的一個團契
[00:02:47.600 --> 00:02:54.320]  也都現在他們為主耶穌基督的福音而活
[00:02:54.320 --> 00:02:56.720]  這個福音的團契
[00:02:56.720 --> 00:03:00.320]  是一個喜愛抹餅的團契
[00:03:00.320 --> 00:03:01.600]  如果你上個禮拜在這裡
[00:03:01.600 --> 00:03:06.320]  你知道我們講的是屬天屬靈的抹餅
[00:03:06.320 --> 00:03:10.240]  不是地上物質上面的麵包
[00:03:10.240 --> 00:03:15.440]  這一幫人他們渴望的不是日用的飲食
[00:03:15.440 --> 00:03:18.960]  他們追求的是天國裡面的靈量
[00:03:18.960 --> 00:03:22.640]  主耶穌基督自己的福音
[00:03:22.640 --> 00:03:24.880]  唯有一個屬靈的抹餅
[00:03:24.880 --> 00:03:28.320]  才可以令我們有大能
[00:03:28.320 --> 00:03:30.000]  讓他們有大能
[00:03:30.000 --> 00:03:32.080]  做一個超凡的見證
[00:03:32.080 --> 00:03:37.840]  為上帝打一場很漂亮的仗
[00:03:37.840 --> 00:03:39.200]  講到這裡
[00:03:39.200 --> 00:03:46.080]  我不知道你對這個教會基因DNA系列有什麼感受
[00:03:46.080 --> 00:03:48.880]  這個禮拜我就有時間坐下來
[00:03:48.880 --> 00:03:51.680]  回想之前那四個禮拜
[00:03:51.680 --> 00:03:55.840]  回想之前那四個禮拜我所講過的那四篇道
[00:03:55.840 --> 00:03:57.920]  我又一直在想
[00:03:57.920 --> 00:03:59.680]  這個禮拜要講這篇道
[00:03:59.680 --> 00:04:02.240]  講他們初期教會的祈禱
[00:04:02.240 --> 00:04:08.400]  是一個非常火熱祈禱的教會
[00:04:08.400 --> 00:04:09.600]  我越想得多
[00:04:09.600 --> 00:04:13.040]  我心裡面越感覺到非常沉重
[00:04:13.040 --> 00:04:14.400]  非常沉重
[00:04:14.400 --> 00:04:17.680]  沉重的原因其實很簡單
[00:04:17.680 --> 00:04:21.680]  因為我越是想初期教會五個基因
[00:04:21.680 --> 00:04:23.600]  我越感覺到香港的教會
[00:04:23.600 --> 00:04:28.800]  和新約教會屬定上的那種差異
[00:04:28.800 --> 00:04:29.840]  甚至可以這樣講
[00:04:29.840 --> 00:04:32.720]  這個差異不是一個分量上的差距
[00:04:32.720 --> 00:04:34.800]  不是他們多一些我們少一些的問題
[00:04:34.800 --> 00:04:38.320]  是一個本質上的不一樣
[00:04:38.320 --> 00:04:40.320]  他們是一個完全離地
[00:04:40.320 --> 00:04:43.040]  屬於天上的飛鳥
[00:04:43.040 --> 00:04:45.200]  我們是一個腳踏實地
[00:04:45.200 --> 00:04:48.960]  貼近地面的爬蟲
[00:04:48.960 --> 00:04:54.080]  是完全兩樣不同的動物
[00:04:54.080 --> 00:04:57.120]  他們全人投入
[00:04:57.120 --> 00:04:59.360]  追求上帝的國和上帝的意
[00:04:59.360 --> 00:05:03.360]  而我們無心掛念天上的事情
[00:05:03.360 --> 00:05:08.880]  我們卻忠誠於地上的事情
[00:05:08.880 --> 00:05:12.080]  他們的教導猶如先知
[00:05:12.080 --> 00:05:14.000]  勇敢直言
[00:05:14.000 --> 00:05:15.040]  暴露人性
[00:05:15.040 --> 00:05:16.480]  高舉十價
[00:05:16.480 --> 00:05:17.520]  震撼人心
[00:05:17.520 --> 00:05:20.240]  滿有基督復活的大能
[00:05:20.240 --> 00:05:22.800]  我們今天的教導
[00:05:22.800 --> 00:05:23.920]  迂迴曲折
[00:05:23.920 --> 00:05:25.120]  模糊不清
[00:05:25.120 --> 00:05:26.480]  有形無實
[00:05:26.480 --> 00:05:27.440]  自我陶醉
[00:05:27.440 --> 00:05:28.560]  軟弱無力
[00:05:28.560 --> 00:05:31.760]  滿有心靈雞湯的膠味
[00:05:31.760 --> 00:05:34.480]  好教
[00:05:34.480 --> 00:05:35.520]  更悲哀的是
[00:05:35.520 --> 00:05:37.200]  他們有的聽眾
[00:05:37.200 --> 00:05:38.640]  是渴望真道
[00:05:38.640 --> 00:05:40.960]  期盼更生的聽眾
[00:05:40.960 --> 00:05:42.000]  我們的聽眾
[00:05:42.000 --> 00:05:43.360]  不願改變
[00:05:43.360 --> 00:05:46.320]  只求安恕
[00:05:46.320 --> 00:05:47.760]  他們的團契
[00:05:47.760 --> 00:05:50.640]  是一群復活高飛的天鵝
[00:05:50.640 --> 00:05:52.160]  我們有的是一班
[00:05:52.160 --> 00:05:56.000]  僵硬濛濛的老鴨
[00:05:56.000 --> 00:05:57.760]  他們的祈禱
[00:05:57.760 --> 00:06:00.880]  是熾熱的火團
[00:06:00.880 --> 00:06:02.080]  我們的祈禱
[00:06:02.080 --> 00:06:05.120]  是彰殘的燈火
[00:06:05.120 --> 00:06:06.000]  你不信的話
[00:06:06.000 --> 00:06:09.680]  你去教會的祈禱會就知道
[00:06:09.680 --> 00:06:11.760]  作為一個牧師的我
[00:06:11.760 --> 00:06:13.680]  面對今天的教會
[00:06:13.680 --> 00:06:17.120]  這樣的屬靈警方
