
[00:00:00.000 --> 00:00:02.120]  孔子明問候鼎姊妹平安
[00:00:02.120 --> 00:00:03.880]  孔子問候弟兄姊妹平安
[00:00:03.880 --> 00:00:04.600]  新年快樂
[00:00:04.600 --> 00:00:05.600]  新年快樂
[00:00:05.600 --> 00:00:10.200]  鼎姊妹我和大家來讀《耶利米蘇》
[00:00:10.200 --> 00:00:13.640]  已經有一段時間了
[00:00:13.640 --> 00:00:15.040]  已經有一段時間了
[00:00:15.040 --> 00:00:18.000]  你有沒有發覺《耶利米蘇》它講的東西
[00:00:18.000 --> 00:00:22.720]  是一個很專注上帝和祂子民的關係
[00:00:22.720 --> 00:00:26.760]  你們發現《耶利米蘇》很尊敬上帝與祂子民的關係
[00:00:26.760 --> 00:00:29.240]  上帝子民不聽話
[00:00:29.240 --> 00:00:30.600]  上帝子民不聽話
[00:00:30.600 --> 00:00:32.200]  上帝派他的僕人
[00:00:32.200 --> 00:00:33.280]  上帝派他的僕人
[00:00:33.280 --> 00:00:34.600]  多次派僕人
[00:00:34.600 --> 00:00:35.680]  多次派僕人
[00:00:35.680 --> 00:00:36.680]  來勸告他們
[00:00:36.680 --> 00:00:37.840]  來勸告他們
[00:00:37.840 --> 00:00:39.880]  來到末代的時候
[00:00:39.880 --> 00:00:41.000]  君王末代的時候
[00:00:41.000 --> 00:00:42.240]  就派耶利米蘇了
[00:00:42.240 --> 00:00:44.800]  在君王末代的時候把耶利米蘇擺在這裡
[00:00:44.800 --> 00:00:49.760]  在這樣的一個焦點
[00:00:49.760 --> 00:00:53.640]  照耶利米蘇時代的信息
[00:00:53.640 --> 00:00:57.640]  好像就是焦點在耶利米蘇時代的信息
[00:00:58.320 --> 00:00:59.840]  我想抽離
[00:00:59.840 --> 00:01:01.040]  我想把它抽出來
[00:01:01.040 --> 00:01:02.760]  因為我們不是以色列人
[00:01:02.760 --> 00:01:04.760]  因為我們不是以色列人
[00:01:04.760 --> 00:01:06.360]  我們是新約
[00:01:06.360 --> 00:01:07.280]  我們是在新約
[00:01:07.280 --> 00:01:08.440]  又是外邦人
[00:01:08.440 --> 00:01:09.960]  又是外邦人
[00:01:09.960 --> 00:01:12.440]  所以你聽到這個信息
[00:01:12.440 --> 00:01:13.800]  所以你看這個信息
[00:01:13.800 --> 00:01:15.200]  和我們今天
[00:01:15.200 --> 00:01:16.720]  和我們今天
[00:01:16.720 --> 00:01:19.040]  一般的教會所聽的是很不同的
[00:01:19.040 --> 00:01:21.480]  和一般教會所聽的很不一樣
[00:01:21.480 --> 00:01:22.720]  為什麼
[00:01:22.720 --> 00:01:23.360]  我們是誰
[00:01:23.360 --> 00:01:24.560]  耶利米蘇關我什麼事呢
[00:01:24.560 --> 00:01:26.160]  耶利米蘇關我什麼事呢
[00:01:26.160 --> 00:01:28.360]  我很喜歡讀聖經的時候
[00:01:28.360 --> 00:01:29.440]  經常都問這個問題
[00:01:29.440 --> 00:01:31.480]  他講的這些關我什麼事
[00:01:31.480 --> 00:01:32.960]  就是我在讀聖經的時候
[00:01:32.960 --> 00:01:34.200]  經常會提出這個問題
[00:01:34.200 --> 00:01:36.200]  這段聖經關我什麼事
[00:01:36.200 --> 00:01:41.640]  今天的新約教會
[00:01:41.640 --> 00:01:42.800]  今天的新約教會
[00:01:42.800 --> 00:01:44.680]  特別我們是外邦人
[00:01:44.680 --> 00:01:45.880]  特別我們是外邦人
[00:01:45.880 --> 00:01:47.360]  你承認你是外邦人嗎
[00:01:47.360 --> 00:01:49.920]  你承不承認你是外邦人
[00:01:49.920 --> 00:01:52.480]  外邦人的定義是什麼
[00:01:52.480 --> 00:01:54.120]  外邦人的定義是什麼
[00:01:54.120 --> 00:01:55.120]  不是猶太人
[00:01:55.120 --> 00:01:55.840]  那不是猶太人
[00:01:55.840 --> 00:01:57.520]  這裡就沒有猶太人了
[00:01:57.520 --> 00:01:59.600]  這裡是猶太人的群聚所
[00:01:59.600 --> 00:02:01.320]  那他讀這本猶太人的書
[00:02:01.320 --> 00:02:02.400]  這本猶太人的書
[00:02:02.400 --> 00:02:03.840]  那又關我什麼事呢
[00:02:03.840 --> 00:02:04.920]  關我什麼事呢
[00:02:04.920 --> 00:02:06.080]  是不是很悶呢
[00:02:06.080 --> 00:02:07.760]  是不是很沉悶呢
[00:02:07.760 --> 00:02:10.920]  於是我就想
[00:02:10.920 --> 00:02:13.120]  我想將這個gap
[00:02:13.120 --> 00:02:13.120]  我想將這個gap
[00:02:13.120 --> 00:02:14.840]  夾縫連起來
[00:02:14.840 --> 00:02:18.480]  我想把這個差距連起來
[00:02:18.480 --> 00:02:21.360]  今天本教會
[00:02:21.360 --> 00:02:23.360]  在現在一般的教會
[00:02:23.360 --> 00:02:24.560]  很喜歡講傳福音
[00:02:24.560 --> 00:02:26.560]  很喜歡講傳福音
[00:02:26.560 --> 00:02:28.000]  信耶穌
[00:02:28.000 --> 00:02:28.840]  信耶穌
[00:02:28.840 --> 00:02:29.760]  信了耶穌之後
[00:02:29.760 --> 00:02:31.000]  信了耶穌之後
[00:02:31.000 --> 00:02:32.200]  皆大歡喜
[00:02:32.200 --> 00:02:33.000]  皆大歡喜
[00:02:33.000 --> 00:02:33.760]  阿們
[00:02:33.760 --> 00:02:34.280]  阿們
[00:02:34.280 --> 00:02:35.040]  回家
[00:02:35.040 --> 00:02:35.960]  回到家
[00:02:35.960 --> 00:02:37.640]  舊約聖經有沒有這樣經文呢
[00:02:37.640 --> 00:02:39.120]  聖經有沒有這樣經文呢
[00:02:39.120 --> 00:02:41.280]  舊約聖經有沒有這樣經文呢
[00:02:41.280 --> 00:02:42.960]  舊約聖經有沒有這樣經文呢
[00:02:42.960 --> 00:02:44.080]  沒有啊
[00:02:44.080 --> 00:02:46.560]  沒有啊
[00:02:46.560 --> 00:02:50.960]  那舊約聖經講的東西
[00:02:50.960 --> 00:02:52.280]  跟我們新約信徒講的東西
[00:02:52.280 --> 00:02:54.840]  都不是很合適的
[00:02:54.840 --> 00:02:55.920]  溝不上的
[00:02:55.920 --> 00:02:57.560]  就那麼在舊約聖經
[00:02:57.560 --> 00:03:00.360]  和新約聖經有些溝不上的
[00:03:00.360 --> 00:03:02.480]  那我們為什麼要讀它呢
[00:03:02.480 --> 00:03:04.480]  但是我們為什麼要讀呢
[00:03:04.480 --> 00:03:06.280]  大家
[00:03:06.280 --> 00:03:07.880]  我現在其實講這麼多東西
[00:03:07.880 --> 00:03:10.080]  就想將那個link
[00:03:10.080 --> 00:03:10.720]  扣給聽聽
[00:03:10.720 --> 00:03:11.720]  劉先生聽一下
[00:03:11.720 --> 00:03:13.680]  就是說我為什麼講這麼多呢
[00:03:13.680 --> 00:03:15.680]  實際上我就是想把這個連起來
[00:03:15.680 --> 00:03:17.840]  大家留心聽這個連接部分
[00:03:17.840 --> 00:03:20.640]  我又知道王兆平牧師在這裡
[00:03:20.640 --> 00:03:22.200]  跟你講的是什麼道
