
[00:00:00.000 --> 00:00:04.000]  今天和大家分享一段聖經在詩篇的第一篇
[00:00:04.000 --> 00:00:06.000]  一至到第三節
[00:00:06.000 --> 00:00:08.000]  詩篇第一篇是一首智慧詩
[00:00:08.000 --> 00:00:12.000]  它是講述義人和惡人的比較
[00:00:12.000 --> 00:00:16.000]  講述他們的道路和最終的結局是怎樣
[00:00:16.000 --> 00:00:18.000]  其實目的是一件事
[00:00:18.000 --> 00:00:20.000]  就是要教人
[00:00:20.000 --> 00:00:22.000]  要學習行義人的道路
[00:00:22.000 --> 00:00:24.000]  不要走惡人的道路
[00:00:24.000 --> 00:00:28.000]  我們一起去看一看這個詩篇
[00:00:28.000 --> 00:00:30.000]  我們讀第一至第三節
[00:00:30.000 --> 00:00:32.000]  紅色的
[00:00:32.000 --> 00:00:34.000]  預備起
[00:00:34.000 --> 00:00:36.000]  不從惡人的計謀
[00:00:36.000 --> 00:00:38.000]  不斬罪人的道路
[00:00:38.000 --> 00:00:40.000]  不助褻瀣萬人的作為
[00:00:40.000 --> 00:00:44.000]  提喜愛耶華的律法
[00:00:44.000 --> 00:00:46.000]  晝夜思想
[00:00:46.000 --> 00:00:48.000]  這人便為有福
[00:00:48.000 --> 00:00:50.000]  他要像一棵樹
[00:00:50.000 --> 00:00:52.000]  栽在溪水旁
[00:00:52.000 --> 00:00:54.000]  按時候結果指
[00:00:54.000 --> 00:00:56.000]  日子也不復剛
[00:00:56.000 --> 00:00:58.000]  凡他所做的
[00:00:58.000 --> 00:01:00.000]  盡都順利
[00:01:00.000 --> 00:01:02.000]  今天我們就看這三節的聖經
[00:01:02.000 --> 00:01:07.000]  這裡講述義人的事情是怎樣
[00:01:07.000 --> 00:01:10.000]  首先提出有三方面義人不應該要做的
[00:01:10.000 --> 00:01:13.000]  或者應該要避免做的事
[00:01:13.000 --> 00:01:16.000]  第一件事就是不從惡人的計謀
[00:01:16.000 --> 00:01:20.000]  意思是你不要接受惡人給你的意見
[00:01:20.000 --> 00:01:22.000]  特別是給你意見影響你的思想
[00:01:22.000 --> 00:01:24.000]  心思意念
[00:01:24.000 --> 00:01:26.000]  不要聽從不要接受
[00:01:26.000 --> 00:01:27.000]  第二件事
[00:01:27.000 --> 00:01:29.000]  不斬罪人的道路
[00:01:29.000 --> 00:01:31.000]  意思是不要孝敬他們
[00:01:31.000 --> 00:01:33.000]  學罪人一些行為
[00:01:33.000 --> 00:01:36.000]  一些做事的方式
[00:01:36.000 --> 00:01:38.000]  不要有樣學樣
[00:01:38.000 --> 00:01:41.000]  第三就是不要坐褻瀣萬人的座位
[00:01:41.000 --> 00:01:43.000]  不要再進一步
[00:01:43.000 --> 00:01:45.000]  和他一起同流合污
[00:01:45.000 --> 00:01:47.000]  合夥做他的事情
