
[00:00:00.000 --> 00:00:02.240]  願仆人口中的言語
[00:00:02.240 --> 00:00:05.840]  頂姐妹的心思意念
[00:00:05.840 --> 00:00:08.080]  蒙聖靈的啟迪
[00:00:08.080 --> 00:00:09.680]  蒙主的月立
[00:00:09.680 --> 00:00:12.320]  禱告藉主耶穌基督的聖名而求
[00:00:12.320 --> 00:00:13.440]  阿門
[00:00:13.440 --> 00:00:25.200]  在人生的經歷當中
[00:00:25.200 --> 00:00:29.360]  有很多很弔詭的地方
[00:00:30.720 --> 00:00:34.400]  如果我們很希望得出一個滿意的結果
[00:00:34.400 --> 00:00:35.880]  美好的結果
[00:00:35.880 --> 00:00:38.800]  首先就要經驗一些可能是
[00:00:38.800 --> 00:00:41.080]  頗不容易的考驗
[00:00:41.080 --> 00:00:45.440]  在生活裏面有很多這樣的例子
[00:00:45.440 --> 00:00:48.120]  譬如我們
[00:00:48.120 --> 00:00:50.560]  希望要控制我們的重量
[00:00:50.560 --> 00:00:53.200]  甚至乎減輕這個重量
[00:00:53.200 --> 00:00:54.280]  即是要瘦身
[00:00:54.280 --> 00:00:58.440]  我們可能要在飲食方面有節制
[00:00:59.080 --> 00:01:02.200]  亦都需要有適當的運動
[00:01:02.200 --> 00:01:05.040]  配合在一起才可以
[00:01:05.040 --> 00:01:08.880]  在過去這大半年的當中
[00:01:08.880 --> 00:01:10.680]  我就見證著在
[00:01:10.680 --> 00:01:15.360]  我的辦公室裏面有兩個同事
[00:01:15.360 --> 00:01:19.080]  他們可以控制他們的飲食
[00:01:19.080 --> 00:01:21.280]  和又配合這個運動
[00:01:21.280 --> 00:01:24.360]  結果他們要重新買過衣服
[00:01:24.360 --> 00:01:25.880]  因為成功了
[00:01:26.360 --> 00:01:29.360]  這個結果是非常顯著的
[00:01:29.360 --> 00:01:33.600]  另外有一些這樣的經歷
[00:01:33.600 --> 00:01:35.840]  就是當我們去患病
[00:01:35.840 --> 00:01:37.360]  我們要康復
[00:01:37.360 --> 00:01:43.000]  當然就要接受診治、吃藥等等
[00:01:43.000 --> 00:01:46.320]  但不知為何藥是很難吃的
[00:01:46.320 --> 00:01:51.000]  如果藥做出來的味道是非常好的話
[00:01:51.000 --> 00:01:53.320]  好像是很吸引你的美食
[00:01:53.320 --> 00:01:55.600]  我相信你就不需要去掙扎
[00:01:56.080 --> 00:01:57.720]  很輕易你就會吃藥
[00:01:57.720 --> 00:01:59.360]  接著就可以康復
[00:01:59.360 --> 00:02:03.520]  其實都不明白為何藥要做得這麼難吃
[00:02:03.520 --> 00:02:05.520]  病已經很痛苦了
[00:02:05.520 --> 00:02:07.840]  如果藥吃下去好像吃糖一樣
[00:02:07.840 --> 00:02:09.240]  你說多開心呢
[00:02:09.240 --> 00:02:13.600]  還有如果是一個很嚴重的病
[00:02:13.600 --> 00:02:18.360]  你需要接受一些更加重要的治療
[00:02:18.360 --> 00:02:19.720]  可能是手術
[00:02:19.720 --> 00:02:23.320]  結果可能會帶來相當大的痛楚
[00:02:23.880 --> 00:02:27.360]  不過如果這些痛楚可以幫助我們
[00:02:27.360 --> 00:02:28.960]  有我們的健康
[00:02:28.960 --> 00:02:30.720]  可以繼續我們的生命
[00:02:30.720 --> 00:02:33.560]  我們都會去接受這個過程
[00:02:33.560 --> 00:02:36.680]  又或者是很快的
[00:02:36.680 --> 00:02:39.680]  這個星期大家可能在家裡做冬藥
[00:02:39.680 --> 00:02:44.320]  特別是一些長者
[00:02:44.320 --> 00:02:48.120]  因為子女、孫子可能會回家吃飯
[00:02:48.120 --> 00:02:51.120]  你又要去想想吃什麼
[00:02:51.120 --> 00:02:53.040]  這個吃什麼、那個吃什麼等等
[00:02:53.360 --> 00:02:55.120]  你要花一大輪的功夫
[00:02:55.120 --> 00:02:56.440]  然後再去煮
[00:02:56.440 --> 00:02:59.920]  經過很多的時間去準備
[00:02:59.920 --> 00:03:01.840]  其實都是相當之累的
