
[00:00:00.000 --> 00:00:03.000]  請你一起擁抱聖的話,我們一同禱告
[00:00:03.000 --> 00:00:07.000]  天父上帝,我們向你獻上感謝
[00:00:07.000 --> 00:00:11.000]  很難得我們在一個很重要的節日裡
[00:00:11.000 --> 00:00:16.000]  我們可以有主愛的佳人來主你的典宗
[00:00:16.000 --> 00:00:20.000]  有你主你的話,向主你獻上敬拜
[00:00:20.000 --> 00:00:22.000]  都是一個莫大的福分
[00:00:22.000 --> 00:00:25.000]  讓我們懂得怎樣去珍惜
[00:00:25.000 --> 00:00:31.000]  將你的話語珍而重之地去學習,去認識,去活出
[00:00:31.000 --> 00:00:37.000]  幫助我們能夠看見主耶穌基督是救主
[00:00:37.000 --> 00:00:40.000]  給我們的救恩是一個莫大的福分
[00:00:40.000 --> 00:00:44.000]  幫助我們無論是個人或一個群體
[00:00:44.000 --> 00:00:48.000]  我們能夠更加忠心地去履行主你給我們的使命
[00:00:48.000 --> 00:00:51.000]  我們將以下時間恭敬交上
[00:00:51.000 --> 00:00:57.000]  求你親自向我們說話,觸動我們的心靈,改變我們的生命
[00:00:57.000 --> 00:01:02.000]  聽我們的禱告,奉教耶穌基督,得聖的名字祈求,阿門
[00:01:02.000 --> 00:01:07.000]  新年快樂
[00:01:07.000 --> 00:01:12.000]  這是我們很容易慣常說的祝賀說話
[00:01:12.000 --> 00:01:14.000]  應該聽不少的
[00:01:14.000 --> 00:01:18.000]  因為這一方面是我們心裡面對其他人的祝福
[00:01:18.000 --> 00:01:23.000]  我們實在是想大家新一年更加好,更加快樂
[00:01:23.000 --> 00:01:25.000]  這也是我們的想望
[00:01:25.000 --> 00:01:28.000]  是我們希望新一年比去年好
[00:01:28.000 --> 00:01:32.000]  當我們說到新年快樂的時候
[00:01:32.000 --> 00:01:38.000]  我們也在想,因為我很希望你接下來會比去年好
[00:01:38.000 --> 00:01:43.000]  但是心裡面也在說,其實我本身也不是很好
[00:01:43.000 --> 00:01:46.000]  所以我希望過年新一年比去年好
[00:01:46.000 --> 00:01:51.000]  我希望新年期間會比我平時那段時間好
[00:01:51.000 --> 00:01:56.000]  可能我們也明白,香港作為一個繁忙的都市生活當中
[00:01:56.000 --> 00:01:58.000]  我們有很多忙碌的時間
[00:01:58.000 --> 00:02:00.000]  我們不到過年也不能夠休息
[00:02:00.000 --> 00:02:03.000]  過年真的可以什麼也不用理會
[00:02:03.000 --> 00:02:05.000]  安安靜靜有幾天休息一下
[00:02:05.000 --> 00:02:08.000]  很多工作,就算回家也是要工作的
[00:02:08.000 --> 00:02:10.000]  但是過年我們真的可以放下
[00:02:10.000 --> 00:02:13.000]  有些親戚可能一年才見一次
[00:02:13.000 --> 00:02:15.000]  因為平時太忙太沒空
[00:02:15.000 --> 00:02:17.000]  過年終於可以見一下
[00:02:17.000 --> 00:02:20.000]  很多東西吃,平時也不敢吃
[00:02:20.000 --> 00:02:23.000]  現在放下假期,可以專心吃一下
[00:02:23.000 --> 00:02:28.000]  新年快樂,平時不是很快樂
[00:02:28.000 --> 00:02:30.000]  因為平時沒有這個空間
[00:02:30.000 --> 00:02:36.000]  平時我們不能夠有這個機會讓我們享受一下
[00:02:36.000 --> 00:02:40.000]  所以我們希望起碼新年期間可以快樂
[00:02:40.000 --> 00:02:44.000]  我們也盼望新一年比去年更快樂
[00:02:44.000 --> 00:02:47.000]  新年快樂
[00:02:47.000 --> 00:02:52.000]  我們知道可能是我們自己工作上的壓力真的很不快樂
[00:02:52.000 --> 00:02:54.000]  所以我們希望新一年會好一點
[00:02:54.000 --> 00:02:57.000]  我的工作環境會好一點,我的老闆會對我好一點
[00:02:57.000 --> 00:03:00.000]  我的辦公室少一點政治,沒那麼多事情煩
[00:03:00.000 --> 00:03:02.000]  讓我新年可以快快樂樂
[00:03:02.000 --> 00:03:08.000]  可能也是我們家人患病,長期病患,照顧很辛苦,很大壓力
[00:03:08.000 --> 00:03:10.000]  我也希望他舒服一點,沒那麼痛
[00:03:10.000 --> 00:03:12.000]  我也希望我不用那麼辛苦照顧
[00:03:12.000 --> 00:03:14.000]  或者我自己身體不舒服
[00:03:14.000 --> 00:03:16.000]  我也希望新一年我自己身體健康
[00:03:16.000 --> 00:03:18.000]  讓我新年可以快樂
[00:03:18.000 --> 00:03:21.000]  因為本身我實在不是很快樂
[00:03:21.000 --> 00:03:25.000]  新年快樂,我也希望我們的社會可以沒那麼多事情煩
[00:03:25.000 --> 00:03:27.000]  今年好像沒人訂專
[00:03:27.000 --> 00:03:31.000]  簡單一點,沒那麼多負面的情緒
[00:03:31.000 --> 00:03:34.000]  沒那麼多撕裂,沒那麼多張力,沒那麼多爭執
[00:03:34.000 --> 00:03:36.000]  讓我們安安定定
[00:03:36.000 --> 00:03:38.000]  起碼新年期間我們不用那麼多事情想
[00:03:38.000 --> 00:03:43.000]  我也希望新一年不會有那麼多矛盾
[00:03:43.000 --> 00:03:48.000]  新年想快樂,因為本身不是很快樂
[00:03:48.000 --> 00:03:55.000]  新年快樂,很多人覺得因為本身的生命不是很快樂
[00:03:55.000 --> 00:03:59.000]  所以很盼望所信的神可以給我們快樂
[00:03:59.000 --> 00:04:04.000]  所以你看到那麼多人爭著想投柱香,為了什麼呢?
[00:04:04.000 --> 00:04:09.000]  我們開玩笑地跟弟兄說,應該做一個追蹤調查
[00:04:09.000 --> 00:04:13.000]  看一年一年拿到投柱香的人,他之後幾年會發生什麼事
[00:04:13.000 --> 00:04:15.000]  看看投柱香有沒有幫助
[00:04:15.000 --> 00:04:23.000]  但會不會我們自己心裡其實不論多少都跟拜黃大仙有些相近
[00:04:23.000 --> 00:04:29.000]  我們也希望新的一年神可以讓我更加快樂
[00:04:29.000 --> 00:04:33.000]  讓我沒那麼多壓力,讓我身體健康
[00:04:33.000 --> 00:04:37.000]  本身我們也覺得不是很快樂
[00:04:37.000 --> 00:04:41.000]  所以希望新的一年神可以讓我更加快樂
[00:04:41.000 --> 00:04:46.000]  新年快樂,是不是真的呢?
[00:04:46.000 --> 00:04:49.000]  是不是真的我們的目標呢?
[00:04:49.000 --> 00:04:53.000]  當然我們將我們所想所求向神顯明
[00:04:53.000 --> 00:04:56.000]  向神呈明是很正常也很應該的事情
[00:04:56.000 --> 00:04:59.000]  但是不是就是這樣呢?
[00:04:59.000 --> 00:05:04.000]  作為基督徒,我是不是就是希望神可以讓我更加快樂
[00:05:04.000 --> 00:05:07.000]  這樣是不是就是這麼簡單呢?
[00:05:07.000 --> 00:05:11.000]  如果神給不了我快樂的時候,那神是不是有點不對勁呢?
[00:05:11.000 --> 00:05:14.000]  我信有什麼問題出錯呢?
[00:05:14.000 --> 00:05:22.000]  究竟新年快樂是不是真的應該是我們最想要的呢?
[00:05:22.000 --> 00:05:27.000]  今天容許我在大年初二說一些很不應節的事情
[00:05:27.000 --> 00:05:31.000]  我們從《使徒行傳》裏面思想一下
[00:05:31.000 --> 00:05:36.000]  跟隨耶穌未必是一件快樂的事情
[00:05:36.000 --> 00:05:39.000]  不過是一件值得的事情
[00:05:39.000 --> 00:05:42.000]  可能要付上代價
[00:05:42.000 --> 00:05:47.000]  甚至好像保祿一樣,受著不少的苦
[00:05:47.000 --> 00:05:50.000]  未必是新年快樂
[00:05:50.000 --> 00:05:54.000]  不過是一個很難得的福分
[00:05:54.000 --> 00:05:59.000]  我們回到《使徒行傳》第20章
[00:05:59.000 --> 00:06:03.000]  不經不覺我們來到第20章了
[00:06:03.000 --> 00:06:05.000]  用來重溫一下《使徒行傳》裏面
[00:06:05.000 --> 00:06:09.000]  我們簡單地可以分為不同的地區或者兩個人物
[00:06:09.000 --> 00:06:12.000]  在一個地區裏面就是按照《使徒行傳》第1章8節
