
[00:00:00.000 --> 00:00:01.760]  丁子妹主乃平安
[00:00:01.760 --> 00:00:03.820]  我們再一次禱告
[00:00:03.820 --> 00:00:06.740]  主佛我們感謝祢
[00:00:06.740 --> 00:00:08.740]  藉著詩歌提醒我們
[00:00:08.740 --> 00:00:11.540]  我們需要去相信
[00:00:11.540 --> 00:00:16.040]  相信在神裡面沒有難成就的事
[00:00:16.040 --> 00:00:19.260]  詩歌提醒我們需要去信靠
[00:00:19.260 --> 00:00:21.620]  因為很多時間
[00:00:21.620 --> 00:00:23.620]  當我們在迷惘
[00:00:23.620 --> 00:00:25.400]  在我們憂慮的當中
[00:00:25.400 --> 00:00:27.400]  我們需要去信靠
[00:00:27.480 --> 00:00:31.900]  因為唯有祢是我們穩靠的撈
[00:00:31.900 --> 00:00:36.000]  主佑願意我們在信靠和學習的功課上
[00:00:36.000 --> 00:00:38.000]  不斷地去操練
[00:00:38.000 --> 00:00:41.000]  以上禱告奉主耶穌基督的聖名祈求
[00:00:41.000 --> 00:00:43.000]  阿們
[00:00:43.000 --> 00:00:47.740]  教會講談文素記的系列
[00:00:47.740 --> 00:00:52.740]  今天我們來到文素記第二十二到二十四章
[00:00:52.740 --> 00:00:56.740]  在這三章的經文裡面
[00:00:56.740 --> 00:00:59.240]  有一個很有趣的記載
[00:00:59.240 --> 00:01:04.240]  就是記載在第二十二章二十一到三十一節
[00:01:04.240 --> 00:01:08.740]  就是巴蘭和盧子的記載
[00:01:08.740 --> 00:01:11.740]  我相信在在很多人都曾經聽過讀過
[00:01:11.740 --> 00:01:13.740]  甚至自己講解過
[00:01:13.740 --> 00:01:15.740]  或者我試試大家舉手表示一下
[00:01:15.740 --> 00:01:19.740]  有多少人聽過巴蘭和盧子的記載
[00:01:19.740 --> 00:01:21.740]  舉手看看
[00:01:21.740 --> 00:01:23.740]  那可以不用說了
[00:01:23.740 --> 00:01:26.740]  不論你聽過還是講過還是怎樣
[00:01:26.740 --> 00:01:30.740]  不如我們重溫一下這一段的記載
[00:01:30.740 --> 00:01:32.740]  我特別選了新普及譯本
[00:01:32.740 --> 00:01:35.740]  我會將經文打在銀幕上
[00:01:35.740 --> 00:01:40.740]  第二天早上的時候巴蘭就起身
[00:01:40.740 --> 00:01:46.740]  他準備好爐跟魔壓的官員一齊出發
[00:01:46.740 --> 00:01:50.740]  但是上帝因為巴蘭要出發所以生氣
[00:01:50.740 --> 00:01:55.740]  就派出上帝的使者站在路上去阻他
[00:01:55.740 --> 00:02:00.740]  巴蘭和兩個僕人沿路騎著路繼續走
[00:02:00.740 --> 00:02:05.740]  巴蘭的爐看到上主的天使站在路上
[00:02:05.740 --> 00:02:08.740]  他看到手裡拔了出來的刀
[00:02:08.740 --> 00:02:13.740]  於是爐立刻轉身走去田裡避開他
[00:02:13.740 --> 00:02:17.740]  巴蘭打著爐希望他回到那條路上
[00:02:17.740 --> 00:02:22.740]  上主的天使又站在葡萄園之間的窄路上
[00:02:22.740 --> 00:02:24.740]  兩邊都有圍牆
[00:02:24.740 --> 00:02:30.740]  爐看到上主的天使企圖在很窄的位置逼過去
[00:02:30.740 --> 00:02:34.740]  於是將巴蘭的腳逼到牆上
[00:02:34.740 --> 00:02:37.740]  巴蘭再一次打著爐
[00:02:37.740 --> 00:02:41.740]  上主的天使又走到前面
[00:02:41.740 --> 00:02:44.740]  站在一個很窄很窄的位置
[00:02:44.740 --> 00:02:47.740]  爐根本沒有辦法走過去
[00:02:47.740 --> 00:02:51.740]  這個時候爐看到上主的天使
[00:02:51.740 --> 00:02:54.740]  於是就唯有趴下
[00:02:54.740 --> 00:02:56.740]  巴蘭很生氣
[00:02:56.740 --> 00:02:59.740]  再一次用棍來打著爐
[00:02:59.740 --> 00:03:03.740]  這個時候上主使用的爐可以說話
[00:03:03.740 --> 00:03:05.740]  他就問巴蘭
[00:03:05.740 --> 00:03:07.740]  究竟我做了什麼?
[00:03:07.740 --> 00:03:09.740]  你要打我三次?
[00:03:09.740 --> 00:03:11.740]  巴蘭就大聲說
[00:03:11.740 --> 00:03:14.740]  你作弄我?如果我手裡有一把刀
[00:03:14.740 --> 00:03:16.740]  我會割了你
[00:03:16.740 --> 00:03:18.740]  於是爐就說
[00:03:18.740 --> 00:03:22.740]  但我不是你騎了很久的那隻爐嗎?
