
[00:00:00.000 --> 00:00:02.000]  我們給予掌聲主席耶穌好嗎
[00:00:02.000 --> 00:00:08.300]  我相信最近看報紙我們覺得很奇怪
[00:00:08.300 --> 00:00:10.300]  有人可以被人騙了二千萬
[00:00:10.300 --> 00:00:14.500]  很奇怪 因為這些人並不是蠢人
[00:00:14.500 --> 00:00:17.140]  後來發覺不簡單 騙了二千萬
[00:00:17.140 --> 00:00:19.540]  原來每晚打電話給他 經過凌晨兩點
[00:00:19.540 --> 00:00:23.540]  經過一段很長的時間才騙到二千萬
[00:00:23.540 --> 00:00:27.040]  問題是為何會有二千萬 我的問題是
[00:00:27.180 --> 00:00:30.780]  你每晚跟我談電話看你騙不騙到我二千萬
[00:00:30.780 --> 00:00:33.840]  你騙到我二千萬你有機會 騙不到我二千萬
[00:00:33.840 --> 00:00:35.840]  拉二烏原來可以這麼多錢
[00:00:35.840 --> 00:00:42.440]  很奇怪 為何有人可以被人騙了千多萬
[00:00:42.440 --> 00:00:46.140]  又是電話詐騙 很奇怪
[00:00:46.140 --> 00:00:52.540]  我們這些錢在街邊買那些NGO 賣旗那些
[00:00:52.540 --> 00:00:54.840]  最多拿個五元銀拿出來
[00:00:54.840 --> 00:00:56.840]  但一個電話可以騙到一千萬
[00:00:57.180 --> 00:00:59.640]  二千萬 香港人真的很有錢
[00:00:59.640 --> 00:01:01.640]  我剛剛去完台灣回來
[00:01:01.640 --> 00:01:03.640]  有人給我一個WhatsApp
[00:01:03.640 --> 00:01:05.640]  他說台灣人很厲害 台灣人的智慧
[00:01:05.640 --> 00:01:07.640]  每一年用了十三億
[00:01:07.640 --> 00:01:11.640]  買了些紙 燒了它
[00:01:11.640 --> 00:01:13.640]  那才重要
[00:01:13.640 --> 00:01:15.640]  你聽不明白
[00:01:15.640 --> 00:01:17.640]  十三億買了永通銀行的紙
[00:01:17.640 --> 00:01:19.640]  又燒了它
[00:01:19.640 --> 00:01:22.640]  真的很有錢 十三億
[00:01:22.640 --> 00:01:26.640]  全個台灣一年用了十三億買了些紙燒了它
[00:01:26.640 --> 00:01:28.640]  你看香港人甚麼都是假的
[00:01:28.640 --> 00:01:30.640]  最重要是錢
[00:01:30.640 --> 00:01:32.640]  我昨天去了一間公司
[00:01:32.640 --> 00:01:34.640]  老闆早上五點多
[00:01:34.640 --> 00:01:36.640]  發了個WhatsApp給他
[00:01:36.640 --> 00:01:38.640]  只寫了三個字 英文
[00:01:38.640 --> 00:01:40.640]  Money Money Money
[00:01:40.640 --> 00:01:42.640]  很重要
[00:01:42.640 --> 00:01:44.640]  我們香港人錢是很重要
[00:01:44.640 --> 00:01:46.640]  沒有錢是會死的 很奇怪
[00:01:46.640 --> 00:01:48.640]  你有沒有發覺坐在這男士女士
[00:01:48.640 --> 00:01:50.640]  你問男士借錢容易一點
[00:01:50.640 --> 00:01:52.640]  還是問女士借錢容易一點
[00:01:52.640 --> 00:01:54.640]  知不知道
[00:01:54.640 --> 00:01:56.640]  問男士借錢容易一點
[00:01:56.640 --> 00:01:58.640]  還是問女士借錢容易一點
[00:01:58.640 --> 00:02:00.640]  是問男士借錢容易一點
[00:02:00.640 --> 00:02:02.640]  很奇怪
[00:02:02.640 --> 00:02:04.640]  如果你跟那個男士沒有見了十年
[00:02:04.640 --> 00:02:06.640]  第一次見面
[00:02:06.640 --> 00:02:08.640]  十年沒有見面
[00:02:08.640 --> 00:02:10.640]  一見面 借錢來
[00:02:10.640 --> 00:02:12.640]  江湖救急
[00:02:12.640 --> 00:02:14.640]  他真的會給你的
[00:02:14.640 --> 00:02:16.640]  很快給你的 不問的
[00:02:16.640 --> 00:02:18.640]  男人很怕問的
[00:02:18.640 --> 00:02:20.640]  甚麼事 為甚麼這麼急
[00:02:20.640 --> 00:02:22.640]  借就不要問 問就不要借
[00:02:22.640 --> 00:02:24.640]  你又沒有聲出
[00:02:24.640 --> 00:02:28.640]  遲些還給你
[00:02:28.640 --> 00:02:30.640]  遲些又何時 借又不用
[00:02:30.640 --> 00:02:32.640]  甚麼都不用 拍照又不用
[00:02:32.640 --> 00:02:34.640]  甚麼都沒有證據
[00:02:34.640 --> 00:02:36.640]  男人是這樣 很有趣 男人的錢是被騙的
[00:02:36.640 --> 00:02:38.640]  但女士
[00:02:38.640 --> 00:02:40.640]  你問她借錢 真是難過登天
[00:02:40.640 --> 00:02:42.640]  你不相信
[00:02:42.640 --> 00:02:44.640]  大家這麼熟 借錢來 借多少
[00:02:44.640 --> 00:02:46.640]  三萬元 要來做甚麼
[00:02:46.640 --> 00:02:48.640]  我關心你 要來做甚麼
[00:02:48.640 --> 00:02:50.640]  講了一大餐
[00:02:50.640 --> 00:02:52.640]  我還是不借
[00:02:52.640 --> 00:02:54.640]  她是好奇知道發生甚麼事
[00:02:54.640 --> 00:02:56.640]  但她是不會借給你的
[00:02:56.640 --> 00:02:58.640]  所以女士
[00:02:58.640 --> 00:03:00.640]  錢要來做甚麼 要來買東西
[00:03:00.640 --> 00:03:02.640]  購物的時候
[00:03:02.640 --> 00:03:04.640]  幾千元 幾千元都賣出去
[00:03:04.640 --> 00:03:06.640]  但借錢給你很難
[00:03:06.640 --> 00:03:10.640]  大家看錢的程度
[00:03:10.640 --> 00:03:12.640]  是很不一樣的
[00:03:12.640 --> 00:03:14.640]  但當我們人生裏面遇到一些
[00:03:14.640 --> 00:03:16.640]  很不如意的事 譬如最近
[00:03:16.640 --> 00:03:18.640]  我聽到坐飛機
[00:03:18.640 --> 00:03:20.640]  飛機失了蹤
[00:03:20.640 --> 00:03:22.640]  如果有適合你的朋友
[00:03:22.640 --> 00:03:24.640]  你覺得人生
[00:03:24.640 --> 00:03:26.640]  真是很無常
[00:03:26.640 --> 00:03:28.640]  我們經常說人生
[00:03:28.640 --> 00:03:30.640]  很無常 無法預測
[00:03:30.640 --> 00:03:32.640]  但人生是否真的完全無常
[00:03:32.640 --> 00:03:34.640]  當然不是
[00:03:34.640 --> 00:03:36.640]  人生仍然都有有常
[00:03:36.640 --> 00:03:38.640]  這只是用人生無常
[00:03:38.640 --> 00:03:40.640]  來形容人生是不對的
[00:03:40.640 --> 00:03:42.640]  為甚麼 很簡單
[00:03:42.640 --> 00:03:44.640]  你知不知道 今天有人說
[00:03:44.640 --> 00:03:46.640]  我不相信上帝創造宇宙
[00:03:46.640 --> 00:03:48.640]  好像霍金一樣
[00:03:48.640 --> 00:03:50.640]  宇宙是自然產生的
[00:03:50.640 --> 00:03:52.640]  我告訴你
[00:03:52.640 --> 00:03:54.640]  相信宇宙自然產生的信心
[00:03:54.640 --> 00:03:56.640]  如果你有朋友
[00:03:56.640 --> 00:03:58.640]  我只是相信宇宙是自然產生
[00:03:58.640 --> 00:04:00.640]  你告訴他
[00:04:00.640 --> 00:04:02.640]  你的信心比我大
[00:04:02.640 --> 00:04:04.640]  我相信有上帝創造
[00:04:04.640 --> 00:04:06.640]  我的信心真的不夠你大
[00:04:06.640 --> 00:04:08.640]  你真的比我厲害
[00:04:08.640 --> 00:04:10.640]  你試試問你隔壁的人
[00:04:10.640 --> 00:04:12.640]  你今天有很多機會望他
[00:04:12.640 --> 00:04:14.640]  你望一望你隔壁的人
[00:04:14.640 --> 00:04:16.640]  你問他姓甚麼 他說姓武
[00:04:16.640 --> 00:04:18.640]  很厲害
[00:04:18.640 --> 00:04:20.640]  武功的武 不是
[00:04:20.640 --> 00:04:22.640]  有武的武
[00:04:22.640 --> 00:04:24.640]  你媽姓武 不是
[00:04:24.640 --> 00:04:26.640]  我沒有爸爸媽媽
[00:04:26.640 --> 00:04:28.640]  沒有爸爸媽媽 怎麼可能
[00:04:28.640 --> 00:04:30.640]  如果你真的相信他沒有爸爸媽媽
[00:04:30.640 --> 00:04:32.640]  你的信心會比相信他有爸爸媽媽大
[00:04:32.640 --> 00:04:34.640]  你想清楚一點
[00:04:34.640 --> 00:04:36.640]  沒有爸爸媽媽的人
[00:04:36.640 --> 00:04:38.640]  怎會去見工
[00:04:38.640 --> 00:04:40.640]  哪間公司會聘請你
[00:04:40.640 --> 00:04:42.640]  哪間公司會相信你沒有爸爸媽媽
[00:04:42.640 --> 00:04:44.640]  他自然出現
[00:04:44.640 --> 00:04:46.640]  這個信心很厲害
[00:04:46.640 --> 00:04:48.640]  我媽媽大眼我就在這個世界上
[00:04:48.640 --> 00:04:50.640]  我自然就在這裏
[00:04:50.640 --> 00:04:52.640]  我不知為何會出現 但我自然就在這裏
[00:04:52.640 --> 00:04:54.640]  我在這裏就在這裏
[00:04:54.640 --> 00:04:56.640]  我沒有爸爸媽媽 你相信他
[00:04:56.640 --> 00:04:58.640]  你才奇怪
[00:04:58.640 --> 00:05:00.640]  你開始覺得這個人不知為何會走出來
[00:05:00.640 --> 00:05:02.640]  在某個地方
[00:05:02.640 --> 00:05:04.640]  即是精神病院
[00:05:04.640 --> 00:05:06.640]  他沒有爸爸媽媽
[00:05:06.640 --> 00:05:08.640]  你信不信一個人沒有爸爸媽媽
[00:05:08.640 --> 00:05:10.640]  你相信他沒有爸爸媽媽
[00:05:10.640 --> 00:05:12.640]  出現在你面前
[00:05:12.640 --> 00:05:14.640]  你的信心會比相信他有爸爸媽媽大
[00:05:14.640 --> 00:05:16.640]  你相信這個宇宙
[00:05:16.640 --> 00:05:18.640]  是自然出現
[00:05:18.640 --> 00:05:20.640]  你的信心會比有智慧的上帝
[00:05:20.640 --> 00:05:22.640]  創造這個宇宙大
[00:05:22.640 --> 00:05:24.640]  想清楚
[00:05:24.640 --> 00:05:26.640]  最近我們發現了一個星體
[00:05:26.640 --> 00:05:28.640]  好像地球一樣
[00:05:28.640 --> 00:05:30.640]  但以光速飛過要1400年
[00:05:30.640 --> 00:05:32.640]  你上太空船
[00:05:32.640 --> 00:05:34.640]  那一天 死那一天都未到
[00:05:34.640 --> 00:05:38.640]  1400年
[00:05:38.640 --> 00:05:40.640]  光年
[00:05:40.640 --> 00:05:42.640]  以光速飛人都要飛1400年
[00:05:42.640 --> 00:05:44.640]  你有沒有1400歲
[00:05:44.640 --> 00:05:46.640]  當然沒有
[00:05:46.640 --> 00:05:48.640]  上去都死了
[00:05:48.640 --> 00:05:50.640]  未到已經死了 死幾世都未到
[00:05:50.640 --> 00:05:52.640]  最近
[00:05:52.640 --> 00:05:54.640]  冥王星就被掟出了
[00:05:54.640 --> 00:05:56.640]  九大行星的冥王星
[00:05:56.640 --> 00:05:58.640]  然後發封圖回到地球
[00:05:58.640 --> 00:06:00.640]  要七個月
[00:06:00.640 --> 00:06:02.640]  七個月 你收到的圖是七個月前發下來的
[00:06:02.640 --> 00:06:04.640]  厲不厲害
[00:06:04.640 --> 00:06:06.640]  你試一下發個whatsapp給那個人
[00:06:06.640 --> 00:06:08.640]  你收到的 你是不是覺得很離奇
[00:06:08.640 --> 00:06:10.640]  你等不及 七分鐘他不回覆
[00:06:10.640 --> 00:06:12.640]  都說你死了 為什麼不回覆我
[00:06:12.640 --> 00:06:14.640]  七分鐘他還不回覆我
[00:06:14.640 --> 00:06:16.640]  兩個藍蝶想怎樣
[00:06:16.640 --> 00:06:20.640]  真的很恐怖 現在沒有私隱
[00:06:20.640 --> 00:06:22.640]  兩個藍蝶還是幾點
[00:06:22.640 --> 00:06:24.640]  之前看到的
[00:06:24.640 --> 00:06:26.640]  是不能走的
[00:06:26.640 --> 00:06:28.640]  現在的男士真的很可憐
[00:06:28.640 --> 00:06:30.640]  你看了 兩個藍蝶
[00:06:30.640 --> 00:06:32.640]  幾點前看到的 你沒有回覆我
[00:06:32.640 --> 00:06:34.640]  你有沒有搞錯
[00:06:34.640 --> 00:06:36.640]  證據作割作
[00:06:36.640 --> 00:06:38.640]  所以男士一開始就不用whatsapp
[00:06:38.640 --> 00:06:42.640]  改第二個
[00:06:42.640 --> 00:06:44.640]  因為立法會用whatsapp被人發現了很多東西
[00:06:44.640 --> 00:06:46.640]  所以不用了
[00:06:46.640 --> 00:06:48.640]  發封圖七個月
[00:06:48.640 --> 00:06:50.640]  你再回覆上去冥王星又七個月
[00:06:50.640 --> 00:06:52.640]  你想一下宇宙有多恐怖
[00:06:52.640 --> 00:06:54.640]  在我們九大行星裡面
