
[00:00:00.000 --> 00:00:10.000]  我愛你愛你愛你愛你愛你愛你愛你愛你愛你愛你愛你愛你
[00:00:23.000 --> 00:00:30.000]  我發過雙雙的一對手 但失魂的永遠在背後
[00:00:30.000 --> 00:00:35.000]  縱使囉嗦始終關注不同真心靠內疚
[00:00:35.000 --> 00:00:42.000]  從罪與憂加多不贊上 無親的愛逃避被退讓
[00:00:42.000 --> 00:00:47.000]  沮喪心愛心中掙扎 殘忍中可報答
[00:00:47.000 --> 00:00:55.000]  呼風喚雨淚和聲聲 一生舊戀的歡欣
[00:00:55.000 --> 00:01:01.000]  時代未到你知道我 有天解放的前路
[00:01:01.000 --> 00:01:07.000]  聽眾我 年老可以放棄
[00:01:07.000 --> 00:01:14.000]  我化解寂靜苦痛的身因 去歡大自無憾
[00:01:14.000 --> 00:01:19.000]  無聲無息地等你來自
[00:01:19.000 --> 00:01:38.000]  我發過雙雙的一對手 但失魂的永遠在背後
[00:01:38.000 --> 00:01:43.000]  縱使囉嗦始終關注不同真心靠內疚
[00:01:43.000 --> 00:01:50.000]  仍記起溫馨的一對手 始終給我照顧未變樣
[00:01:50.000 --> 00:01:55.000]  理想今天終於等到 分享光輝盼做到
[00:01:55.000 --> 00:01:59.000]  沮喪心愛心中掙扎 殘忍中可報答
[00:01:59.000 --> 00:02:03.000]  呼風喚雨淚和聲聲 一生舊戀的歡欣
[00:02:03.000 --> 00:02:10.000]  時代未到你知道我 有天解放的前路
[00:02:10.000 --> 00:02:15.000]  聽眾我 年老可以放棄
[00:02:15.000 --> 00:02:22.000]  我化解寂靜苦痛的身因 去歡大自無憾
[00:02:22.000 --> 00:02:29.000]  無聲無息地等你來自
[00:02:41.000 --> 00:02:48.000]  每次聽回這首歌 都深深感受歌者對母愛的讚譽
[00:02:48.000 --> 00:02:52.000]  這首歌提到媽媽有一對手
[00:02:52.000 --> 00:02:58.000]  我經常感覺到 歌者好像說到媽媽在外面工作很辛苦
[00:02:58.000 --> 00:03:02.000]  回到家 很多家務 很多事情需要做
[00:03:02.000 --> 00:03:07.000]  從小照顧她 照顧到大 病的時候悉心照顧她
[00:03:07.000 --> 00:03:12.000]  可能由媽媽小時候 摸上去很嫩滑的一對手
[00:03:12.000 --> 00:03:16.000]  慢慢慢慢 當她成長的時候 慢慢手開始粗糙
[00:03:16.000 --> 00:03:20.000]  摸上去有些癢 不舒服
[00:03:20.000 --> 00:03:26.000]  當時沒有我們現代的神仙水 S-something
[00:03:26.000 --> 00:03:30.000]  沒辦法好好的修飾
[00:03:30.000 --> 00:03:35.000]  所以她說這隻手沒辦法修飾回皮光肉滑
[00:03:35.000 --> 00:03:43.000]  不過她說這種粗糙 看上去很不漂亮的外表
[00:03:43.000 --> 00:03:50.000]  是代表了媽媽那份無私的愛 負想 和犧牲
[00:03:50.000 --> 00:03:56.000]  但是她來到這一刻 當她一路一路長大
[00:03:56.000 --> 00:04:00.000]  她說她心裏有種遺憾和內疚
[00:04:00.000 --> 00:04:05.000]  就是當她年輕 或者輕狂歲月的時候
[00:04:05.000 --> 00:04:08.000]  她不懂得珍惜 不懂得感恩
[00:04:08.000 --> 00:04:10.000]  我想很多人都有這種感覺
[00:04:10.000 --> 00:04:15.000]  覺得媽媽很囉嗦 很麻煩 什麼都說 什麼都吵
[00:04:15.000 --> 00:04:20.000]  她說無論我的反應如何 媽媽從來沒有放棄
[00:04:20.000 --> 00:04:25.000]  她不斷鼓勵 關懷 和照顧
[00:04:25.000 --> 00:04:31.000]  到了這位歌手她長大了
[00:04:31.000 --> 00:04:35.000]  她開始明白媽媽心裏那份愛的時候
[00:04:35.000 --> 00:04:39.000]  她說她不知如何來報答媽媽
[00:04:39.000 --> 00:04:44.000]  於是她說 不如我向媽媽發出一個請求
[00:04:44.000 --> 00:04:48.000]  媽媽請你准我和你講一句
[00:04:48.000 --> 00:04:51.000]  真的愛你
[00:04:51.000 --> 00:04:55.000]  如果今年你的子女突然在母親節早上起床
[00:04:55.000 --> 00:04:57.000]  看到你媽媽拿著你的手說
[00:04:57.000 --> 00:04:59.000]  媽媽真的愛你
[00:04:59.000 --> 00:05:03.000]  你還會這樣嗎?
[00:05:03.000 --> 00:05:08.000]  有一個年輕人 他很不喜歡他爸爸
[00:05:08.000 --> 00:05:10.000]  因為他覺得他爸爸經常打他媽媽
[00:05:10.000 --> 00:05:13.000]  也為家庭帶來很多問題
[00:05:13.000 --> 00:05:19.000]  他更加好像他爸爸媽媽都有信仰
[00:05:19.000 --> 00:05:22.000]  於是他很討厭基督教
[00:05:22.000 --> 00:05:24.000]  他很不喜歡耶穌基督
[00:05:24.000 --> 00:05:26.000]  直到他上大學的時候
[00:05:26.000 --> 00:05:30.000]  他在大學裏面見到大約十個人和很多人很不同
[00:05:30.000 --> 00:05:33.000]  八個是學生 兩個是教授
[00:05:33.000 --> 00:05:36.000]  於是他忍不住問其中一個女生
[00:05:36.000 --> 00:05:38.000]  為什麼你這麼奇怪
[00:05:38.000 --> 00:05:41.000]  看來和其他很多人很不同
[00:05:41.000 --> 00:05:43.000]  這個女生說因為耶穌基督
[00:05:43.000 --> 00:05:47.000]  傻的 別跟我說這些 別提這個名字
[00:05:47.000 --> 00:05:51.000]  她說在我的生命裏這件事是完全沒有意思的
[00:05:51.000 --> 00:05:54.000]  但他又覺得這群人很吸引他
[00:05:54.000 --> 00:05:56.000]  覺得這群人真的很特別
[00:05:56.000 --> 00:05:58.000]  於是他就跟神說
[00:05:58.000 --> 00:06:00.000]  神如果你真是神 你改變我
[00:06:00.000 --> 00:06:01.000]  其實他是一個挑戰
[00:06:01.000 --> 00:06:03.000]  不過他的奇緣沒有改變
[00:06:03.000 --> 00:06:05.000]  我一樣是這麼討厭基督教
[00:06:05.000 --> 00:06:09.000]  一樣是看不順眼教會裏面的東西
[00:06:09.000 --> 00:06:11.000]  過了一段時間之後他就撞車
[00:06:11.000 --> 00:06:14.000]  躺在醫院裏面
[00:06:14.000 --> 00:06:16.000]  他說當他躺在醫院一段時間
[00:06:16.000 --> 00:06:17.000]  他睜開眼睛的時候
[00:06:17.000 --> 00:06:19.000]  他看到爸爸的臉在他前面
[00:06:19.000 --> 00:06:22.000]  爸爸可能剛好看著他
[00:06:22.000 --> 00:06:23.000]  他看到爸爸的臉的時候
[00:06:23.000 --> 00:06:25.000]  突然間他說了一句話
[00:06:25.000 --> 00:06:28.000]  他說爸爸我愛你
[00:06:28.000 --> 00:06:29.000]  他說完之後他突然間問
[00:06:29.000 --> 00:06:32.000]  這個不是我 我很恨我爸爸
[00:06:32.000 --> 00:06:34.000]  為什麼我說我愛他
[00:06:34.000 --> 00:06:36.000]  他爸爸也呆了
[00:06:36.000 --> 00:06:38.000]  看著他 因為兒子從來不跟他說這些話
[00:06:38.000 --> 00:06:39.000]  關係很差
[00:06:39.000 --> 00:06:41.000]  他爸爸看了他一會之後
[00:06:41.000 --> 00:06:44.000]  他說兒子我也愛你
[00:06:44.000 --> 00:06:48.000]  從此之後這兩父子的關係就重建
[00:06:48.000 --> 00:06:56.000]  這個人就說神是這樣改變了他
[00:06:56.000 --> 00:07:00.000]  這個人後來花了他一生裏面
[00:07:00.000 --> 00:07:03.000]  寫了一本書叫《鐵證代判》
[00:07:03.000 --> 00:07:07.000]  就是很想告訴別人這位神是真的
[00:07:07.000 --> 00:07:09.000]  大家有機會可以看看那本書
[00:07:09.000 --> 00:07:11.000]  應該是上個星期
[00:07:11.000 --> 00:07:14.000]  他剛好在我們英文課裏面講到
[00:07:14.000 --> 00:07:15.000]  按照教會年曆
[00:07:15.000 --> 00:07:18.000]  今年的三月一日是大齋期的第一日
[00:07:18.000 --> 00:07:20.000]  所以今天我們計算一下
[00:07:20.000 --> 00:07:22.000]  應該還有十二日
[00:07:22.000 --> 00:07:24.000]  大齋期一共有四十日
[00:07:24.000 --> 00:07:26.000]  由復活節前向前倒數
[00:07:26.000 --> 00:07:27.000]  不過不計主日
[00:07:27.000 --> 00:07:31.000]  所以每年的大齋期第一日都是星期三
[00:07:31.000 --> 00:07:32.000]  在教會傳統裏面
[00:07:32.000 --> 00:07:37.000]  在這個日期特別很想鼓勵信主的弟兄姊妹
[00:07:37.000 --> 00:07:41.000]  默想基督的受苦和他的受死
[00:07:41.000 --> 00:07:46.000]  也鼓勵我們在大齋期裏面多做反省的功夫
[00:07:46.000 --> 00:07:48.000]  看看在我的生命裏面
[00:07:48.000 --> 00:07:50.000]  在過去這一年當中
[00:07:50.000 --> 00:07:52.000]  有沒有一些事情我做了
[00:07:52.000 --> 00:07:54.000]  神很不喜歡的
[00:07:54.000 --> 00:07:56.000]  沒錯,我可能有在祂面前認罪悔改
[00:07:56.000 --> 00:07:57.000]  不過可能在這一年裏面
[00:07:57.000 --> 00:07:59.000]  我重複重複地
[00:07:59.000 --> 00:08:01.000]  都是在做那些事情
[00:08:01.000 --> 00:08:03.000]  然後去到神面前認罪悔改
[00:08:03.000 --> 00:08:06.000]  在這段時間我們要好好思量
[00:08:06.000 --> 00:08:08.000]  如果可以的話可以禁食
[00:08:08.000 --> 00:08:10.000]  不過在香港禁食是很困難的
[00:08:10.000 --> 00:08:12.000]  猛禁食是很容易的
[00:08:12.000 --> 00:08:14.000]  有一次我跟自己說
[00:08:14.000 --> 00:08:18.000]  Andy不如今天下午禁食
[00:08:18.000 --> 00:08:20.000]  昨晚決定第二天早上禁食
[00:08:20.000 --> 00:08:23.000]  不知為何去到十一點就覺得肚子咕咕聲
[00:08:23.000 --> 00:08:24.000]  平時不會
[00:08:24.000 --> 00:08:26.000]  可能是心理原因
[00:08:26.000 --> 00:08:27.000]  想著一會兒沒得吃
[00:08:27.000 --> 00:08:28.000]  所以覺得很肚餓
[00:08:28.000 --> 00:08:29.000]  於是要去吃
[00:08:29.000 --> 00:08:33.000]  他教我們提醒我們好好地禱告
[00:08:33.000 --> 00:08:35.000]  再一次將我們的生命奉獻給神
[00:08:35.000 --> 00:08:38.000]  預備迎接復活節的來臨
[00:08:38.000 --> 00:08:40.000]  所以大齋祈提醒我們
[00:08:40.000 --> 00:08:43.000]  我們將舊有的不合神心意的事情
[00:08:43.000 --> 00:08:44.000]  全部扔掉
[00:08:44.000 --> 00:08:47.000]  好像我們農曆新年的大掃除一樣
