
[00:00:00.000 --> 00:00:04.340]  你怎會明白我剛剛來華僑教會
[00:00:04.340 --> 00:00:06.920]  跟大家一齊敬拜神
[00:00:06.920 --> 00:00:11.720]  我進來坐下就看下電視
[00:00:11.720 --> 00:00:15.220]  出現了四句說話
[00:00:15.220 --> 00:00:19.560]  我不知道是不是代表華僑教會的
[00:00:19.560 --> 00:00:23.840]  今年的主題或者是使命宣言
[00:00:23.840 --> 00:00:28.520]  四句說話都是「愛」字開頭的
[00:00:28.520 --> 00:00:34.320]  「愛主」是 第一 要愛慕主的道
[00:00:34.320 --> 00:00:37.600]  要遵行主的道
[00:00:37.600 --> 00:00:41.120]  要傳揚主的道
[00:00:41.120 --> 00:00:44.760]  非常之無話 五四句說話
[00:00:44.760 --> 00:00:47.920]  我相信你們打得出來
[00:00:47.920 --> 00:00:51.160]  伶傳道又會催谷大家
[00:00:51.160 --> 00:00:55.000]  應該大家都做到這四樣的 對嗎
[00:00:55.000 --> 00:00:59.560]  我不用為你們打出來 每個星期都會見到
[00:00:59.560 --> 00:01:04.280]  因為這些說話應該刻在我們的心裡面
[00:01:04.280 --> 00:01:08.400]  你既然是華僑教會的一個成員
[00:01:08.400 --> 00:01:10.480]  你是這裡的頂子們
[00:01:10.480 --> 00:01:13.840]  那應該努力去行
[00:01:13.840 --> 00:01:18.480]  沒有人說完全做完的 騙人的
[00:01:18.480 --> 00:01:22.720]  努力當中有進步空間的
[00:01:22.720 --> 00:01:25.880]  我們香港人最喜歡說有進步空間
[00:01:25.880 --> 00:01:28.480]  我愛主不夠 愛主多一點
[00:01:28.480 --> 00:01:32.040]  我讀聖經不夠 愛慕多一點
[00:01:32.040 --> 00:01:35.160]  我不懂得行主的道 行多一點
[00:01:35.160 --> 00:01:37.160]  切實去遵守
[00:01:37.160 --> 00:01:41.080]  我沒有去傳風音 我沒有傳主的道
[00:01:41.080 --> 00:01:43.320]  快快去傳
[00:01:43.320 --> 00:01:45.400]  所以求神幫助我們
[00:01:45.400 --> 00:01:48.040]  讓我們作為一間教會
[00:01:48.040 --> 00:01:53.200]  我們要成為一間土神喜悅的教會
[00:01:53.200 --> 00:01:57.720]  我不知道你們自己為教會祈禱的時候
[00:01:57.720 --> 00:01:59.320]  有沒有求神
[00:01:59.320 --> 00:02:02.400]  神我求你祝福華僑教會
[00:02:02.400 --> 00:02:05.000]  求你幫助華僑教會
[00:02:05.000 --> 00:02:07.800]  求你叫我自己更努力
[00:02:07.800 --> 00:02:14.360]  讓這間教會成為一間土神喜悅的教會
[00:02:14.360 --> 00:02:19.480]  我自己先做一個土神喜悅的信徒
[00:02:19.480 --> 00:02:21.880]  然後我們聯合在一起
[00:02:21.880 --> 00:02:26.280]  就可以成為一間土神喜悅的教會
[00:02:26.280 --> 00:02:28.960]  今天我選了啟示錄
[00:02:28.960 --> 00:02:32.240]  寫給七間教會的信
[00:02:32.240 --> 00:02:35.160]  其中的一封
[00:02:35.160 --> 00:02:37.880]  由於我和大家不是很熟
[00:02:37.880 --> 00:02:40.080]  我不知道大家熟不熟
[00:02:40.080 --> 00:02:42.240]  我七封信
[00:02:42.240 --> 00:02:45.200]  大家都知道啟示錄的開頭
[00:02:45.200 --> 00:02:47.680]  第二和第三章
[00:02:47.680 --> 00:02:49.680]  這兩章聖經裡面
[00:02:49.680 --> 00:02:52.960]  就出現了七間教會
[00:02:52.960 --> 00:02:55.040]  是神自己
[00:02:55.040 --> 00:02:57.440]  耶穌自己 主自己
[00:02:57.440 --> 00:03:00.640]  寫信給這七間教會
[00:03:00.640 --> 00:03:05.080]  這七間教會都在土耳其的地方
[00:03:05.080 --> 00:03:09.200]  有些人會去土耳其
[00:03:09.200 --> 00:03:13.400]  有些基督教的團體帶著
[00:03:13.400 --> 00:03:16.400]  去所謂七教會之旅
[00:03:16.400 --> 00:03:20.080]  使徒保樂的宣教行程
[00:03:20.080 --> 00:03:22.800]  很可惜我去過以色列幾次
[00:03:22.800 --> 00:03:27.000]  但是我還沒有去過使徒行程
[00:03:27.000 --> 00:03:30.160]  我們教會有些弟子會去過
[00:03:30.160 --> 00:03:32.400]  回來就很興奮地告訴我
[00:03:32.400 --> 00:03:34.360]  喂 牧師你要去一下
