
[00:00:00.000 --> 00:00:03.960]  正所謂為人父母甚艱難
[00:00:03.960 --> 00:00:09.580]  在座當中,作為父母,我不知道你有沒有這個體會
[00:00:09.580 --> 00:00:19.660]  上個月是母親節,適逢防疫措施,就叫做稍為放寬
[00:00:19.660 --> 00:00:26.020]  我不知道在座當中的弟兄姊妹,你們有沒有機會跟你們家裡的媽媽
[00:00:26.020 --> 00:00:34.440]  去吃頓飯,又或者用其他的方式去表達你的謝意
[00:00:34.440 --> 00:00:38.640]  明天就輪到父親節了
[00:00:38.640 --> 00:00:43.620]  其實爸爸的角色都很重要
[00:00:43.620 --> 00:00:53.920]  一年一次這麼多,多謝我們身邊的爸爸,給他們一點掌聲
[00:00:53.920 --> 00:00:57.620]  其實都不是很多個
[00:00:57.620 --> 00:01:09.800]  其實這個都是一個很重要的機會去表達我們對爸爸那種的心意
[00:01:09.800 --> 00:01:19.000]  爸爸在孩子的心裡面,究竟那個角色到底是怎樣的呢
[00:01:19.000 --> 00:01:24.120]  有一班的植物學家,有一次去到阿爾卑斯山
[00:01:24.120 --> 00:01:35.040]  他們想找一種比較稀有品種的花,拿回去實驗室做研究
[00:01:35.040 --> 00:01:38.840]  經過一番勞苦,找到了
[00:01:38.840 --> 00:01:45.640]  不過在一個懸崖對落的地方,在一個大石頭上面
[00:01:45.640 --> 00:01:53.680]  那個位置很險要,只可以用繩垂降下去
[00:01:53.680 --> 00:01:58.840]  然後才可以摘到那個花的樣本回來
[00:01:58.840 --> 00:02:04.680]  植物學家就是植物學家,不是攀山專家
[00:02:04.680 --> 00:02:08.520]  所以對於他們來說,真的有點難度
[00:02:08.520 --> 00:02:13.700]  第一,爬不下去,好像沒什麼可能
[00:02:13.700 --> 00:02:17.260]  就算強行爬下去,似乎也太危險了
[00:02:17.260 --> 00:02:19.140]  那怎麼辦呢
[00:02:19.140 --> 00:02:22.980]  他們就發現,可以找當地人
[00:02:22.980 --> 00:02:30.700]  特別在那裡放羊的牧童,新手敏捷一點,年輕人
[00:02:30.700 --> 00:02:36.240]  看看可不可以幫幫他們,就將這朵花摘下來
