
[00:00:00.000 --> 00:00:04.600]  首先在這裡很感謝浸聯會的邀請
[00:00:04.600 --> 00:00:09.400]  而我今天晚上和大家一起分享一個很重要的題目
[00:00:09.400 --> 00:00:18.800]  我們一個宗教改革以來仍要跟隨基督的群體這個題目
[00:00:18.800 --> 00:00:23.600]  能夠一家人一年三晚聚首一堂
[00:00:23.600 --> 00:00:26.000]  促膝談心
[00:00:26.000 --> 00:00:33.200]  談論浸信會自從這個宗教改革運動之後所發展的歷史
[00:00:33.200 --> 00:00:36.000]  並且我們會讀一些經文
[00:00:36.000 --> 00:00:40.800]  在過往的聖經閱讀的亮光底下
[00:00:40.800 --> 00:00:43.400]  我們看看我們過往的歷史
[00:00:43.400 --> 00:00:48.200]  亦由我們的得救重新的經驗
[00:00:48.200 --> 00:00:52.800]  我們又重新去領受經文的意思
[00:00:52.800 --> 00:00:58.400]  這是一個很好的機會是神給我們的恩惠
[00:00:58.400 --> 00:01:06.000]  一方面我們要慶祝宗教改革運動五百週年這個紀念
[00:01:06.000 --> 00:01:13.000]  另一方面我們慶祝我們浸信教會在這個運動生出來
[00:01:13.000 --> 00:01:18.000]  我們走過的路已經有四百多年的時間
[00:01:18.000 --> 00:01:23.200]  這三天晚上的訊息是一個整體的訊息
[00:01:23.200 --> 00:01:25.600]  一個整體的思考
[00:01:25.600 --> 00:01:28.200]  一個整體的領受
[00:01:28.200 --> 00:01:36.200]  一方面我們會從浸信會教會在這個宗教改革運動而出生
[00:01:36.200 --> 00:01:38.000]  我們去思想
[00:01:38.000 --> 00:01:40.800]  但另一方面我們又發覺
[00:01:40.800 --> 00:01:43.200]  我們的身份
[00:01:43.200 --> 00:01:45.200]  我們的特點
[00:01:45.200 --> 00:01:47.000]  我們的實踐
[00:01:47.000 --> 00:01:52.200]  亦和宗教改革運動有不同的地方
[00:01:52.200 --> 00:01:56.600]  所以第一晚今晚我們比較多講到
[00:01:56.600 --> 00:02:01.800]  浸信教會和宗教改革運動很多共通的地方
[00:02:01.800 --> 00:02:04.800]  當然我們都會提及一些不同的地方
[00:02:04.800 --> 00:02:07.800]  最主要我們講共通的地方
[00:02:07.800 --> 00:02:10.800]  但在第二晚第三晚
[00:02:10.800 --> 00:02:14.000]  你發覺如果你繼續在這裡聽的時候
[00:02:14.000 --> 00:02:18.600]  你發覺我們沒錯我們是出自於宗教改革運動
[00:02:18.600 --> 00:02:21.800]  但我們是有很多不同的地方
[00:02:21.800 --> 00:02:24.600]  我們在宗教改革方面
[00:02:24.600 --> 00:02:26.800]  我們是更加激烈的
[00:02:26.800 --> 00:02:29.600]  是更加的透徹
[00:02:29.600 --> 00:02:33.200]  這個是第一方面想和大家去交代的
[00:02:33.200 --> 00:02:36.800]  第二方面我想交代一下我們的題目
[00:02:36.800 --> 00:02:39.800]  我們的題目是講我們
[00:02:39.800 --> 00:02:42.000]  我們是什麼意思呢
