
[00:00:00.000 --> 00:00:02.000]  鄧小平 早安
[00:00:02.000 --> 00:00:03.000]  很歡喜快樂
[00:00:03.000 --> 00:00:08.000]  今天早上崇拜當中和大家分享整個華語
[00:00:08.000 --> 00:00:11.000]  不知道今個星期你過得怎麼樣呢?
[00:00:11.000 --> 00:00:12.000]  4月1日是什麼日子呢?
[00:00:12.000 --> 00:00:15.000]  4月1日是Freedom Day
[00:00:15.000 --> 00:00:19.000]  Freedom Day如果看報紙看到的話
[00:00:19.000 --> 00:00:24.000]  有些新聞看到有些人在10月10日倒數
[00:00:24.000 --> 00:00:27.000]  Countdown去到10月11日
[00:00:27.000 --> 00:00:31.000]  然後就可以進入酒吧 歡迎歡懷暢飲
[00:00:31.000 --> 00:00:35.000]  有些人去做健身
[00:00:35.000 --> 00:00:38.000]  有些人和大家一樣
[00:00:38.000 --> 00:00:39.000]  很想去剪髮
[00:00:39.000 --> 00:00:41.000]  不知道Freedom Day對於你來說
[00:00:41.000 --> 00:00:43.000]  你過得怎麼樣呢?
[00:00:43.000 --> 00:00:46.000]  你最興奮最期待做的是什麼呢?
[00:00:46.000 --> 00:00:48.000]  怕不怕有機會實體見面的時候
[00:00:48.000 --> 00:00:49.000]  都能夠清楚
[00:00:49.000 --> 00:00:54.000]  對於我來說Freedom Day最開心最興奮的事情是什麼呢?
[00:00:54.000 --> 00:01:00.000]  就是我們一班教務同工能夠走在一起
[00:01:00.000 --> 00:01:02.000]  無論是廣東話的教務同工
[00:01:02.000 --> 00:01:04.000]  英語的教務同工
[00:01:04.000 --> 00:01:09.000]  和粵語的教務同工都能夠走在一起開會
[00:01:09.000 --> 00:01:11.000]  對於我來說
[00:01:11.000 --> 00:01:16.000]  我形容是2D變成3D的感覺
[00:01:16.000 --> 00:01:20.000]  過往我以為大家坐在那裏開會
[00:01:20.000 --> 00:01:21.000]  在視像那裏
[00:01:21.000 --> 00:01:25.000]  2D在2D的平面
[00:01:25.000 --> 00:01:27.000]  即是2D的平面裏
[00:01:27.000 --> 00:01:31.000]  你評估究竟這個同工身材是怎樣
[00:01:31.000 --> 00:01:33.000]  氣場是怎樣
[00:01:33.000 --> 00:01:35.000]  我以為大家和我差不多
[00:01:35.000 --> 00:01:37.000]  都是彩圖那麽高那麽大
[00:01:37.000 --> 00:01:41.000]  原來當我見到各位同工的時候
[00:01:41.000 --> 00:01:43.000]  嘩!很轟動
[00:01:43.000 --> 00:01:44.000]  譬如最impress我
[00:01:44.000 --> 00:01:46.000]  最令我深刻印象就是
[00:01:46.000 --> 00:01:48.000]  原來你木屍都幾高
[00:01:48.000 --> 00:01:50.000]  原來Pastor John都很高
[00:01:50.000 --> 00:01:52.000]  他都很大隻
[00:01:52.000 --> 00:01:54.000]  原來和他相處的時候
[00:01:54.000 --> 00:01:56.000]  大家都是很kind
