
[00:00:00.000 --> 00:00:03.920]  今天又要繼續我們《針研》的系列
[00:00:03.920 --> 00:00:06.040]  今天會講第七講
[00:00:06.040 --> 00:00:08.040]  是謙卑的智慧
[00:00:08.040 --> 00:00:10.760]  謙卑的相反就是驕傲
[00:00:10.760 --> 00:00:13.360]  我們每一個人都是一個驕傲的人
[00:00:13.360 --> 00:00:15.360]  我們每一個人都是罪人
[00:00:15.360 --> 00:00:18.680]  所以這篇道是給所有的人聽
[00:00:18.680 --> 00:00:20.680]  包括我自己
[00:00:20.680 --> 00:00:23.920]  有很多人認為他們自己是因為他們的財富
[00:00:23.920 --> 00:00:24.920]  他們的地位
[00:00:24.920 --> 00:00:26.680]  他們的知識
[00:00:26.680 --> 00:00:29.600]  都是值得驕傲
[00:00:29.600 --> 00:00:31.600]  是高人一等
[00:00:31.600 --> 00:00:34.880]  有一個小型的飛機飛了上天
[00:00:34.880 --> 00:00:37.920]  裡面載了三個乘客
[00:00:37.920 --> 00:00:39.720]  一個是童子軍
[00:00:39.720 --> 00:00:42.720]  一個是電腦專家
[00:00:42.720 --> 00:00:44.720]  另外一個是牧師
[00:00:44.720 --> 00:00:46.200]  飛到一半的時候
[00:00:46.200 --> 00:00:48.400]  突然間他們聽見這個引擎
[00:00:48.400 --> 00:00:50.400]  喀喀兩聲就停了
[00:00:50.400 --> 00:00:53.800]  接著那個飛機師就走出來說
[00:00:53.800 --> 00:00:55.560]  他說很對不起
[00:00:55.560 --> 00:00:58.920]  我這架飛機的引擎已經壞了
[00:00:58.920 --> 00:01:01.720]  這架飛機馬上就會墮山
[00:01:01.720 --> 00:01:02.840]  他說很可惜
[00:01:02.840 --> 00:01:05.920]  這架飛機上只有三個降落傘
[00:01:05.920 --> 00:01:07.640]  但我們有四個人
[00:01:07.640 --> 00:01:10.560]  他說因為我兒子老婆亂
[00:01:10.560 --> 00:01:13.240]  我有三個子女等著我去養
[00:01:13.240 --> 00:01:16.640]  所以他說我一定要拿一個降落傘
[00:01:16.640 --> 00:01:19.360]  所以他搶了一個降落傘
[00:01:19.360 --> 00:01:21.360]  就跳了出去飛機
[00:01:21.360 --> 00:01:25.280]  剩下來的電腦專家
[00:01:25.280 --> 00:01:28.400]  都不等到其餘兩個人說話
[00:01:28.400 --> 00:01:29.600]  他立刻說
[00:01:29.600 --> 00:01:32.160]  他說我是世界上最聰明的人
[00:01:32.160 --> 00:01:35.560]  他說我的智商是超過200的
[00:01:35.560 --> 00:01:37.760]  這個世界很需要我這種人
[00:01:37.760 --> 00:01:39.080]  沒有我不行的
[00:01:39.080 --> 00:01:43.280]  所以我是配受到第二個降落傘
[00:01:43.280 --> 00:01:47.640]  於是他又抱著一個跳了出去飛機
[00:01:47.640 --> 00:01:52.320]  剩下來的牧師和童子軍
[00:01:52.320 --> 00:01:54.560]  你看看我 我看看你
[00:01:54.560 --> 00:01:56.560]  那個牧師和童子軍說
[00:01:56.560 --> 00:01:58.400]  他說你年紀還小
[00:01:58.400 --> 00:02:00.880]  他說我已經活了大半輩子了
[00:02:00.880 --> 00:02:04.000]  他說神一直都很保守祝福我
[00:02:04.000 --> 00:02:06.480]  他說我也是一個得救的人
[00:02:06.480 --> 00:02:09.480]  所以我知道我死了之後我會去哪裏
[00:02:09.480 --> 00:02:11.560]  我也知道我死了之後
[00:02:11.560 --> 00:02:13.960]  神會照顧我的家
[00:02:13.960 --> 00:02:15.560]  我一點都沒有掛慮
[00:02:15.560 --> 00:02:18.960]  所以你不如拿最後一個降落傘
[00:02:18.960 --> 00:02:20.440]  來救你自己
[00:02:20.440 --> 00:02:24.080]  我就和這架飛機共存亡
[00:02:24.080 --> 00:02:26.520]  那個童子軍和那個牧師說
[00:02:26.520 --> 00:02:28.560]  牧師你不用怕
[00:02:28.560 --> 00:02:31.640]  剛才那個說自己智商是超過200
[00:02:31.640 --> 00:02:33.960]  全世界是最聰明的
[00:02:33.960 --> 00:02:35.360]  沒有他不行的那個
[00:02:35.360 --> 00:02:38.560]  抱著我的背囊就跳出去了
[00:02:38.560 --> 00:02:41.200]  他說現在還有兩個降落傘
[00:02:41.200 --> 00:02:44.880]  一個給你一個給我 剛剛好
[00:02:44.880 --> 00:02:47.040]  《針研》的十六章十八節
[00:02:47.040 --> 00:02:49.400]  說驕傲在敗壞已先
[00:02:49.400 --> 00:02:51.960]  狂心在跌倒之前
[00:02:51.960 --> 00:02:55.000]  這節的經文真的比剛才那個電腦專家
[00:02:55.000 --> 00:02:56.000]  真的很適合
[00:02:56.000 --> 00:02:58.080]  雖然那個是一個笑話
[00:02:58.080 --> 00:02:59.080]  但是真是的
[00:02:59.080 --> 00:03:03.960]  我們見到驕傲是真的會令人跌倒
[00:03:03.960 --> 00:03:07.680]  驕傲而且是一個非常危險的罪
[00:03:07.680 --> 00:03:10.480]  不單止能夠毀滅一個人
[00:03:10.480 --> 00:03:12.760]  還能夠毀滅一個家庭
[00:03:12.760 --> 00:03:15.080]  能夠毀滅一個國家
[00:03:15.080 --> 00:03:17.720]  連基督徒都不例外
[00:03:17.720 --> 00:03:20.200]  有很多時候一個驕傲的人
[00:03:20.200 --> 00:03:23.520]  他還不能夠知道自己是驕傲
[00:03:23.520 --> 00:03:25.120]  一個殺人犯
[00:03:25.120 --> 00:03:28.400]  他都知道自己是殺了人
[00:03:28.400 --> 00:03:29.640]  一個小偷
[00:03:29.640 --> 00:03:32.240]  他都知道自己是偷了別人的東西
[00:03:32.240 --> 00:03:34.760]  一個作假見證的人
[00:03:34.760 --> 00:03:38.160]  我上次跟大家講過這個舌頭的智慧
[00:03:38.160 --> 00:03:39.480]  如果你作假見證
[00:03:39.480 --> 00:03:41.640]  如果你是講人的是非
[00:03:41.640 --> 00:03:45.160]  你自己都知道自己是做了不應該做的事
[00:03:45.160 --> 00:03:47.000]  但是一個驕傲的人
[00:03:47.000 --> 00:03:50.560]  不單止他未必是承認他自己是驕傲
[00:03:50.560 --> 00:03:54.520]  他可能直接不知道自己是一個驕傲的人
[00:03:54.520 --> 00:03:56.560]  而且有很多驕傲的人
[00:03:56.560 --> 00:04:00.520]  他們的外表都是非常非常謙卑
[00:04:00.520 --> 00:04:04.920]  所以可以說驕傲是這麼多罪當中
[00:04:04.920 --> 00:04:08.560]  最隱蔽的一種罪
[00:04:08.560 --> 00:04:12.120]  一個人可能完全不知道他自己是驕傲
[00:04:12.120 --> 00:04:14.280]  直至他跌倒為止
[00:04:14.280 --> 00:04:18.400]  就好像《針研》16章18節今天的經文所講
[00:04:18.400 --> 00:04:20.440]  驕傲在敗壞已先
[00:04:20.440 --> 00:04:23.280]  狂心在跌倒之前
[00:04:23.280 --> 00:04:25.200]  有一個主要學的老師
[00:04:25.200 --> 00:04:29.560]  他講到法利塞人和瑞利的故事
[00:04:29.560 --> 00:04:32.800]  就是在《路加福音》第18章
[00:04:32.800 --> 00:04:37.040]  瑞利在神的面前戰戰兢兢
[00:04:37.040 --> 00:04:42.120]  他拼命說自己是一個罪人求神憐憫
[00:04:42.120 --> 00:04:46.720]  那個法利塞人拼命在神的面前炫耀自己的行為
[00:04:46.720 --> 00:04:50.160]  耶穌基督說那天有兩個人去到聖殿禱告
[00:04:50.160 --> 00:04:52.200]  一個是自以為異
[00:04:52.200 --> 00:04:54.240]  另外一個才是異人
[00:04:54.240 --> 00:04:56.960]  就是講瑞利
[00:04:56.960 --> 00:05:00.120]  那個主要學老師就馬上笑口說
[00:05:00.120 --> 00:05:01.480]  感謝神
