
[00:00:00.000 --> 00:00:02.860]  今天我會讀三段聖經
[00:00:02.860 --> 00:00:05.880]  去講我們生命
[00:00:05.880 --> 00:00:08.880]  主題是有否預備好面對挑戰
[00:00:08.880 --> 00:00:11.860]  今日世界你坐在這裏
[00:00:11.860 --> 00:00:15.300]  你不用去主動去迎接
[00:00:15.300 --> 00:00:18.300]  挑戰都會衝過來
[00:00:18.300 --> 00:00:20.040]  我們人生學習有兩種
[00:00:20.040 --> 00:00:23.300]  一種叫做主動去學習
[00:00:23.300 --> 00:00:26.180]  即是你主動去學攀石
[00:00:26.180 --> 00:00:29.100]  主動去學跑步
[00:00:29.100 --> 00:00:32.080]  另外一種就是
[00:00:32.080 --> 00:00:34.900]  不是你主動而是被動去學習
[00:00:34.900 --> 00:00:37.820]  有些事發生就影響了你
[00:00:37.820 --> 00:00:40.560]  所以人生總是有東西要學習
[00:00:40.560 --> 00:00:41.920]  無論你主動也好被動也好
[00:00:41.920 --> 00:00:44.760]  在我引言那裏
[00:00:44.760 --> 00:00:48.200]  輔助經文二分所書五章十六
[00:00:48.200 --> 00:00:51.180]  十五到十八節
[00:00:51.180 --> 00:00:52.860]  大家見到幫我一起讀出來好嗎
[00:00:52.860 --> 00:00:56.020]  二分所書五章十五到十八節
[00:00:56.020 --> 00:00:57.240]  預備起
[00:00:59.100 --> 00:01:01.100]  今時不叫像耗子的人
[00:01:01.100 --> 00:01:03.100]  只像智慧的人
[00:01:03.100 --> 00:01:05.100]  要把握時機
[00:01:05.100 --> 00:01:07.100]  因為現今的世代邪惡
[00:01:07.100 --> 00:01:09.100]  不要作糊塗人
[00:01:09.100 --> 00:01:11.100]  要明察主的旨意如何
[00:01:11.100 --> 00:01:13.100]  不要醉酒
[00:01:13.100 --> 00:01:15.100]  酒能使人放蕩
[00:01:15.100 --> 00:01:17.100]  要被聖靈沖沒
[00:01:17.100 --> 00:01:19.100]  這裏有個重點
[00:01:19.100 --> 00:01:21.100]  在引言那裏
[00:01:21.100 --> 00:01:23.100]  我想講的就是
[00:01:23.100 --> 00:01:25.100]  因為現今的世代邪惡
[00:01:25.100 --> 00:01:27.100]  你們不要做糊塗人
[00:01:27.100 --> 00:01:29.100]  要謹慎
[00:01:29.100 --> 00:01:31.100]  甚至你要謹慎
[00:01:31.100 --> 00:01:33.100]  不要做糊塗人
[00:01:33.100 --> 00:01:35.100]  你要有智慧
[00:01:35.100 --> 00:01:37.100]  要明白神的心意
[00:01:37.100 --> 00:01:39.100]  特別是要愛惜光陰
[00:01:39.100 --> 00:01:41.100]  因為現今的世代
[00:01:41.100 --> 00:01:43.100]  邪惡
[00:01:43.100 --> 00:01:45.100]  跟我們
[00:01:45.100 --> 00:01:47.100]  二分所書讀的那一段一樣
[00:01:47.100 --> 00:01:49.100]  在邪惡磨練磨爛的日子
[00:01:49.100 --> 00:01:51.100]  抵擋魔鬼仍然站立不住
[00:01:51.100 --> 00:01:53.100]  這就是一個
[00:01:53.100 --> 00:01:55.100]  邪惡的世代
[00:01:55.100 --> 00:01:57.100]  前兩章都講過
[00:01:57.100 --> 00:01:59.100]  惡有兩個字
[00:01:59.100 --> 00:02:01.100]  Karkos 就是壞
[00:02:01.100 --> 00:02:03.100]  惡
[00:02:03.100 --> 00:02:05.100]  邪惡是更惡
[00:02:05.100 --> 00:02:07.100]  惡中的眾星級
[00:02:07.100 --> 00:02:09.100]  Poneros
[00:02:09.100 --> 00:02:11.100]  不是自己壞
[00:02:11.100 --> 00:02:13.100]  還想別人壞
[00:02:13.100 --> 00:02:15.100]  這是更壞
[00:02:15.100 --> 00:02:17.100]  壞中之壞
[00:02:17.100 --> 00:02:19.100]  這裏所講的邪惡
[00:02:19.100 --> 00:02:21.100]  因為現今的世代
[00:02:21.100 --> 00:02:23.100]  邪惡
[00:02:23.100 --> 00:02:25.100]  所以我們今天講題
[00:02:25.100 --> 00:02:27.100]  有沒有預備好
[00:02:27.100 --> 00:02:29.100]  去迎接挑戰
[00:02:29.100 --> 00:02:31.100]  所講的挑戰不是股市的挑戰
[00:02:31.100 --> 00:02:33.100]  也不是
[00:02:33.100 --> 00:02:35.100]  打疫苗的挑戰
[00:02:35.100 --> 00:02:37.100]  是
