
[00:00:00.000 --> 00:00:03.660]  很多次我出現最大的麻煩就是
[00:00:03.660 --> 00:00:06.660]  下班時暖暖的回到故居
[00:00:06.660 --> 00:00:08.420]  你試過沒有?
[00:00:08.420 --> 00:00:11.860]  你有沒有試過移民?
[00:00:11.860 --> 00:00:14.100]  移民時你會覺得很不習慣
[00:00:14.100 --> 00:00:14.920]  為什麼很不習慣?
[00:00:14.920 --> 00:00:16.920]  因為習慣不是你的習慣
[00:00:16.920 --> 00:00:20.500]  結婚的人我們叫他們做什麼?
[00:00:20.500 --> 00:00:21.780]  叫他們做新人,是嗎?
[00:00:21.780 --> 00:00:23.040]  這一對新人
[00:00:23.040 --> 00:00:25.860]  你猜做新人會舒不舒服?
[00:00:25.860 --> 00:00:29.340]  早上起床看見,你為什麼要躺在那裡?
[00:00:30.260 --> 00:00:32.100]  有一個很資深的司機
[00:00:32.100 --> 00:00:34.100]  他開車很多年了
[00:00:34.100 --> 00:00:37.180]  最近他轉行開計程車
[00:00:37.180 --> 00:00:41.020]  本來轉行開計程車也沒什麼所謂
[00:00:41.020 --> 00:00:44.060]  但有一次就出事了
[00:00:44.060 --> 00:00:47.580]  因為車後面的乘客
[00:00:47.580 --> 00:00:49.580]  想去的地方改一改變
[00:00:49.580 --> 00:00:51.580]  於是拍拍他的肩膀,跟他說想改變
[00:00:51.580 --> 00:00:54.080]  這個只是拍拍他的肩膀
[00:00:54.080 --> 00:00:56.080]  這位司機就大聲地來叫
[00:00:56.080 --> 00:01:00.080]  好像瘋了一樣
[00:01:00.080 --> 00:01:02.080]  乘客當然很害怕什麼事?
[00:01:02.080 --> 00:01:04.080]  跟你說轉一下去別的地方
[00:01:04.080 --> 00:01:06.080]  有什麼大聲地叫?
[00:01:06.080 --> 00:01:08.080]  司機也覺得自己不太妥
[00:01:08.080 --> 00:01:09.080]  不好意思
[00:01:09.080 --> 00:01:10.080]  要跟他解釋
[00:01:10.080 --> 00:01:12.080]  不好意思,其實我開車很多很多年了
[00:01:12.080 --> 00:01:14.080]  不過這麼多年來
[00:01:14.080 --> 00:01:16.080]  我都是幫殯儀館開車的
[00:01:16.080 --> 00:01:22.080]  對他們來說,習慣了開車
[00:01:22.080 --> 00:01:24.080]  習慣了開車的時候
[00:01:24.080 --> 00:01:26.080]  不會背後有人拍你的
[00:01:26.080 --> 00:01:28.080]  突然間拍你的時候
[00:01:28.080 --> 00:01:30.080]  當然很害怕
[00:01:30.080 --> 00:01:32.080]  很多時候我們這樣想
[00:01:32.080 --> 00:01:34.080]  我們信了主的時候
[00:01:34.080 --> 00:01:36.080]  聖經怎麼說?
[00:01:36.080 --> 00:01:38.080]  若有人在基督裡
[00:01:38.080 --> 00:01:40.080]  他就是新造的人
[00:01:40.080 --> 00:01:44.080]  剛才大家都說了
