
[00:00:00.000 --> 00:00:06.360]  好 我們今天的主題是「從獻殿學習祈禱」
[00:00:06.360 --> 00:00:07.320]  或者這麼說
[00:00:07.320 --> 00:00:08.480]  如果用另一個名字
[00:00:08.480 --> 00:00:14.100]  我可以說是「怎樣才得到真正上主的祝福」
[00:00:14.100 --> 00:00:18.000]  剛才我講到上星期帕蘇維尼提到
[00:00:18.000 --> 00:00:22.080]  是所羅門如何細心準備聖殿的一切
[00:00:22.080 --> 00:00:26.720]  到今天就是到員工之後獻殿
[00:00:26.720 --> 00:00:29.900]  講到在聖殿裡面學習祈禱
[00:00:29.900 --> 00:00:33.360]  可能祈禱對很多人都是一個很特別的事
[00:00:33.360 --> 00:00:34.000]  有些人覺得
[00:00:34.000 --> 00:00:35.720]  是你迷了才祈禱
[00:00:35.720 --> 00:00:37.400]  是某人才祈禱
[00:00:37.400 --> 00:00:39.460]  不是很多人會祈禱的
[00:00:39.460 --> 00:00:40.280]  不過很有趣
[00:00:40.280 --> 00:00:44.600]  在美國在早年做了一個研究報告
[00:00:44.600 --> 00:00:46.600]  也是一個非常出名的研究中心
[00:00:46.600 --> 00:00:48.240]  叫做Pure Researcher
[00:00:48.240 --> 00:00:52.560]  關於祈禱的頻密程度
[00:00:52.560 --> 00:00:53.520]  我看完之後
[00:00:53.520 --> 00:00:55.920]  我都覺得非常驚人
[00:00:55.920 --> 00:01:00.240]  他講到原來在美國每天都祈禱
[00:01:00.240 --> 00:01:01.680]  一百人裡面
[00:01:01.680 --> 00:01:03.280]  你猜有多少人呢
[00:01:03.280 --> 00:01:06.680]  一百個人有五十五個每天都祈禱
[00:01:06.680 --> 00:01:09.120]  我不知道你是否每天都祈禱
[00:01:09.120 --> 00:01:11.280]  好 一個月來看
[00:01:11.280 --> 00:01:15.600]  總共一百人有七十五個人會祈禱
[00:01:15.600 --> 00:01:17.520]  但如果你深水清都知道
[00:01:17.520 --> 00:01:20.600]  我們基督徒可能都沒有那麼多
[00:01:20.600 --> 00:01:21.760]  但又很有趣
[00:01:21.760 --> 00:01:26.720]  他們講到每天祈禱的朋友中
[00:01:26.720 --> 00:01:29.760]  有百分之二十是無神論者
[00:01:29.760 --> 00:01:31.160]  即是說他不知道跟誰祈禱
[00:01:31.160 --> 00:01:32.880]  但他知道自己不足夠
[00:01:32.880 --> 00:01:36.480]  這個是上主給我們內心創造一個空間
[00:01:36.480 --> 00:01:37.640]  是自己不足夠
[00:01:37.640 --> 00:01:38.720]  但他不知道去找
[00:01:38.720 --> 00:01:40.200]  那他會有祈禱
[00:01:40.200 --> 00:01:41.240]  這個挺有趣
[00:01:41.240 --> 00:01:42.160]  有人會覺得
[00:01:42.160 --> 00:01:44.880]  祈禱的人可能都是迷信的
[00:01:44.880 --> 00:01:46.480]  可能沒什麼收入
[00:01:46.480 --> 00:01:49.000]  所以他要祈禱求神幫
