
[00:00:00.000 --> 00:00:04.680]  教會是一個人聚集的地方
[00:00:04.680 --> 00:00:08.720]  但是教會更加是神同在的地方
[00:00:08.720 --> 00:00:11.680]  所以在這段時間
[00:00:11.680 --> 00:00:14.320]  教會也有很多活動
[00:00:14.320 --> 00:00:16.320]  特別在這個節期時間
[00:00:16.320 --> 00:00:17.720]  是章林節
[00:00:17.720 --> 00:00:22.800]  來預備我們慶祝聖誕這些日子
[00:00:22.800 --> 00:00:26.320]  讓我們思想到有一節經文
[00:00:26.320 --> 00:00:31.440]  特別是今天跟大家一起提醒
[00:00:31.440 --> 00:00:33.240]  教會應該是什麼呢?
[00:00:33.240 --> 00:00:36.040]  我們今天也有開會議員大會
[00:00:36.040 --> 00:00:38.920]  所以到年尾的時候
[00:00:38.920 --> 00:00:41.640]  不僅僅我們御義堂也會弄一個教會
[00:00:41.640 --> 00:00:47.520]  我們有一些經常性需要的聚會
[00:00:47.520 --> 00:00:50.520]  特別也有聖誕崇拜等等
[00:00:50.520 --> 00:00:52.520]  也是聯合性教會的
[00:00:52.520 --> 00:00:56.200]  我們在聖經裏面有很多三章十六節
[00:00:56.200 --> 00:00:59.520]  其實不僅是約翰福音三章十六節
[00:00:59.520 --> 00:01:01.680]  約翰福音三章十六節是說什麼呢?
[00:01:01.680 --> 00:01:05.920]  「神愛世人,甚至將他的獨生子賜給他們
[00:01:05.920 --> 00:01:10.600]  叫一切信他的,不致滅亡,凡得永生」
[00:01:10.600 --> 00:01:12.960]  這一節聖經固然是最重要的
[00:01:12.960 --> 00:01:17.520]  但是其他有很多的新約書信裏面
[00:01:17.520 --> 00:01:21.000]  其實三章十六節有幾個地方都是很重要的
[00:01:21.000 --> 00:01:23.360]  其中就是這一節經文
[00:01:23.360 --> 00:01:25.640]  當然十五十六節是連在一起的
[00:01:25.640 --> 00:01:28.560]  所以我們今天來看看提摩太前書
[00:01:28.560 --> 00:01:30.360]  三章十五十六節
[00:01:30.360 --> 00:01:33.360]  在我先生在這段時間
[00:01:33.360 --> 00:01:34.320]  十二月的這段時間
[00:01:34.320 --> 00:01:37.200]  特別想在這兩節經文和大家一起分享
[00:01:37.200 --> 00:01:39.000]  也是一個很好的提醒
[00:01:39.000 --> 00:01:42.520]  讓我們知道神的心意在教會是什麼
[00:01:42.520 --> 00:01:45.320]  我們一起讀這兩節經文好嗎?
[00:01:45.320 --> 00:01:46.600]  請讀一下
[00:01:46.600 --> 00:01:49.280]  「同樣我單言日久
[00:01:49.280 --> 00:01:55.680]  你也可以知道在上帝的家中當怎樣合
[00:01:55.680 --> 00:02:00.040]  這家就是永生上帝的教會
[00:02:00.040 --> 00:02:03.400]  真理的柱石和根基
[00:02:03.400 --> 00:02:06.520]  大哉!敬虔的傲備
[00:02:06.520 --> 00:02:08.760]  無人不以爲然
[00:02:08.760 --> 00:02:12.600]  就是上帝在肉身衍然
[00:02:12.600 --> 00:02:14.800]  被聖靈清怡
[00:02:14.800 --> 00:02:17.400]  被天使看見
[00:02:17.400 --> 00:02:19.880]  被傳於外邦
[00:02:19.880 --> 00:02:22.320]  被世人信奉
[00:02:22.320 --> 00:02:24.920]  被接在榮耀裏」
[00:02:24.920 --> 00:02:26.600]  這支經文是不是很重要?
[00:02:26.600 --> 00:02:28.560]  「大哉!敬虔的傲備
[00:02:28.560 --> 00:02:30.320]  無人不以爲然」
[00:02:30.320 --> 00:02:32.120]  特別是這段章臨節的時間
[00:02:32.120 --> 00:02:33.960]  很清楚讓我們看見
[00:02:33.960 --> 00:02:37.640]  就是上帝在肉身衍然
[00:02:37.640 --> 00:02:42.720]  我們看到這是教會的
[00:02:42.720 --> 00:02:46.480]  一個教目書信裏面的一個很重要的提醒
[00:02:46.480 --> 00:02:48.840]  當時賜徒保羅寫的書信
[00:02:48.840 --> 00:02:50.280]  當然是給提摩泰
[00:02:50.280 --> 00:02:52.480]  但是也是當時他所牧養的
[00:02:52.480 --> 00:02:54.480]  以弗所的教會
[00:02:54.480 --> 00:02:57.040]  在這封書信裏面
[00:02:57.040 --> 00:03:01.640]  他特別提到教導提摩泰如何治理教會
[00:03:01.640 --> 00:03:03.920]  如何帶領教會
[00:03:03.920 --> 00:03:05.840]  包括了選拔領袖
[00:03:05.840 --> 00:03:10.000]  處理教會一些不同的需要和問題
[00:03:10.000 --> 00:03:11.960]  這封信雖然是寫給提摩泰的
[00:03:11.960 --> 00:03:15.760]  但是保羅其實也透過他當時的勸勉
[00:03:15.760 --> 00:03:21.480]  來建立和教導以弗所的教會的信徒
[00:03:21.480 --> 00:03:23.720]  所以在第三章當中
[00:03:23.720 --> 00:03:26.800]  保羅就論到教會的監督
[00:03:26.800 --> 00:03:29.600]  即是今天的長老和執事
[00:03:29.600 --> 00:03:31.600]  應該有的資格和條件
[00:03:31.600 --> 00:03:34.040]  所以當我們來到選立長老執事的時候
[00:03:34.040 --> 00:03:36.560]  是按着提摩泰禪書三章這段經文
[00:03:36.560 --> 00:03:38.160]  做我們的標準
[00:03:38.160 --> 00:03:40.280]  然後在這章結束的時候
[00:03:40.280 --> 00:03:44.280]  我們看見保羅希望自己能夠很快
[00:03:44.280 --> 00:03:47.760]  打發提摩泰去到他自己那裏
[00:03:47.760 --> 00:03:49.360]  好讓他能夠見他
[00:03:49.360 --> 00:03:51.040]  也能夠交通
[00:03:51.040 --> 00:03:54.040]  有些很重要的說話來和他分享
[00:03:54.040 --> 00:03:57.080]  但是在這封信未到之前
[00:03:57.080 --> 00:03:59.160]  或者提摩泰未到之前
[00:03:59.160 --> 00:04:00.280]  就寫出他說
[00:04:00.280 --> 00:04:02.880]  如果我萬一耽言的時候
[00:04:02.880 --> 00:04:06.920]  你也知道在神的家中應該怎樣行
[00:04:06.920 --> 00:04:09.640]  所以保羅寫出這兩節經文做結束的時候
[00:04:09.640 --> 00:04:13.480]  是有豐富的神學的重要的意義
[00:04:13.480 --> 00:04:15.640]  所以作爲第三章的結束
