
[00:00:00.000 --> 00:00:04.200]  今年是我們盼望能夠在崇拜的講道的訊息裏面
[00:00:04.200 --> 00:00:07.000]  從生命記裏面來學習
[00:00:07.000 --> 00:00:09.000]  數算因典
[00:00:09.000 --> 00:00:12.000]  我相信這個都是和生命記的主題很有關係
[00:00:12.000 --> 00:00:15.000]  我不知道大家記不記得生命記的主題是甚麼
[00:00:15.000 --> 00:00:21.000]  大家過往都在幾次的生命記訊息裏面
[00:00:21.000 --> 00:00:22.000]  大家記不記得
[00:00:22.000 --> 00:00:30.000]  生命記的主題很容易記的就是記得
[00:00:30.000 --> 00:00:32.000]  大家你記得就行了
[00:00:32.000 --> 00:00:35.000]  你記得這兩個字就是生命記的主題
[00:00:35.000 --> 00:00:37.000]  生命記的主題真是記得
[00:00:37.000 --> 00:00:38.000]  記得甚麼呢
[00:00:38.000 --> 00:00:40.000]  當然裏面有很多豐富的內容
[00:00:40.000 --> 00:00:44.000]  另外一個講法就是不要忘記
[00:00:44.000 --> 00:00:47.000]  記得亦是不要忘記
[00:00:47.000 --> 00:00:49.000]  所以這個是數算因典
[00:00:49.000 --> 00:00:52.000]  其中一樣我相信今天在生命記二章裏面
[00:00:52.000 --> 00:00:55.000]  提醒我們透過數算因典
[00:00:55.000 --> 00:00:59.000]  我們更加記得神給我們的因典
[00:00:59.000 --> 00:01:03.000]  我先和大家一起讀完生命記二章一到七節
[00:01:03.000 --> 00:01:05.000]  其他經文可能我未必會讀得完
[00:01:05.000 --> 00:01:09.000]  但盼望能夠我們一齊回家可以慢慢再看
[00:01:09.000 --> 00:01:13.000]  我們先讀生命記二章一到七節
[00:01:13.000 --> 00:01:15.000]  看到的我們一起讀完這幾節的經文
[00:01:15.000 --> 00:01:21.000]  我們轉回從紅海的路往曠野去
[00:01:21.000 --> 00:01:24.000]  是照耶和華所吩咐我的
[00:01:24.000 --> 00:01:28.000]  我在西二山繞行了許多日子
[00:01:28.000 --> 00:01:30.000]  耶和華對我說
[00:01:30.000 --> 00:01:33.000]  你們繞行這山的日子夠了
[00:01:33.000 --> 00:01:35.000]  要轉向北去
[00:01:35.000 --> 00:01:41.000]  你吩咐百姓說
[00:01:41.000 --> 00:01:48.000]  你們弟兄以數的子孫住在西二
[00:01:48.000 --> 00:01:51.000]  你們要經過他們的境界
[00:01:51.000 --> 00:01:54.000]  他們必懼怕你們
[00:01:54.000 --> 00:01:57.000]  所以你們要分外謹慎
[00:01:57.000 --> 00:02:00.000]  不可與他們爭戰
[00:02:00.000 --> 00:02:03.000]  他們的地連腳掌可踏之處
[00:02:03.000 --> 00:02:05.000]  我都不給你們
[00:02:05.000 --> 00:02:10.000]  因我已將西二山視以數為業
[00:02:10.000 --> 00:02:14.000]  你們要用錢向他們買糧吃
[00:02:14.000 --> 00:02:18.000]  也要用錢向他們買水喝
[00:02:18.000 --> 00:02:20.000]  因為耶和華你的神
[00:02:20.000 --> 00:02:23.000]  在你手裡所辦的一切事上
[00:02:23.000 --> 00:02:25.000]  已伺服於你
[00:02:25.000 --> 00:02:27.000]  你走這大曠野
[00:02:27.000 --> 00:02:29.000]  他都知道了
[00:02:29.000 --> 00:02:31.000]  這四十年
[00:02:31.000 --> 00:02:34.000]  耶和華你的神常與你同在
[00:02:34.000 --> 00:02:37.000]  故此你一無所缺
[00:02:37.000 --> 00:02:41.000]  這是以色列人在生命裡
[00:02:41.000 --> 00:02:43.000]  一個很重要的經歷
[00:02:43.000 --> 00:02:44.000]  四十年
[00:02:44.000 --> 00:02:48.000]  其實是代表一整代人的黃金歲月
[00:02:48.000 --> 00:02:50.000]  在這四十年裡
[00:02:50.000 --> 00:02:52.000]  他們學了不同的功課
[00:02:52.000 --> 00:02:54.000]  但這些學習其實都不容易
[00:02:54.000 --> 00:02:56.000]  我想從這個生命當中
[00:02:56.000 --> 00:02:58.000]  給兩個很重要的功課
[00:02:58.000 --> 00:03:00.000]  我們一起來學習
[00:03:00.000 --> 00:03:03.000]  第一個就是士臣的掌管
[00:03:03.000 --> 00:03:06.000]  士臣掌管是在剛才第一節裡
[00:03:06.000 --> 00:03:08.000]  開始的時候
[00:03:08.000 --> 00:03:10.000]  這群以色列人做了什麼
[00:03:10.000 --> 00:03:12.000]  他們聽神的話
[00:03:12.000 --> 00:03:15.000]  他們迴轉馴服
[00:03:15.000 --> 00:03:16.000]  剛才我們讀的經文裡
[00:03:16.000 --> 00:03:19.000]  告訴我們他們照耶和華所吩咐的
[00:03:19.000 --> 00:03:20.000]  吩咐以色列人
[00:03:20.000 --> 00:03:21.000]  吩咐摩西也好
[00:03:21.000 --> 00:03:22.000]  他們就聽話
[00:03:22.000 --> 00:03:25.000]  回去迴轉馴服神
[00:03:25.000 --> 00:03:27.000]  預備進入迦南地
[00:03:27.000 --> 00:03:29.000]  但其實這個更加重要
[00:03:29.000 --> 00:03:32.000]  他們要記得神是哪一位
[00:03:32.000 --> 00:03:35.000]  以色列人在過往四十年曠野的生涯當中
[00:03:35.000 --> 00:03:37.000]  其實他們反反覆覆
[00:03:37.000 --> 00:03:39.000]  兜兜轉轉
[00:03:39.000 --> 00:03:41.000]  他們有時記得神
[00:03:41.000 --> 00:03:43.000]  有時忘記神
[00:03:43.000 --> 00:03:44.000]  所以這裡提醒我們
[00:03:44.000 --> 00:03:46.000]  要記得神是哪一位
[00:03:46.000 --> 00:03:48.000]  是神掌管著
[00:03:48.000 --> 00:03:50.000]  是神帶領著
[00:03:50.000 --> 00:03:53.000]  是神自己的計劃
[00:03:53.000 --> 00:03:55.000]  最近有位朋友介紹一本書
[00:03:55.000 --> 00:03:58.000]  叫做《記得你是誰》
[00:03:58.000 --> 00:03:59.000]  這本《記得你是誰》
[00:03:59.000 --> 00:04:01.000]  為什麼這個朋友介紹呢
[00:04:01.000 --> 00:04:02.000]  原來他就是哈佛大學
[00:04:02.000 --> 00:04:05.000]  有15位教授寫的書
[00:04:05.000 --> 00:04:07.000]  哈佛大學有一個傳統
[00:04:07.000 --> 00:04:12.000]  當教授教完最後一堂課
[00:04:12.000 --> 00:04:17.000]  就會和學生分享他們的人生故事
[00:04:17.000 --> 00:04:20.000]  講講他們過往的奮鬥歷程
[00:04:20.000 --> 00:04:22.000]  以致能夠鼓勵學生
[00:04:22.000 --> 00:04:25.000]  後來集合了15位教授的人生故事
[00:04:25.000 --> 00:04:26.000]  出了一本書
[00:04:26.000 --> 00:04:29.000]  叫做《記得你是誰》
[00:04:29.000 --> 00:04:31.000]  可能就是透過這些回憶
[00:04:31.000 --> 00:04:33.000]  不要忘記
[00:04:33.000 --> 00:04:35.000]  讓他們人生的經歷
[00:04:35.000 --> 00:04:37.000]  以致幫助學生
[00:04:37.000 --> 00:04:40.000]  可以得到更多的鼓勵
[00:04:40.000 --> 00:04:43.000]  當然我想這個朋友介紹這本書的時候
[00:04:43.000 --> 00:04:45.000]  更加提到我們作為基督徒
[00:04:45.000 --> 00:04:47.000]  要記得我們自己的身份
[00:04:47.000 --> 00:04:49.000]  記得你是誰
[00:04:49.000 --> 00:04:51.000]  我相信我們作為基督徒
[00:04:51.000 --> 00:04:53.000]  我們都應該記得我們自己的身份
