
[00:00:00.000 --> 00:00:05.280]  今天想跟大家探討的經文是《比特遷書》第五章
[00:00:05.280 --> 00:00:06.800]  第八至十四節
[00:00:06.800 --> 00:00:10.400]  這是整本書順最後的幾節
[00:00:10.400 --> 00:00:12.800]  我想分享的題目是
[00:00:12.800 --> 00:00:16.400]  「在恩典中習不穩」
[00:00:16.400 --> 00:00:19.200]  怎樣才算是習不穩呢
[00:00:19.200 --> 00:00:23.600]  不知道大家有沒有試過站在懸崖旁邊
[00:00:23.600 --> 00:00:24.800]  有沒有試過
[00:00:24.800 --> 00:00:26.800]  沒人試過
[00:00:26.800 --> 00:00:28.800]  有人試過吧
[00:00:28.800 --> 00:00:30.800]  我也試過的
[00:00:30.800 --> 00:00:32.800]  也害怕的
[00:00:32.800 --> 00:00:34.800]  不過真正害怕的是
[00:00:34.800 --> 00:00:36.800]  今年二月
[00:00:36.800 --> 00:00:42.800]  我和太太和女兒去馬鞍山
[00:00:42.800 --> 00:00:48.800]  馬鞍山原來有很多很斜的懸崖
[00:00:48.800 --> 00:00:50.800]  一看就知道是這樣的
[00:00:50.800 --> 00:00:54.800]  我太太和女兒先過去
[00:00:54.800 --> 00:00:58.800]  那裡剛好有一堆泥
[00:00:58.800 --> 00:01:04.800]  經過那條路的時候
[00:01:04.800 --> 00:01:06.800]  很狹窄的
[00:01:06.800 --> 00:01:09.800]  之前我叫太太和女兒
[00:01:09.800 --> 00:01:11.800]  非常小心
[00:01:11.800 --> 00:01:13.800]  我對自己就覺得沒問題
[00:01:13.800 --> 00:01:15.800]  為什麼要滑呢
[00:01:15.800 --> 00:01:17.800]  真的差點滑了下去
[00:01:17.800 --> 00:01:18.800]  為什麼呢
[00:01:18.800 --> 00:01:20.800]  其實真的
[00:01:20.800 --> 00:01:22.800]  幸好我之前
[00:01:22.800 --> 00:01:24.800]  用手扶著她
[00:01:24.800 --> 00:01:26.800]  她有安全繩在旁邊
[00:01:26.800 --> 00:01:28.800]  死都扶著
[00:01:28.800 --> 00:01:30.800]  結果沒掉下去
[00:01:30.800 --> 00:01:32.800]  我想想
[00:01:32.800 --> 00:01:34.800]  如果我站不穩
[00:01:34.800 --> 00:01:36.800]  我今天就沒可能在這裡
[00:01:36.800 --> 00:01:38.800]  跟你說得到
[00:01:38.800 --> 00:01:40.800]  但是
[00:01:40.800 --> 00:01:42.800]  我想想
[00:01:42.800 --> 00:01:44.800]  如果我們在平地的時候
[00:01:44.800 --> 00:01:46.800]  不覺得需要站穩
[00:01:46.800 --> 00:01:48.800]  但是危險的地方
[00:01:48.800 --> 00:01:50.800]  就要非常小心
[00:01:50.800 --> 00:01:52.800]  像這個人
[00:01:52.800 --> 00:01:54.800]  站在懸崖邊
[00:01:54.800 --> 00:01:56.800]  如果一不小心
[00:01:56.800 --> 00:01:58.800]  腳不穩
[00:01:58.800 --> 00:02:00.800]  就會掉下去
[00:02:00.800 --> 00:02:02.800]  當我們說
[00:02:02.800 --> 00:02:04.800]  要站穩的時候
[00:02:04.800 --> 00:02:06.800]  所站的地方
[00:02:06.800 --> 00:02:08.800]  通常是一個
[00:02:08.800 --> 00:02:10.800]  危險環境中
[00:02:10.800 --> 00:02:12.800]  穩固的地方
[00:02:12.800 --> 00:02:14.800]  為什麼
[00:02:14.800 --> 00:02:16.800]  我們要在恩典裡面
[00:02:16.800 --> 00:02:18.800]  去站穩呢
[00:02:18.800 --> 00:02:20.800]  今天正道的題目
