
[00:00:00.000 --> 00:00:02.700]  咪魚不是寫的那麼簡單
[00:00:02.700 --> 00:00:07.180]  咪魚就是吃碗底反碗面
[00:00:07.180 --> 00:00:09.640]  猜一個電影人物 叫什麼名字
[00:00:09.640 --> 00:00:13.620]  咦 竟然是認識
[00:00:13.620 --> 00:00:15.400]  如果認識就舉手 我摸一摸
[00:00:15.400 --> 00:00:18.480]  大部份人都不認識
[00:00:18.480 --> 00:00:21.340]  證明你舉手的同學差不多年紀了
[00:00:21.340 --> 00:00:23.880]  吃碗底反碗面
[00:00:23.880 --> 00:00:25.280]  有沒有聽過這個說話
[00:00:25.280 --> 00:00:27.140]  很熟
[00:00:27.640 --> 00:00:30.280]  真的很熟 聽清楚
[00:00:30.280 --> 00:00:32.560]  吃碗底反碗面
[00:00:32.560 --> 00:00:37.640]  吃碗面反碗底你只聽過一次
[00:00:37.640 --> 00:00:41.440]  吃碗底反碗面這個說話
[00:00:41.440 --> 00:00:44.340]  是吳楚帆 真是吳楚帆說的
[00:00:44.340 --> 00:00:47.400]  他1964年說那套電影裡的
[00:00:47.400 --> 00:00:49.660]  我不知道叫什麼名字
[00:00:49.660 --> 00:00:51.800]  總之是說一個故事
[00:00:51.800 --> 00:00:54.400]  很出名很經典的電影
[00:00:54.400 --> 00:00:57.280]  但那時候他不是說吃碗底反碗面
[00:00:57.280 --> 00:00:59.280]  是吃碗面反碗底
[00:00:59.280 --> 00:01:02.600]  說得非常清楚利落的去罵一個人
[00:01:02.600 --> 00:01:06.620]  但他在1987年的十大勁歌金曲裡
[00:01:06.620 --> 00:01:08.760]  可能年紀大了 像我這樣
[00:01:08.760 --> 00:01:10.920]  說錯了 叫吃碗底
[00:01:10.920 --> 00:01:14.840]  然後旁邊的譚詠麟就糾正他
[00:01:14.840 --> 00:01:16.640]  應該是吃碗面
[00:01:16.640 --> 00:01:22.280]  就是因為吳楚帆一個不經意的說錯了
[00:01:22.280 --> 00:01:25.080]  就令這句吃碗底反碗面
[00:01:25.080 --> 00:01:26.840]  傳頌一時
[00:01:27.400 --> 00:01:30.320]  其實吃碗底反碗面是什麼意思
[00:01:30.320 --> 00:01:32.320]  不知道大家有沒有想過呢
[00:01:32.320 --> 00:01:35.120]  一般人呢
[00:01:35.120 --> 00:01:37.640]  就理解為你反骨
[00:01:37.640 --> 00:01:40.120]  你反面不認人
[00:01:40.120 --> 00:01:44.080]  但原來按照《馳言》這個記載
[00:01:44.080 --> 00:01:49.720]  吃碗底反碗面是在說祭祀先人的時候的情況
[00:01:49.720 --> 00:01:54.320]  就是說你那碗飯倒轉之後放在你面前的話
[00:01:54.320 --> 00:01:57.120]  是祭祖的意義
[00:01:57.120 --> 00:02:00.280]  所以下次你請人吃飯的時候
[00:02:00.280 --> 00:02:02.960]  千萬不要一個不經意的把碗底反在那裡
