
[00:00:00.000 --> 00:00:02.980]  今天來自《馬太福音》
[00:00:02.980 --> 00:00:05.880]  耶穌登山顯榮的片段
[00:00:05.880 --> 00:00:08.120]  其實分別也有記載在
[00:00:08.120 --> 00:00:11.560]  《馬可福音》和《路加福音》
[00:00:11.560 --> 00:00:13.760]  或者大家也曾經聽過
[00:00:13.760 --> 00:00:17.900]  「共官福音」或者「婦女福音」這個名詞
[00:00:17.900 --> 00:00:20.340]  其實新的聖經《馬太福音》
[00:00:20.340 --> 00:00:22.860]  《馬可福音》和《路加福音》
[00:00:22.860 --> 00:00:27.420]  這三卷福音被合稱為「共官福音」
[00:00:27.420 --> 00:00:30.940]  其實他們都能夠幫助我們在不同的角度
[00:00:30.940 --> 00:00:33.380]  來認識耶穌基督
[00:00:33.380 --> 00:00:39.040]  「馬太」就好像一位猶太籍的主一學老師
[00:00:39.040 --> 00:00:42.440]  他講述耶穌其實是一位君王
[00:00:42.440 --> 00:00:47.100]  是一位以色列的君王的故事
[00:00:47.100 --> 00:00:50.260]  「馬可」就好像一位報道家
[00:00:50.260 --> 00:00:53.580]  他以卑微僕人的角度
[00:00:53.580 --> 00:00:56.540]  來述說耶穌基督的生平
[00:00:56.540 --> 00:01:00.620]  打算激發聽眾來傳福音
[00:01:00.620 --> 00:01:02.000]  而「路加」醫生
[00:01:02.000 --> 00:01:06.300]  就好像一位很有目者心腸的歷史學家
[00:01:06.300 --> 00:01:09.140]  他強調耶穌是人子
[00:01:09.140 --> 00:01:12.960]  他的文筆細緻也很感人
[00:01:12.960 --> 00:01:15.880]  每一本福音書都各有特色
[00:01:15.880 --> 00:01:19.740]  如果我們只看一本福音書的時候
[00:01:19.740 --> 00:01:26.420]  情形就好像我拿著這本聖經在大家面前
[00:01:26.420 --> 00:01:29.620]  如果...這樣吧
[00:01:29.620 --> 00:01:32.080]  這樣,拿在大家面前
[00:01:32.080 --> 00:01:36.780]  在我左手邊的會眾只能夠看到
[00:01:36.780 --> 00:01:41.780]  有一本書,紅色邊邊,什麼都沒有
[00:01:41.780 --> 00:01:44.940]  而這邊看下去就看到
[00:01:44.940 --> 00:01:48.440]  不知道,我只看到整塊都是黑色皮
[00:01:48.440 --> 00:01:50.360]  不知道是什麼書
[00:01:50.360 --> 00:01:53.780]  坐在聖壇後面的思朗和秀英
[00:01:53.780 --> 00:01:58.960]  就會看到,我看到聖經,我知道是聖經
[00:01:58.960 --> 00:02:03.720]  原來當大家在不同角度看同一樣東西的時候
[00:02:03.720 --> 00:02:05.980]  你們都會看到不同的東西
[00:02:05.980 --> 00:02:11.540]  如果我們將三個角度湊在一起看的時候
[00:02:11.540 --> 00:02:17.460]  我們才能夠看到一幅較為完整的圖畫
[00:02:17.460 --> 00:02:23.920]  所以當我們看今天耶穌登山顯榮的片段的時候
[00:02:23.920 --> 00:02:29.660]  我不打算只用馬太福音來看當時的情形
