
[00:00:00.000 --> 00:00:02.920]  各位弟兄姊妹 平安 聖經向你説話
[00:00:02.920 --> 00:00:05.760]  今天我要介紹的是《文素記》
[00:00:05.760 --> 00:00:10.180]  《文素記》這本書可以叫做《漂流之書》
[00:00:10.180 --> 00:00:15.060]  因為他們在曠野 繞圈啊 繞圈啊 繞圈啊
[00:00:15.060 --> 00:00:18.680]  本來可以是一段很短的旅程
[00:00:18.680 --> 00:00:23.860]  就因為他們選擇錯誤 選錯了
[00:00:23.860 --> 00:00:26.940]  於是他們就開始要漂流
[00:00:26.940 --> 00:00:31.180]  或者這本書又可以叫做《怨言》的書
[00:00:31.180 --> 00:00:33.220]  因為他們經常都發怨言
[00:00:33.220 --> 00:00:35.180]  埋怨這樣 埋怨那樣
[00:00:35.180 --> 00:00:37.920]  埋怨那些東西不要吃 埋怨沒有水喝
[00:00:37.920 --> 00:00:40.200]  又埋怨那些領袖
[00:00:40.200 --> 00:00:43.800]  所以這本書充滿很多的埋怨
[00:00:43.800 --> 00:00:49.940]  還有一本書可以叫做《行錯路》的書
[00:00:49.940 --> 00:00:53.080]  就是他們選擇了一條錯誤的路
[00:00:53.080 --> 00:00:58.260]  他們派了12個探主去打探這個加拿美地
[00:00:58.260 --> 00:01:01.420]  誰知道回來的報告只有2個
[00:01:01.420 --> 00:01:03.080]  說我們可以上去
[00:01:03.080 --> 00:01:04.760]  我們一定會打贏的
[00:01:04.760 --> 00:01:07.760]  我們一定可以得到伊達的地方
[00:01:07.760 --> 00:01:10.400]  但是有10個探主回來說
[00:01:10.400 --> 00:01:13.180]  哇 他們的敵人很強壯
[00:01:13.180 --> 00:01:14.580]  我們跟他們比
[00:01:14.580 --> 00:01:17.580]  好像一隻蟑螂一樣這麼小
[00:01:17.580 --> 00:01:21.620]  於是這班語聲人就聽了那10個
[00:01:21.620 --> 00:01:24.740]  負面回來回報的探子
[00:01:24.740 --> 00:01:28.780]  於是他們就說我們不想去伊達的地方
[00:01:28.780 --> 00:01:31.120]  於是神就懲罰他們
[00:01:31.120 --> 00:01:36.660]  於是他們就在曠野漂流了40年這麼久
[00:01:36.660 --> 00:01:41.500]  這本書可以說裡面充滿了教訓
[00:01:41.500 --> 00:01:43.220]  你試想一下你自己
[00:01:43.220 --> 00:01:44.940]  譬如以我來說
[00:01:44.940 --> 00:01:49.320]  我都在我人生裡面做錯了一些選擇
[00:01:49.320 --> 00:01:51.060]  我走錯了
[00:01:51.060 --> 00:01:54.140]  結果就受到很多的痛苦
[00:01:54.140 --> 00:01:56.260]  受到很多的懲罰
[00:01:56.260 --> 00:01:58.500]  神又一直責備我
[00:01:58.500 --> 00:02:00.180]  我錯了
[00:02:00.180 --> 00:02:01.500]  原來我們的人生
[00:02:01.500 --> 00:02:04.900]  很多時候我們都會走錯了路
[00:02:04.900 --> 00:02:08.220]  但是只要你調教方向
[00:02:08.220 --> 00:02:11.740]  你就可以回到神那裡
[00:02:11.740 --> 00:02:13.660]  所以《文素記》裡面
[00:02:13.660 --> 00:02:16.980]  充滿了很多歷史給我們的教訓
[00:02:16.980 --> 00:02:21.460]  我們可以從中得到很多的學習
[00:02:21.460 --> 00:02:24.740]  這本書可以分為三個段落
[00:02:24.740 --> 00:02:27.340]  由第1章到第12章
[00:02:27.340 --> 00:02:30.460]  可以說是一個舊的時代
[00:02:30.460 --> 00:02:33.420]  上一代的人仍然存在
[00:02:33.420 --> 00:02:37.340]  於是他們有很多錯誤的決定
[00:02:37.340 --> 00:02:39.220]  然後第二個部份
[00:02:39.220 --> 00:02:43.060]  就由第13章一直到第25章
[00:02:43.060 --> 00:02:46.940]  就說一個悲劇的過渡時期
[00:02:46.940 --> 00:02:51.180]  這段時期裡面很多悲劇出現
[00:02:51.180 --> 00:02:53.140]  然後第三個段落
[00:02:53.140 --> 00:02:56.980]  就由第26章一直到第36章
[00:02:56.980 --> 00:03:01.060]  一個新的世代會出現
[00:03:01.060 --> 00:03:04.860]  這本書由數點人數開始
[00:03:04.860 --> 00:03:08.620]  這本書裡面一共有兩次數點人數
[00:03:08.620 --> 00:03:10.620]  第一次就在第1章
[00:03:10.620 --> 00:03:13.100]  就是他們剛剛出了埃及之後
[00:03:13.100 --> 00:03:16.260]  第一個月他們在西乃山那裡
[00:03:16.260 --> 00:03:18.580]  就數點人數了
[00:03:18.580 --> 00:03:20.740]  每個支派數點有多少
[00:03:20.740 --> 00:03:23.020]  然後加起來有多少
[00:03:23.020 --> 00:03:25.980]  當然他們記載的是南丁的數目
[00:03:25.980 --> 00:03:30.100]  大概是60萬人多一點
[00:03:30.100 --> 00:03:31.900]  因此很多人估計
[00:03:31.900 --> 00:03:35.580]  當時的猶太人如果連同婦女兒童
[00:03:35.580 --> 00:03:40.940]  估計有百多萬到200萬人離開埃及
[00:03:40.940 --> 00:03:45.980]  然後第二次數點就在第30章記載
[00:03:45.980 --> 00:03:49.020]  就是他們經過38年之後
[00:03:49.020 --> 00:03:51.220]  快要入迦南地的時候
[00:03:51.220 --> 00:03:55.500]  他們再次數點人數
[00:03:55.500 --> 00:03:59.140]  本來是11天的旅程
[00:03:59.140 --> 00:04:01.900]  走11天就可以入迦南
[00:04:01.900 --> 00:04:05.940]  但是他們竟然走了40年這麼久
[00:04:05.940 --> 00:04:07.980]  所以各位親愛的弟兄姊妹
[00:04:07.980 --> 00:04:12.020]  讓我們的人生都要做一些對的選擇
[00:04:12.020 --> 00:04:14.060]  我們千萬不要埋怨
[00:04:14.060 --> 00:04:16.300]  我們千萬不要看不見神
[00:04:16.300 --> 00:04:19.020]  其實神很多時候都用祂的手
[00:04:19.020 --> 00:04:22.180]  向我們提出警告
[00:04:22.180 --> 00:04:24.060]  這本文數記
[00:04:24.060 --> 00:04:25.900]  其實有很多的記載
[00:04:25.900 --> 00:04:29.140]  可以說是預表耶穌基督的
[00:04:29.140 --> 00:04:34.940]  首先他們在曠野那裡埋怨
[00:04:34.940 --> 00:04:39.260]  結果神就差遣火蛇進入他們當中
[00:04:39.260 --> 00:04:41.100]  就咬了很多人
[00:04:41.100 --> 00:04:43.460]  於是他們就向摩西哀求
[00:04:43.460 --> 00:04:45.660]  求神拯救他們
[00:04:45.660 --> 00:04:47.620]  結果神就吩咐摩西
