
[00:00:00.000 --> 00:00:06.000]  我們繼續以聆聽神的話語去敬拜上帝
[00:00:06.000 --> 00:00:14.000]  在開始分享訊息前 我們也一起祈禱
[00:00:14.000 --> 00:00:20.000]  天父我們會看司徒恆轉四章尾到五章頭
[00:00:20.000 --> 00:00:23.000]  講到一個屬靈群體應該有的標記
[00:00:23.000 --> 00:00:30.000]  主求祢幫我們有屬靈的眼界去明白屬靈的事
[00:00:30.000 --> 00:00:35.000]  主讓我們做屬靈的人不要做屬肉體的人
[00:00:35.000 --> 00:00:40.000]  因為屬肉體的人不領會屬靈的事
[00:00:40.000 --> 00:00:43.000]  求祢引導我們 我們願意在祢面前
[00:00:43.000 --> 00:00:45.000]  求祢潔淨我們的心靈
[00:00:45.000 --> 00:00:48.000]  我們很想和祢毫無阻隔
[00:00:48.000 --> 00:00:53.000]  求祢帶領我們祝福 聽我們祈禱奉耶穌的聖名 阿們
[00:00:53.000 --> 00:01:01.000]  有一個美國宣教士去了台灣服侍
[00:01:01.000 --> 00:01:07.000]  你知道很多外國來的宣教士很想服侍中國人
[00:01:07.000 --> 00:01:11.000]  所以他們會去台灣 還有哪裡呢?
[00:01:11.000 --> 00:01:18.000]  來香港 去澳門 當然也會去內地
[00:01:18.000 --> 00:01:24.000]  很多地方 外國人的教會派他們來
[00:01:24.000 --> 00:01:28.000]  來到一個新的地方 他們自然要學什麼呢?
[00:01:28.000 --> 00:01:30.000]  學講話
[00:01:30.000 --> 00:01:39.000]  有一個美國宣教士學普通話 台灣叫國語
[00:01:39.000 --> 00:01:43.000]  他學了一些基本
[00:01:43.000 --> 00:01:50.000]  他覺得學語文最重要是有一個語境
[00:01:50.000 --> 00:01:52.000]  大家知道什麼是語境嗎?
[00:01:52.000 --> 00:01:54.000]  即是拿著一把傘
[00:01:54.000 --> 00:01:57.000]  今天是語境 先拍一張自拍
[00:01:57.000 --> 00:02:01.000]  不是那些 是語言的環境
