
[00:00:00.000 --> 00:00:02.800]  《聖經》的不同經卷都有些喜好
[00:00:02.800 --> 00:00:04.400]  譬如有些人很喜歡詩篇
[00:00:04.400 --> 00:00:07.200]  但是我小時候很不喜歡讀詩篇
[00:00:07.200 --> 00:00:09.300]  因為我那時候不是很明白《聖經》
[00:00:09.300 --> 00:00:10.980]  我發覺詩篇裡面有些人
[00:00:10.980 --> 00:00:12.100]  就是去咒詛人
[00:00:12.100 --> 00:00:13.580]  譬如詩篇137篇
[00:00:13.580 --> 00:00:15.280]  待會我們在《阿摩斯書》提到
[00:00:15.280 --> 00:00:16.680]  將孕婦劏開
[00:00:16.680 --> 00:00:18.280]  拿出來石頭上摔死
[00:00:18.280 --> 00:00:19.340]  這個人就有福了
[00:00:19.340 --> 00:00:19.940]  哇
[00:00:19.940 --> 00:00:21.580]  我是灣仔婆的
[00:00:21.580 --> 00:00:24.380]  比鵝頸橋打小人那些更厲害
[00:00:24.380 --> 00:00:26.280]  有阿嬸這麼毒的
[00:00:26.280 --> 00:00:28.180]  所以我們對詩篇沒什麼興趣
[00:00:28.180 --> 00:00:29.140]  你知道嗎?
[00:00:29.140 --> 00:00:32.540]  但是我自己最喜歡《舊約》
[00:00:32.540 --> 00:00:33.840]  其實我喜歡讀《舊約》的
[00:00:33.840 --> 00:00:36.040]  我最喜歡《舊約》兩卷書
[00:00:36.040 --> 00:00:39.640]  但是這兩卷書是剛剛好極端的
[00:00:39.640 --> 00:00:42.040]  第一卷書就是《河西亞書》
[00:00:42.040 --> 00:00:43.340]  有沒有人讀過《河西亞書》?
[00:00:43.340 --> 00:00:45.640]  《河西亞書》
[00:00:45.640 --> 00:00:47.940]  我發現原來做仙姿真的很不容易
[00:00:47.940 --> 00:00:50.340]  神叫《河西亞仙姿》
[00:00:50.340 --> 00:00:51.940]  娶一個什麼呢?
[00:00:51.940 --> 00:00:53.640]  孕婦
[00:00:53.640 --> 00:00:56.740]  後來這個人不安於室
[00:00:56.740 --> 00:00:58.740]  後來還跑到外面
[00:00:58.740 --> 00:01:00.540]  離家出走
[00:01:00.540 --> 00:01:02.840]  然後跑去做妓女
[00:01:02.840 --> 00:01:04.840]  但是神跟《河西亞》說
[00:01:04.840 --> 00:01:05.740]  你要去
[00:01:05.740 --> 00:01:08.040]  買這個妓女回來
[00:01:08.040 --> 00:01:09.840]  還要去愛她
[00:01:09.840 --> 00:01:11.840]  你知不知道在《舊約》裡面
[00:01:11.840 --> 00:01:13.540]  如果你做妓女的時候
[00:01:13.540 --> 00:01:14.840]  你有一條路要走
[00:01:14.840 --> 00:01:16.140]  一條路是什麼路呢?
[00:01:16.140 --> 00:01:17.140]  死路
