
[00:00:00.000 --> 00:00:02.080]  我們基督徒有很多不同的身份
[00:00:02.080 --> 00:00:06.520]  但是身份一定要在你自己的行為裡面去匹配的
[00:00:06.520 --> 00:00:09.200]  不然就真的會有失身份了
[00:00:09.200 --> 00:00:13.920]  很簡單舉個例子 當天英國的王子
[00:00:13.920 --> 00:00:17.440]  他們在派對裡面穿了一件納粹的軍裝
[00:00:17.440 --> 00:00:20.760]  就會成為英國一個很大的迴響
[00:00:20.760 --> 00:00:25.040]  作為皇室成員搞什麼 為什麼會這樣來做
[00:00:25.040 --> 00:00:27.280]  可能一個普通人是沒有事的
[00:00:27.280 --> 00:00:29.600]  我們基督徒有什麼身份呢?
[00:00:29.600 --> 00:00:34.520]  今晚我們會看《彼得前書》裡面所講的一部份身份
[00:00:34.520 --> 00:00:37.160]  而這個身份帶出來的是什麼樣的責任
[00:00:37.160 --> 00:00:39.360]  以及我們應該有什麼樣的表現呢?
[00:00:39.360 --> 00:00:41.080]  大家可以上網聽聽
[00:00:41.080 --> 00:00:43.120]  剛剛我過去的星期天講了一篇《道》
[00:00:43.120 --> 00:00:44.920]  就叫做《身首異處》
[00:00:44.920 --> 00:00:47.520]  就講到身體裡面有不同的器官
[00:00:47.520 --> 00:00:49.120]  不同的器官有不同的作用
[00:00:49.120 --> 00:00:51.760]  我們就不需要畫一天
[00:00:51.760 --> 00:00:55.280]  教會其實真真正正是五綱十色的
[00:00:55.280 --> 00:00:59.040]  是可以有不同的人 有不同的性格 有不同的經驗
[00:00:59.040 --> 00:01:00.840]  但我們可以彼此的配合
[00:01:00.840 --> 00:01:03.440]  還有這首歌很特別的
[00:01:03.440 --> 00:01:04.800]  它講到什麼呢?
[00:01:04.800 --> 00:01:08.480]  我們是聖靈來將我們生命更新
[00:01:08.480 --> 00:01:11.320]  就是讓聖靈來管理我們的生命
[00:01:11.320 --> 00:01:14.480]  那我們生命就會逐漸逐漸的成長
[00:01:14.480 --> 00:01:19.320]  挑戰直到別人在我們身上看到基督的榮美
[00:01:19.320 --> 00:01:20.480]  這個都是我的期望
[00:01:20.480 --> 00:01:23.640]  我很相信神會成為我們的幫助
[00:01:23.640 --> 00:01:28.040]  好 那我現在先來分享
[00:01:28.040 --> 00:01:32.320]  我們的課題就叫做《命符其實》
[00:01:32.320 --> 00:01:36.880]  這個就是在《彼得前書》裡面的第七講
[00:01:36.880 --> 00:01:40.720]  我們一個人的身份是有不同的
[00:01:40.720 --> 00:01:43.360]  有不同的身份就有不同的責任
[00:01:43.360 --> 00:01:45.720]  當你是一個嬰兒沒所謂
[00:01:45.720 --> 00:01:47.040]  父母去餵養你
[00:01:47.040 --> 00:01:49.720]  作為一個學生你就要好好的讀書
[00:01:49.720 --> 00:01:52.960]  作為一個父母就要好好的教育
[00:01:52.960 --> 00:01:54.760]  以及供養自己的子女
[00:01:54.760 --> 00:01:58.240]  用你的生命去教育你的孩子
[00:01:58.240 --> 00:01:59.680]  我們作為基督徒
