
[00:00:00.000 --> 00:00:04.360]  感謝神,今天有機會在大家當中證道
[00:00:04.360 --> 00:00:06.960]  今天的主題叫「我疑」
[00:00:06.960 --> 00:00:09.920]  經文是《針研三章五子十二節》
[00:00:09.920 --> 00:00:11.920]  我先跟大家讀一次
[00:00:11.920 --> 00:00:14.680]  你要專心仰賴耶和華
[00:00:14.680 --> 00:00:17.080]  不可依靠自己的聰明
[00:00:17.080 --> 00:00:20.400]  在你一切所行的事上都要認定他
[00:00:20.400 --> 00:00:22.520]  他必指引你的路
[00:00:22.520 --> 00:00:24.680]  不要自以爲有智慧
[00:00:24.680 --> 00:00:26.240]  要敬畏耶和華
[00:00:26.240 --> 00:00:29.360]  遠離惡事
[00:00:29.360 --> 00:00:31.800]  這便依治你的土持
[00:00:31.800 --> 00:00:34.280]  滋潤你的白骨
[00:00:34.280 --> 00:00:38.400]  你要以財物和一切初熟的土產尊榮耶和華
[00:00:38.400 --> 00:00:41.680]  這樣你的倉房必充滿有餘
[00:00:41.680 --> 00:00:44.440]  你的酒窄有新酒盈日
[00:00:44.440 --> 00:00:47.800]  我疑你不可輕看耶和華的管教
[00:00:47.800 --> 00:00:50.520]  也不可厭煩他的責備
[00:00:50.520 --> 00:00:53.800]  因爲耶和華所愛的他必責備
[00:00:53.800 --> 00:00:58.640]  正如父親責備所喜愛的兒子
[00:00:58.640 --> 00:01:03.840]  如果你信主已經一段時間
[00:01:03.840 --> 00:01:06.480]  我相信這段經文
[00:01:06.480 --> 00:01:07.680]  大家都很熟悉
[00:01:07.680 --> 00:01:11.080]  特別是《針研》三章五六節
[00:01:11.080 --> 00:01:13.440]  你要專心仰賴耶和華
[00:01:13.440 --> 00:01:15.600]  不可依靠自己的聰明
[00:01:15.600 --> 00:01:19.440]  在你一切所行的事上都要認定他
[00:01:19.440 --> 00:01:21.880]  他必指引你的路
[00:01:21.880 --> 00:01:22.960]  表面看來
[00:01:22.960 --> 00:01:25.560]  這一節經文其實一點也不難明白
[00:01:25.560 --> 00:01:29.200]  似乎它在說人要專心仰賴神
[00:01:29.200 --> 00:01:31.040]  不要自己冷醒
[00:01:31.040 --> 00:01:32.440]  靠自己的聰明
[00:01:32.440 --> 00:01:35.320]  認定神是我們生命的主
[00:01:35.320 --> 00:01:37.760]  如果人這樣做的時候
[00:01:37.760 --> 00:01:39.960]  神就會給我們一條出路
[00:01:39.960 --> 00:01:41.360]  一個方法
[00:01:41.360 --> 00:01:43.720]  或者最好的結果
[00:01:43.720 --> 00:01:46.480]  作爲一個基督徒
[00:01:46.480 --> 00:01:48.360]  特別是我生了一個女兒之後
[00:01:48.360 --> 00:01:52.200]  這一句經文就是我的座右銘
[00:01:52.200 --> 00:01:54.680]  我經常祈禱問神
[00:01:54.680 --> 00:01:57.480]  讓我自慰如何去養育我的女兒
[00:01:57.480 --> 00:01:59.680]  依照聖經的教導
[00:01:59.680 --> 00:02:02.800]  以致我可以不得罪神
[00:02:02.800 --> 00:02:06.880]  特別是在養我的小朋友的時候
[00:02:06.880 --> 00:02:11.200]  她小時候有一件事很麻煩我的
[00:02:11.200 --> 00:02:13.680]  就是每一次上學或者上街
[00:02:13.680 --> 00:02:15.560]  她就會在櫃桶裏找衣服
[00:02:15.560 --> 00:02:19.000]  我女兒的找衣服的方法是這樣的
[00:02:19.000 --> 00:02:21.200]  抄抄到亂了
[00:02:21.200 --> 00:02:22.640]  如果你認識我
[00:02:22.640 --> 00:02:24.760]  我是一個很整齊的人
