
[00:00:00.000 --> 00:00:03.320]  我們今天講到的這個講題
[00:00:03.320 --> 00:00:09.500]  就是全新的裝備復活的情景
[00:00:09.500 --> 00:00:14.100]  我不知道大家想起這些活動
[00:00:14.100 --> 00:00:19.960]  踢球、爬山、滑雪、玩電單車
[00:00:19.960 --> 00:00:23.120]  他們需要什麼裝備
[00:00:23.120 --> 00:00:26.360]  需要什麼裝備才可以做得好
[00:00:26.360 --> 00:00:32.300]  例如我知道嘉綸在這裡是踢球的健將
[00:00:32.300 --> 00:00:36.580]  一定要有…如果草地就要有球鞋
[00:00:36.580 --> 00:00:40.660]  如果是硬地是不是要有什麼呢?不知道
[00:00:40.660 --> 00:00:41.580]  他才知道
[00:00:41.580 --> 00:00:43.460]  有特定的裝備
[00:00:43.460 --> 00:00:47.300]  如果我們滑雪就要有雪靴
[00:00:47.300 --> 00:00:50.520]  你不可以穿著雪靴去踢球
[00:00:50.520 --> 00:00:53.900]  又或者如果我們去爬山
[00:00:53.900 --> 00:00:56.780]  我們有特定的工具,不是爬山
[00:00:56.780 --> 00:01:00.580]  爬山就容易,但是爬山就很特別
[00:01:00.580 --> 00:01:04.260]  或者玩電單車,我們知道要有頭盔
[00:01:04.260 --> 00:01:05.900]  或者有些不同的衣著
[00:01:05.900 --> 00:01:08.760]  因為你知道他轉彎的時候很斜的
[00:01:08.760 --> 00:01:12.580]  腳差點碰到地,真的是專業的那些
[00:01:12.580 --> 00:01:15.800]  當然我們這個是現有的,我們也見過
[00:01:15.800 --> 00:01:19.700]  如果說一些未來的,比較科幻的影片
[00:01:19.700 --> 00:01:21.460]  我們也有問過問題
[00:01:21.460 --> 00:01:23.880]  他們也會有不同的衣著
[00:01:23.880 --> 00:01:27.600]  例如鋼鐵人或者蜘蛛俠
[00:01:27.600 --> 00:01:30.340]  也有不同的裝備
[00:01:30.340 --> 00:01:36.020]  幫他完成他那個階段的生命任務
[00:01:36.020 --> 00:01:37.840]  我們也可以這樣問
[00:01:37.840 --> 00:01:42.640]  對於我們進入永生
[00:01:42.640 --> 00:01:46.760]  我們又需要什麼裝備呢?
[00:01:46.760 --> 00:01:50.720]  當然我們需要一個復活的身體
[00:01:50.720 --> 00:01:52.380]  跟這個身體不同
