
[00:00:00.000 --> 00:00:02.520]  2013年的主題講道的第一炮
[00:00:02.520 --> 00:00:04.360]  就是講男性的系列
[00:00:04.360 --> 00:00:07.000]  雖然我自己也是男生
[00:00:07.000 --> 00:00:09.120]  但是要講男性系列
[00:00:09.120 --> 00:00:10.720]  其實一點也不容易
[00:00:10.720 --> 00:00:12.120]  很多是擔心
[00:00:12.120 --> 00:00:13.760]  譬如說擔心一下
[00:00:13.760 --> 00:00:15.760]  講完這個男性系列之後
[00:00:15.760 --> 00:00:18.760]  教會裡面的男生就會對牧師很多不滿
[00:00:18.760 --> 00:00:20.680]  因為在他家裡面
[00:00:20.680 --> 00:00:21.880]  他開始失勢
[00:00:21.880 --> 00:00:25.360]  他家裡面的女生就知道了男生的死穴
[00:00:25.360 --> 00:00:30.920]  於是在家裡面就對男生有了很多招數來應付
[00:00:30.920 --> 00:00:33.520]  所以男生就可能要追究牧師
[00:00:33.520 --> 00:00:34.680]  告訴牧師
[00:00:34.680 --> 00:00:37.400]  為什麼你講完這些男性系列
[00:00:37.400 --> 00:00:39.560]  洩露了男生的秘密
[00:00:39.560 --> 00:00:43.000]  又或者女生又不滿意牧師
[00:00:43.000 --> 00:00:45.120]  我家裡的男生都不是這樣的
[00:00:45.120 --> 00:00:47.960]  牧師你究竟有沒有查清楚搞清楚的
[00:00:47.960 --> 00:00:50.240]  你好像沒有認真做過研究
[00:00:50.240 --> 00:00:53.320]  可能連同工都不太滿意
[00:00:53.320 --> 00:00:55.680]  因為牧師講完男性系列之後
[00:00:55.680 --> 00:00:57.480]  女同工就有點壓力
[00:00:57.480 --> 00:00:59.040]  要講一下女性系列了
[00:00:59.040 --> 00:01:01.680]  於是乎他們開始對牧師有點不滿
[00:01:01.680 --> 00:01:05.240]  當然了以上都是我多餘的擔心的
[00:01:05.240 --> 00:01:07.600]  我相信這些危機不是很出現的
[00:01:07.600 --> 00:01:10.480]  我相信在教會裡面很多女生
[00:01:10.480 --> 00:01:13.320]  其實她們很想認真地去認識一下
[00:01:13.320 --> 00:01:16.120]  她家裡面身邊的男生是怎樣的
[00:01:16.120 --> 00:01:18.400]  以致她能夠真正地關心他
[00:01:18.400 --> 00:01:19.920]  真正地愛護他
[00:01:19.920 --> 00:01:22.040]  而我們教會的女同工
[00:01:22.040 --> 00:01:23.920]  我相信她們同樣都很期望
[00:01:23.920 --> 00:01:26.760]  在適當的時候講一下女性的系列
[00:01:26.760 --> 00:01:29.280]  好讓她們能夠幫助教會的姐妹
[00:01:29.280 --> 00:01:31.280]  在主的面前有成長
[00:01:31.280 --> 00:01:35.240]  其實男性的研究是由西方開始的
[00:01:35.240 --> 00:01:39.040]  當西方裡面的女權主義興起之後
[00:01:39.040 --> 00:01:41.880]  很多女性的研究就出現了
[00:01:41.880 --> 00:01:43.520]  當很多女性研究出現之後
[00:01:43.520 --> 00:01:44.440]  有人就問了
[00:01:44.440 --> 00:01:46.400]  我們有這麼多女性研究
[00:01:46.400 --> 00:01:48.800]  究竟有沒有對男性的研究呢
[00:01:49.120 --> 00:01:52.640]  於是西方就開始興起了對男性的研究
[00:01:52.640 --> 00:01:55.760]  而這些男性的研究也開始影響著教會
