
[00:00:00.000 --> 00:00:02.000]  領事館主內平安
[00:00:02.000 --> 00:00:05.480]  今天很高興再一次在港台和大家見面
[00:00:05.480 --> 00:00:09.640]  很多時候我們都說聖經沒有多餘的東西
[00:00:09.640 --> 00:00:13.440]  我們每一句話都是上帝和我們說的話
[00:00:13.440 --> 00:00:17.440]  有些人就問 為什麼會有四個福音書這麼多呢?
[00:00:17.440 --> 00:00:22.440]  尤其是頭三本 《馬太》、《馬可》和《路加》
[00:00:22.440 --> 00:00:24.640]  說的東西都是差不多的
[00:00:24.640 --> 00:00:30.640]  好像最多有些可能敘述得比較詳細一點
[00:00:30.640 --> 00:00:32.640]  為什麼要搞這麼多東西呢?
[00:00:32.640 --> 00:00:36.640]  今天我們看這段經文 就可以看到
[00:00:36.640 --> 00:00:39.640]  為什麼會有不同的福音書 有不同的記載
[00:00:39.640 --> 00:00:41.640]  我選的就是《馬太福音》
[00:00:41.640 --> 00:00:46.640]  說到無花果樹就坐
[00:00:46.640 --> 00:00:49.640]  大家看回剛才那段經文
[00:00:49.640 --> 00:00:54.640]  就看到當時的情景就是耶穌回到城的時候
[00:00:54.640 --> 00:00:57.640]  祂肚子餓 肚子餓當然要找東西吃
[00:00:57.640 --> 00:01:01.640]  當然我們也留意到耶穌是會肚子餓的
[00:01:01.640 --> 00:01:06.640]  所以第一世紀的時候 我們知道很多神學家在爭論
[00:01:06.640 --> 00:01:11.640]  究竟耶穌的位格是怎樣 祂是全人還是全神
[00:01:11.640 --> 00:01:15.640]  還是兩樣都是 兩樣都不是 又或者一半一半
[00:01:15.640 --> 00:01:19.640]  發現原來耶穌是一個全人來的 祂是會肚子餓的
[00:01:19.640 --> 00:01:25.640]  祂看到路旁有顆無花果樹就走過去 當然是想找東西吃
[00:01:25.640 --> 00:01:28.640]  肚子餓就吃個水果也好
[00:01:28.640 --> 00:01:32.640]  看到那棵樹很茂盛 遠遠看到很多葉子
[00:01:32.640 --> 00:01:36.640]  但走到近處 原來只有葉子 沒有果子
[00:01:36.640 --> 00:01:42.640]  接著耶穌就說 沒有果子 從今以後就不要再結果子了
[00:01:42.640 --> 00:01:46.640]  根據《馬太福音》那棵樹立刻枯乾
[00:01:46.640 --> 00:01:52.640]  門徒看到就很奇怪 問耶穌 無花果樹立刻枯乾
[00:01:52.640 --> 00:01:56.640]  耶穌接著就說了一大堆東西
[00:01:56.640 --> 00:01:59.640]  好像跟那棵無花果樹沒有什麼關係
[00:01:59.640 --> 00:02:03.640]  這個就是我們的疑點 接著祂是說信心
[00:02:03.640 --> 00:02:06.640]  祂有關係的 但祂不是說無花果樹枯乾
[00:02:06.640 --> 00:02:13.640]  祂是說祂行神蹟令無花果樹枯乾其實是很小的事
[00:02:13.640 --> 00:02:16.640]  如果你有信心的話 不單止無花果樹可以枯乾
[00:02:16.640 --> 00:02:20.640]  連山也可以被移開丟進海裡
[00:02:20.640 --> 00:02:23.640]  因為你禱告無論求什麼 只要信就必得著
